../bba/Slam_After_Major_Fit.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  6H-S                    KT2.AQJ7.KT32.43 J53.9.976.KJT876 AQ8.T8652.AQ54.A 9764.K43.J8.Q952 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5S-P-6D=4=-P-6H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5 | !H queen and !D king
112   S  6H-S                    T.KQJ982.Q983.Q8 KQ743..JT72.J753 AJ.AT654.AK6.K62 98652.73.54.AT94 | 1H-P-3S=1=-X-4D-P-4H-P-4N-P-5D=2=-P-5S-P-5N=3=-P-6H | Splinter | A=1/5 or 4/5 | !H queen no !C king no !D king
113   S  4S-S                    J96.K92.K432.KQJ Q4.A8543.75.A873 AK872.QT7.AQJ6.T T53.J6.T98.96542 | 1S-P-3N-P-4C-P-4D-P-4H-P-4S
114   S  4H-S                    QT987.J43.AT5.A8 J6.76.KQ763.K543 AK4.AKQ85.J4.J92 532.T92.982.QT76 | 1H-P-1S-P-2N-P-3H-P-3S-P-3N-P-4H
115   S  6S-S                    KQJ76.Q7.AT84.53 T.J632.73.KQJ962 A9854.AK8.QJ9.AT 32.T954.K652.874 | 1S-P-2N=1=-P-3S-P-4N-P-5C=2=-P-6S | Jacoby 2NT | A=0/5 or 3/5
116   S  6S-S                    Q94.AKQJ93.KJ53. T76.8.QT86.KT974 AKJ82.5.A42.AJ52 53.T7642.97.Q863 | 1S-P-2H-P-3N-P-6S
117   S  3N-S                    K5.JT5.AJ6.KQ753 T9876.86.K872.J4 A43.AKQ97.43.A98 QJ2.432.QT95.T62 | 1N-P-3N
118   S  6S-S                    AT5.Q4.AJ954.AQ2 .J82.KT732.87653 KQ98743.A65.Q.J9 J62.KT973.86.KT4 | 1S-P-2D-P-4S-P-4N-P-5S=1=-P-6S | A=2/5 or 5/5, Q(S)=1
119   S  4S-S                    8752.Q3.KQ43.AJ8 A4.9842.85.QT752 KJ963.AJ6.AJ.K43 QT.KT75.T9762.96 | 1N-P-2C=1=-P-2S-P-4S | Stayman
120   S  6H-S                    A97542.A42.K8.A9 T3.JT5.JT3.QJ432 K8.Q8763.AQ97.K6 QJ6.K9.6542.T875 | 1H-P-1S-P-2D-P-3C=1=-P-3N-P-4H-P-4N-P-5C=2=-P-5H-P-6H | Fourth suit game force | A=0/5 or 3/5
121   S  6S-S                    A52.A2.AQ73.JT85 J8.J843.J984.974 KQ943.Q97.K.AK32 T76.KT65.T652.Q6 | 1S-P-2C-P-3C-P-3S-P-3N-P-4N-P-5S=1=-P-6S | A=2/5 or 5/5, Q(S)=1
122   S  6H-S                    A.J73.87.AKQ7532 Q954.Q62.JT32.T9 KJ3.AKT85.AQ95.J T8762.94.K64.864 | 1H-P-2C-P-3D-P-3H-P-4N-P-5H=1=-P-5N=2=-P-6D=3=-P-6H | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=1
123   S  5DX-W                   A754.QJ7.K3.A642 .K.QT8642.K98753 KQT9.AT9832.A.QT J8632.654.J975.J | 1H-P-1S-4N=1=-P-5D-X | Unusual 4NT
124   S  5S-S                    T98.A7.A7652.QT4 QJ.T63.KJ843.J65 AK532.KQJ5.Q9.A3 764.9842.T.K9872 | 1S-P-1N=1=-P-3H-P-3S-P-4C-P-4D-P-4S-P-4N-P-5C=2=-P-5D-P-5S=3= | Forcing 1NT | A=0/5 or 3/5 | No !S queen
125   S  6H-S                    QJ.AQJ.AK3.KJ943 9874.54.J987.T85 K53.KT9863.6.AQ6 AT62.72.QT542.72 | 1H-P-2C-P-2H-P-3H-P-3S-P-3N-P-4C-P-4D-P-4H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
126   S  7S-S                    Q64.K2.AK65.KT73 T92.QT75.QT83.J4 AKJ853.AJ8..A962 7.9643.J9742.Q85 | 1S-P-2C-P-3S-P-4N-P-5D=1=-P-5N=2=-P-6C=3=-P-7S | A=1/5 or 4/5 | King ask by 5NT | K=0
127   S  6S-S                    K73.6.AT6.AKJ986 J6.A9542.J742.32 AQT98.KQT7.KQ8.T 542.J83.953.Q754 | 1S-P-2C-P-3H-P-3S-P-4N-P-5C=1=-P-6S | A=0/5 or 3/5
128   S  6S-S                    KQ8.975.AT52.AQ6 T2.AJ2.987643.92 AJ976.Q86.KJ.K84 543.KT43.Q.JT753 | 1S-P-2D-P-2N-P-3S-P-3N-P-4C-P-4D-P-4N-P-5D=1=-P-6S | A=1/5 or 4/5
129   S  6N-S                    AK86.AT5.QT.KJ73 QT543.83.853.965 J9.KJ642.AK9.AQ8 72.Q97.J7642.T42 | 1H-P-1S-P-2N-P-6N
130   S  6H-S                    K8754.J84.JT.KQ2 J93.76.Q75.A9654 AQ.AKQT53.A93.T8 T62.92.K8642.J73 | 1H-P-2H-P-2N-P-3H-P-3S-P-4C-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
131   S  3N-S                    65.AQ3.JT8.AJ953 KJT84.T5.7643.62 A92.KJ872.AKQ.T7 Q73.964.952.KQ84 | 1N-P-3N
132   S  5S-S                    J9643.A9.AKJT7.5 T7.JT3.82.AJT842 AKQ52.KQ2.93.K93 8.87654.Q654.Q76 | 1N-P-2H-P-2N=1=-P-3N-P-4C-P-4D-P-4N-P-5H=2=-P-5S | Extended acceptance after NT | A=2/5 or 5/5, Q(S)=0
133   S  5S-S                    AJT.KQ98.K52.AJT 962.AJT.J87.9873 KQ874.75.AT4.K65 53.6432.Q963.Q42 | 1S-P-2C-P-2N-P-3S-P-4S-P-4N-P-5S=1= | A=2/5 or 5/5, Q(S)=1
134   S  4H-S                    QT543.KT2.AKQ9.J 976.A9.T2.Q98652 AK8.QJ7643.874.A J2.85.J653.KT743 | 1H-P-1S-P-2H-P-4C=1=-P-4D-P-4H | Splinter
135   S  6S-S                    AK86.AK7.K532.KT 7.T6.AT876.75432 QJ942.J42.QJ4.AJ T53.Q9853.9.Q986 | 1S-P-2N=1=-P-4S-P-4N-P-5D=2=-P-5H-P-5N=3=-P-6S | Jacoby 2NT | A=1/5 or 4/5 | !S queen no !C king no !D king no !H king
136   S  5H-S                    AQ3.9652.4.AKQJ4 KT98.Q7.QT982.65 J642.AKJ83.KJ.83 75.T4.A7653.T972 | 1H-P-2N=1=-P-4H-P-4N-P-5H=2= | Jacoby 2NT | A=2/5 or 5/5, Q(H)=0
137   S  4S-S                    943.KQJ8743.AK.K QT.5.QJ72.A76543 AKJ862.A.954.QT9 75.T962.T863.J82 | 1S-P-2H-P-2S-P-3S-P-3N-P-4C-P-4H-P-4S
138   S  6S-S                    Q864.KJ.A975.AK9 A2.T8632.Q86.T85 KJ753.A94.K.Q762 T9.Q75.JT432.J43 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4D-P-4H-P-4S-P-4N-P-5H=3=-P-6S | Jacoby 2NT | Shortness  !D | A=2/5 or 5/5, Q(S)=0
139   S  4S-S                    965.K6.AKT96.KQ6 J2.AJT98743.3.JT AKQ87.5.QJ4.A754 T43.Q2.8752.9832 | 1S-P-2D-4H-X-P-4S
140   S  4S-S                    KJ5.KJT764.KT.KQ 74.Q.QJ8543.T984 AQ9632.A5.96.A73 T8.9832.A72.J652 | 1S-P-2H-P-2S-P-3S-P-3N-P-4C-P-4H-P-4S
141   S  6N-S                    K8.962.4.AKQT943 962.T7.AQJ653.86 AQT.AKQJ84.KT9.7 J7543.53.872.J52 | 1H-P-2C-2D-4N-P-5S=1=-P-6N | A=2/5 or 5/5, Q(C)=1
142   S  6H-S                    4.KQJT62.AQJ6.A6 J8765..KT743.K74 AK.A98753.9.Q532 QT932.4.852.JT98 | 1H-P-2N=1=-P-3D=2=-P-3H-P-4N-P-5C=3=-P-6H | Jacoby 2NT | Shortness  !D | A=0/5 or 3/5
143   S  6S-S                    T95.AK7.AK5.AT76 J8.QT65.J94.QJ43 AK642.J9.QT7.K85 Q73.8432.8632.92 | 1S-P-2C-P-2N-P-3S-P-4C-P-4H-P-4S-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
144   S  3N-N                    K5.AT8.QJ95.AJ83 A9832.72.T74.Q95 J76.KQJ63.A.KT62 QT4.954.K8632.74 | 1H-P-2C-P-3C-P-3N
145   S  5H-S                    J.T64.QT2.AKQT74 KQT98764.8.753.6 3.AKQ52.AK86.J53 A52.J973.J94.982 | 1H-P-1N=1=-4S-P-P-5H | Forcing 1NT
146   S  6N-S                    KQJ954.J73.A.K54 AT8.T.QJT954.J83 3.AKQ94.K87.A976 762.8652.632.QT2 | 1H-P-1S-P-2C-P-2D=1=-P-4N-P-5D=2=-P-6N | Fourth suit game force | A=1/4 or 4/4
147   S  6S-S                    J983.Q3.AQ7.KQ94 74.K96542.J543.A AKQT65.A.K82.JT5 2.JT87.T96.87632 | 1S-P-2N=1=-P-3H=2=-P-3S-P-4D-P-4H-P-4N-P-5D=3=-P-6S | Jacoby 2NT | Shortness  !H | A=1/5 or 4/5
148   S  6H-S                    AK764.Q98.J853.J 8.JT53.K764.Q954 Q92.AK762.AQ.KT7 JT53.4.T92.A8632 | 1H-P-1S-P-2N-P-4C=1=-P-4H-P-4N-P-5C=2=-P-6H | Splinter | A=0/5 or 3/5
149   S  5S-S                    QT2.AQ82.KQT64.5 K4.95.A952.QT742 AJ875.K764.J.AK6 963.JT3.873.J983 | 1S-P-2D-P-3H-P-3S-P-4N-P-5D=1=-P-5S | A=1/5 or 4/5
150   S  4S-S                    KT7.Q973.AKQ4.T3 4.KT85.T872.K642 AJ832.A2.J9.AJ98 Q965.J64.653.Q75 | 1S-P-2D-P-2N-P-3S-P-3N-P-4S
151   S  5H-S                    73.QJ52.QJ.AKT83 J852.3.6532.J975 KQ64.A9764.AK7.4 AT9.KT8.T984.Q62 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5
152   S  6S-S                    AJ2.Q.QJ975.KT93 4.KJT863.A863.64 KQT75.A5.42.AQJ8 9863.9742.KT.752 | 1S-P-2D-P-2N-P-4S-P-4N-P-5D=1=-P-6S | A=1/5 or 4/5
153   S  5D-N                    KQT.A85.QT85.AJ3 AJ943.632.9.QT85 2.KQJ94.A643.K72 8765.T7.KJ72.964 | 1H-P-2D-P-3S=1=-P-4C-P-4D-P-5C-P-5D | Splinter
154   S  6H-S                    QJ.K963.KQ9.KQT8 K8.Q8.J8653.J432 A952.AT542.AT.A5 T7643.J7.742.976 | 1H-P-2N=1=-P-3H-P-3N-P-4N-P-5D=2=-P-5S-P-6H=3= | Jacoby 2NT | A=1/5 or 4/5 | No !H queen
155   S  6S-S                    J85.AK8.AJT8.A87 .T75.K96532.KJ94 KQT976.QJ96.Q.Q5 A432.432.74.T632 | 1S-P-2D-P-2H-P-2S-P-3D-P-3H-P-4N-P-5C=1=-P-5S-P-6S | A=0/5 or 3/5
156   S  6H-S                    AK5.Q87.AJT532.K QT96.T9.K4.Q7643 J8.KJ653.Q9.AJ82 7432.A42.876.T95 | 1H-P-2D-P-2N-P-3H-P-4C-P-4D-P-4H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
157   S  7S-S                    KQT853.AT.AJ9.A6 .972.Q876542.T43 A9642.KQ54..KJ97 J7.J863.KT3.Q852 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4C-P-4H-P-4N-P-5D=3=-P-5H-P-5N=4=-P-7S | Jacoby 2NT | Shortness  !D | A=1/5 or 4/5 | !S queen no !C king no !D king no !H king
158   S  6S-S                    843.AK52.A97.KQJ 92.Q863.J43.9865 AKQT75.T9.KQT5.3 J6.J74.862.AT742 | 1S-P-2C-P-3S-P-4N-P-5S=1=-P-6S | A=2/5 or 5/5, Q(S)=1
159   S  7H-S                    QJ8764.Q53.AJ5.A KT9.2.Q98.Q98642 A.AK9864.K74.KJ7 532.JT7.T632.T53 | 1H-P-1S-P-3H-P-4N-P-5C=1=-P-7H | A=0/5 or 3/5
160   S  5S-S                    AJ7.8.KT754.AKT5 K83.762.Q63.9432 Q9654.KQJT.AJ2.J T2.A9543.98.Q876 | 1S-P-2D-P-2H-P-3S-P-4N-P-5H=1=-P-5S | A=2/5 or 5/5, Q(S)=0
161   S  5S-S                    KQ82.A52.A42.K43 T75.KT3.Q876.952 AJ963.Q98.K.QJ86 4.J764.JT953.AT7 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4D-P-4H-P-4S-P-4N-P-5D=3=-P-5S | Jacoby 2NT | Shortness  !D | A=1/5 or 4/5
162   S  6H-S                    AJ85.AK9.KJ65.93 QT6432..84.Q8642 7.Q8642.AQ92.AJ7 K9.JT753.T73.KT5 | 1H-P-1S-P-2D-P-3C=1=-P-3N-P-6H | Fourth suit game force
163   S  4S-S                    KJT95.QT9.QT.AKQ 3.K65.K7632.T763 AQ742.J72.AJ4.J4 86.A843.985.9852 | 1S-P-2N=1=-P-4S | Jacoby 2NT
164   S  6H-S                    AQ85.A54.AT3.873 T32.T8.542.AT542 J9.KQ732.KQJ.KQJ K764.J96.9876.96 | 1H-P-1S-P-2N-P-3H-P-4H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
165   S  5S-S                    J73.AJ4.K752.AKJ Q2.K873.A63.8642 AKT54.Q.QJ4.Q973 986.T9652.T98.T5 | 1S-P-2D-P-2N-P-3S-P-3N-P-4C-P-4H-P-4N-P-5H=1=-P-5S | A=2/5 or 5/5, Q(S)=0
166   S  4H-S                    KJT.A653.T7.KJ83 9432..AK652.T974 AQ.KQJ984.QJ8.Q5 8765.T72.943.A62 | 1H-P-2N=1=-P-3H-P-3S-P-4H | Jacoby 2NT
167   S  4H-S                    QJ7.Q53.AK6.QT98 654.J6.J8532.A43 AK82.AK982.T7.J6 T93.T74.Q94.K752 | 1H-P-3N-P-4H
168   S  5H-S                    84.AQJ74.A4.AT87 AQJ532.8.T852.K3 K.KT932.KQ9.QJ52 T976.65.J763.964 | 1H-P-2N=1=-P-3S=2=-P-3N-P-4H-P-4N-P-5D=3=-P-5H | Jacoby 2NT | Shortness  !S | A=1/5 or 4/5
169   S  4H-S                    KT82.KJT.K86.A86 J753.5.QT9754.92 A94.AQ964.A.JT43 Q6.8732.J32.KQ75 | 1H-P-1S-P-2C-P-4H
170   S  5H-S                    K94.AT87.K94.K98 8753.53.QJ3.Q732 AQ62.KQJ96.87.AJ JT.42.AT652.T654 | 1H-P-2N=1=-P-3H-P-3S-P-4C-P-5H | Jacoby 2NT
171   S  6H-S                    QJ9.KQ5.KT873.73 KT64.874.J42.JT2 A75.AJ963.A5.AQ4 832.T2.Q96.K9865 | 1H-P-1N=1=-P-3N-P-6H | Forcing 1NT
172   S  4S-S                    873.K.AQJ3.KT874 J9.QJT98632..Q63 AKQT52.A.K974.J5 64.754.T8652.A92 | 1S-P-2C-4H-4S
173   S  6S-S                    QJ7.T6.A763.A975 8.9743.T542.Q643 AT9654.AKJ5.K.KT K32.Q82.QJ98.J82 | 1S-P-1N=1=-P-3H-P-3S-P-4C-P-4D-P-4N-P-5S=2=-P-6S | Forcing 1NT | A=2/5 or 5/5, Q(S)=1
174   S  7H-S                    K3.AK52.AK75.J94 JT9654.9.83.Q875 AQ.QJT763.QJ2.A2 872.84.T964.KT63 | 1H-P-2N=1=-P-3H-P-4N-P-5S=2=-P-5N=3=-P-6C=4=-P-7H | Jacoby 2NT | A=2/5 or 5/5, Q(H)=1 | King ask by 5NT | K=0
175   S  5S-S                    AQ54.QJ973.AKT9. T9.T42.542.K8743 K8763.K86.J7.AQJ J2.A5.Q863.T9652 | 1S-P-2N=1=-P-3N-P-4D-P-4H-P-4N-P-5H=2=-P-5S | Jacoby 2NT | A=2/5 or 5/5, Q(S)=0
176   S  6S-S                    KJ84.AT73.63.K82 2.865.972.QT9754 AQ973.KJ42.AKQ4. T65.Q9.JT85.AJ63 | 2C=1=-P-2N-P-3S-P-4N-P-5S=2=-P-6S | Strong | A=2/5 or 5/5, Q(S)=1
177   S  5S-S                    862.AK65.A97.K85 AJ94.J842.J83.76 KT753.Q.KQ52.AQJ Q.T973.T64.T9432 | 1S-P-3N-P-4N-P-5H=1=-P-5S | A=2/5 or 5/5, Q(S)=0
178   S  5S-S                    AQJ96.KJ7.63.Q83 8.A83.8542.KT764 KT542.Q9.AQJ7.A2 73.T6542.KT9.J95 | 1S-P-2N=1=-P-3S-P-4H-P-5C-P-5S | Jacoby 2NT
179   S  6N-S                    Q764.QJ4.AJ.AKQT JT32.86.T642.754 K5.AK953.K98.982 A98.T72.Q753.J63 | 1H-P-1S-P-1N-P-4N-P-6N
180   S  6S-S                    KT65.AQT97.8.KJ4 8.J52.7542.96532 AQ972.K.KT93.AT8 J43.8643.AQJ6.Q7 | 1S-P-2N=1=-P-3H=2=-P-3S-P-4N-P-5H=3=-P-6S | Jacoby 2NT | Shortness  !H | A=2/5 or 5/5, Q(S)=0
181   S  3N-S                    KJ.K53.K862.K762 A98432.964.A54.4 Q6.AQ872.QJ7.AQ3 T75.JT.T93.JT985 | 1N-P-3N
182   S  5S-S                    982.AK.Q863.QJ73 K.987532.J974.92 AJT65.QJ.AK2.K85 Q743.T64.T5.AT64 | 1S-P-1N=1=-P-2N-P-4S-P-4N-P-5D=2=-P-5S | Forcing 1NT | A=1/5 or 4/5
183   S  6S-S                    KQT873.A8.7.AKQ3 2.QJ9762.T64.754 AJ965.54.KQJ8.J9 4.KT3.A9532.T862 | 1S-P-2N=1=-P-4S-P-4N-P-5D=2=-P-6S | Jacoby 2NT | A=1/5 or 4/5
184   S  5H-S                    QJ3.A97.AJ.KQ653 97652.KT.Q95.J82 A84.Q8653.K43.AT KT.J42.T8762.974 | 1H-P-2C-P-2N-P-3H-P-3S-P-3N-P-4N-P-5H=1= | A=2/5 or 5/5, Q(H)=0
185   S  6H-S                    AK92.A54.J.A8653 QJ83.82.T962.J72 T4.KQT763.AQ8.K4 765.J9.K7543.QT9 | 1H-P-2C-P-2H-P-4D=1=-P-4N-P-5C=2=-P-5N=3=-P-6D=4=-P-6H | Splinter | A=0/5 or 3/5 | King ask by 5NT | K=1
186   S  7H-S                    AQ98.JT52.AKQJ.A KJ7.973.6532.KT6 43.AKQ64.97.QJ93 T652.8.T84.87542 | 1H-P-2N=1=-P-4H-P-4N-P-5S=2=-P-7H | Jacoby 2NT | A=2/5 or 5/5, Q(H)=1
187   S  6HX-S                   T4.K94.K6.KQJ852 753.AQ73.J853.63 AQJ.J8652.AQ7.AT K9862.T.T942.974 | 1H-P-1N=1=-P-2N-P-4H-P-4N-P-5D=2=-P-6H-P-P-X | Forcing 1NT | A=1/5 or 4/5
188   S  6H-S                    962.K42.AQ85.K83 KT7.876.KT976.T5 AQ53.AQT95.J.AJ9 J84.J3.432.Q7642 | 1H-P-1N=1=-P-2S-P-6H | Forcing 1NT
189   S  5H-S                    AK5.JT7.K6.QJT92 9863.52.A754.876 QT72.AQ964.QJ9.A J4.K83.T832.K543 | 1H-P-2C-P-2S-P-3H-P-4N-P-5D=1=-P-5H | A=1/5 or 4/5
190   S  6S-S                    A52.KJ96.AKT74.A T3.T72.Q8.J87652 QJ874.AQ5.J52.Q3 K96.843.963.KT94 | 1S-P-2D-P-2N-P-4C=1=-P-4S-P-4N-P-5D=2=-P-5H-P-5N=3=-P-6S | Splinter | A=1/5 or 4/5 | !S queen no !C king no !D king no !H king
191   S  4H-S                    T93.A72.AQJ95.AQ AK8.Q94.832.9854 Q764.KJT853.K.K2 J52.6.T764.JT763 | 1H-P-2D-P-2H-P-3H-P-4H
192   S  6N-S                    K93.KJ43.Q7.A432 74.Q52.J8432.986 AJT62.A97.AK9.K7 Q85.T86.T65.QJT5 | 1S-P-2C-P-3N-P-4N-P-6N
193   S  4S-S                    AJT.AJ4.Q43.KJ95 .Q93.KT9765.A872 KQ8765.KT5.AJ.T6 9432.8762.82.Q43 | 1S-P-2C-P-2S-P-3S-P-4D-P-4H-P-4S
194   S  6H-S                    KJ54.AQ85.53.K43 6.J74.KJT4.J9765 AQ3.K9632.A92.AQ T9872.T.Q876.T82 | 1H-P-2N=1=-P-3H-P-3S-P-4D-P-4N-P-5D=2=-P-6H | Jacoby 2NT | A=1/5 or 4/5
195   S  6H-S                    AK98.A32.QJ7.K97 7654.5.8632.8653 QJ.KQT986.AT.AJT T32.J74.K954.Q42 | 1H-P-2C-P-3H-P-4N-P-5C=1=-P-5D-P-5N=2=-P-6C=3=-P-6D=4=-P-6H | A=0/5 or 3/5 | !H queen no !S king no !C king no !D king | King ask by available bid | K=0
196   S  4H-S                    AQJ.JT9.A96.KQ85 T43.42.J542.AT72 852.AKQ63.Q3.J93 K976.875.KT87.64 | 1H-P-2C-P-2N-P-3H-P-4H
197   S  4S-S                    J98.Q3.A73.K7532 AT72.AJ762.T2.86 KQ643.K4.KQ4.AQ9 5.T985.J9865.JT4 | 1S-P-1N=1=-P-3N-P-4S | Forcing 1NT
198   S  6S-S                    T63.AKJT8.KQ.952 2.Q5432.JT9.AQ73 AKQ984.96.A75.K6 J75.7.86432.JT84 | 1S-P-2H-P-3S-P-4S-P-4N-P-5D=1=-P-6S | A=1/5 or 4/5
199   S  4S-S                    AKQ864.QJ94.J.54 J7.2.QT9873.KJ92 952.AKT53.A2.AQ7 T3.876.K654.T863 | 1N-P-4H=1=-P-4S | Texas
200   S  4H-S                    AJ95.J53.Q2.AQ62 T8632.82.JT75.54 Q.AK976.K84.KT73 K74.QT4.A963.J98 | 1H-P-1S-P-2C-P-4H
201   S  6H-S                    AJ963.Q974.J53.A T742.6.QT74.9753 Q5.AKJ52.A6.KJT4 K8.T83.K982.Q862 | 1H-P-2N=1=-P-3H-P-3S-P-4C-P-4N-P-5C=2=-P-6H | Jacoby 2NT | A=0/5 or 3/5
202   S  6S-S                    A53.AK4.A873.765 94.QJT9765.J2.J3 KQJ876.8.K96.AQ4 T2.32.QT54.KT982 | 1S-P-2D-3H-3S-P-4N-P-5S=1=-P-6S | A=2/5 or 5/5, Q(S)=1
203   S  7H-S                    AK.AQT.A3.QJ9654 Q643.94.QJT42.32 J7.KJ652.K97.A87 T9852.873.865.KT | 1H-P-2C-P-2N-P-3H-P-4H-P-4N-P-5H=1=-P-5N=2=-P-6D=3=-P-7H | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=1
204   S  7S-S                    KQT72.84.AK.AK64 6.J92.7542.QT872 AJ954.AQ5.JT96.5 83.KT763.Q83.J93 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4H-P-4N-P-5H=3=-P-5N=4=-P-6C=5=-P-7S | Jacoby 2NT | Shortness  !C | A=2/5 or 5/5, Q(S)=0 | King ask by 5NT | K=0
205   S  6H-S                    AK94.T82.AJ762.A QJ875.653..J9532 6.AKQ94.QT95.Q74 T32.J7.K843.KT86 | 1H-P-2D-P-3S=1=-P-4C-P-5D-P-6H | Splinter
206   S  5H-S                    .K76.AT76.AKQ932 K986532.5.Q2.J64 AQJ.AJ8432.K5.75 T74.QT9.J9843.T8 | 1H-P-2C-3S-4H-P-4N-P-5H=1= | A=2/5 or 5/5, Q(H)=0
207   S  6N-S                    753.KQ5.AJ852.QJ AT86.32.T764.953 KJ.AJ974.K3.AK62 Q942.T86.Q9.T874 | 1H-P-2D-P-3N-P-4N-P-6N
208   S  6S-S                    762.AKQ843.AK3.8 T8.J.JT6542.QJ97 AKJ953.5.Q8.AT65 Q4.T9762.97.K432 | 1S-P-2H-P-2S-P-4C=1=-P-4H-P-4S-P-4N-P-5H=2=-P-6S | Splinter | A=2/5 or 5/5, Q(S)=0
209   S  6S-S                    QJT3.AQJ73.J9.K5 .654.8642.JT9843 K9875.KT9.AK7.A6 A642.82.QT53.Q72 | 1N-P-2C=1=-P-2S-P-3H-P-3S-P-4C-P-4D-P-4N-P-5C=2=-P-6S | Stayman | A=0/5 or 3/5
210   S  5H-S                    KQ9.Q985.K2.AKJ3 82.32.QJT98.Q654 AJ73.AKT764.65.7 T654.J.A743.T982 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5
211   S  6H-S                    AKT5.AT54.QT8.85 Q743.6.J542.A432 6.KQJ97.AK6.KJ76 J982.832.973.QT9 | 1H-P-2N=1=-P-3S=2=-P-4H-P-4N-P-5H=3=-P-6H | Jacoby 2NT | Shortness  !S | A=2/5 or 5/5, Q(H)=0
212   S  6S-S                    KQT.K963.83.AKJ5 J94.42.QJ975.742 A8532.AQJ.K4.T83 76.T875.AT62.Q96 | 1S-P-2C-P-2N-P-3S-P-3N-P-4C-P-4D-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
213   S  6H-N                    AQ3.AKJT4.94.AT2 742.862.Q86.Q843 JT965.Q93.AKT.K7 K8.75.J7532.J965 | 1S-P-2H-P-4H-P-4N-P-5D=1=-P-5S-P-6C=2=-P-6H | A=1/5 or 4/5 | !H queen and !C king
214   S  4H-S                    AQJ32.QJ3.43.AK6 74.KT76.862.JT94 65.A8542.AKQ7.72 KT98.9.JT95.Q853 | 1H-P-1S-P-2D-P-3C=1=-P-3N-P-4H | Fourth suit game force
215   S  4S-S                    KJ72.KQT4.AK9.Q3 6.J83.JT5.AKT865 AQT98.A97.Q64.74 543.652.8732.J92 | 1S-P-2N=1=-P-4S | Jacoby 2NT
216   S  6S-S                    KT4.AKJT982.A84. 6.64.K75.KJ97654 AQ973.Q7.QT.A832 J852.53.J9632.QT | 1S-P-2H-3C-3N-P-6S
217   S  7H-S                    J8.KJ3.AJ6.AQ986 63.987.KT854.T52 AKT9.AQ654.Q9.KJ Q7542.T2.732.743 | 1H-P-2C-P-2S-P-3H-P-3N-P-4N-P-5S=1=-P-7H | A=2/5 or 5/5, Q(H)=1
218   S  5S-S                    KQJ6.Q.KJ753.KQT 32.J95.A9.A97543 AT854.AK64.Q862. 97.T8732.T4.J862 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4H-P-4N-P-5H=3=-P-5S | Jacoby 2NT | Shortness  !C | A=2/5 or 5/5, Q(S)=0
219   S  6S-S                    AKQ42.AQT92.KQ.4 ..T85432.T976532 J9763.K85.J9.AKJ T85.J7643.A76.Q8 | 1S-P-2N=1=-P-4S-P-4N-P-5D=2=-P-6S | Jacoby 2NT | A=1/5 or 4/5
220   S  6S-S                    J85.KQ53.5.KQJ75 T6.72.A973.AT986 AKQ973.AJ9.KQ84. 42.T864.JT62.432 | 2C=1=-P-3C-P-3S-P-4N-P-5C=2=-P-5S-P-6S | Strong | A=0/5 or 3/5
221   S  4H-S                    K75.QJ4.AJT8.AT7 A8642.32.K632.Q4 Q3.AK976.Q4.KJ63 JT9.T85.975.9852 | 1H-P-3N-P-4C-P-4H
222   S  4S-S                    763.AJ65.53.AQ52 T82.743.AT42.J84 AKQJ5.KT2.KQ7.63 94.Q98.J986.KT97 | 1S-P-1N=1=-P-2N-P-4S | Forcing 1NT
223   S  6S-S                    Q84.AK4.AJ63.AJ9 53.J6.Q8752.K543 AKT962.T52.K.Q86 J7.Q9873.T94.T72 | 1S-P-2D-P-2S-P-3S-P-4S-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
224   S  6H-S                    AT.KQT872.Q.KQJ5 Q62.9.KJ843.T743 K843.AJ653.92.A8 J975.4.AT765.962 | 1H-P-2N=1=-P-4H-P-4N-P-5H=2=-P-6H | Jacoby 2NT | A=2/5 or 5/5, Q(H)=0
