../bba/GIB_1M-P-Resp.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
174   N  4H-N                    Q5.AKJ93.63.KT62 AKT7.76.Q85.9854 9863.Q82.JT42.AQ J42.T54.AK97.J73 | 1H-P-3H-P-4H
175   N  2S-S                    732.AQJ96.K.QJT8 T4.T32.AJ95.A643 KQJ6.K7.7642.975 A985.854.QT83.K2 | 1H-P-1S-P-2C-P-2H-P-2S
176   N  2S-N                    QT764.KQT3.QJ5.K 95.A72.AT64.Q965 K83.J6.932.AJ732 AJ2.9854.K87.T84 | 1S-P-2S
177   N  4S-N                    AQT86.A.T8.QT964 K7.KJT5.J752.J83 953.Q8643.A94.K5 J42.972.KQ63.A72 | 1S-P-3S-P-4S
178   N  2S-N                    AQ643.QT96.A8.Q8 T2.A87.7542.AJT3 K85.J52.KQT6.954 J97.K43.J93.K762 | 1S-P-2S
179   N  2H-N                    Q5.AT9752.Q.AT92 KT74.63.J984.KQ3 962.KQ4.KT62.J84 AJ83.J8.A753.765 | 1H-P-2H
180   N  4H-N                    K65.QJ765.AQ42.2 QT.K82.8653.A964 A943.943.JT.KJ83 J872.AT.K97.QT75 | 1H-P-3H-P-4H
181   N  2D-N                    KT632.KT.A874.A3 A98.9864.932.KQT J.J75.KJT5.J9542 Q754.AQ32.Q6.876 | 1S-P-1N-P-2D
182   N  1N-S                    Q83.AQJT2.72.KJ7 A974.K65.J984.Q3 J5.87.AQT53.9862 KT62.943.K6.AT54 | 1H-P-1N
183   N  1N-S                    JT876.AQ3.T8.AQ7 AQ32.J95.9732.K9 5.862.AQ6.J85432 K94.KT74.KJ54.T6 | 1S-P-1N
184   N  2H-N                    Q5.AK875.K872.Q6 A743.J3.T96.AT42 K82.QT2.Q54.K875 JT96.964.AJ3.J93 | 1H-P-2H
185   N  1N-N                    Q54.KQ654.QJ2.Q3 KT82.A97.97.KT84 9763.82.AKT8.J52 AJ.JT3.6543.A976 | 1H-P-1S-P-1N
186   N  2S-N                    AK932.Q3.J942.A4 QJ7.A875.Q6.T963 T8.JT642.875.KQJ 654.K9.AKT3.8752 | 1S-P-1N-P-2D-P-2S
187   N  1N-S                    A9742.K5.KJ8.QJ6 KT.T642.A542.K54 J5.A873.QT73.872 Q863.QJ9.96.AT93 | 1S-P-1N
188   N  3C-W                    AQT97.62.AK7.842 K4.AT7.J965.Q963 632.QJ9843.T8.AJ J85.K5.Q432.KT75 | 1S-P-2S-P-P-X-P-3C
189   N  2H-N                    73.AK632.KQ.9743 K98.T7.J543.AQT6 QJT2.94.A9872.J2 A654.QJ85.T6.K85 | 1H-P-1S-P-2C-P-2H
190   N  1N-S                    AK6.A9872.J63.62 854.QJT6.97.AQT7 Q73.K4.A8542.853 JT92.53.KQT.KJ94 | 1H-P-1N
191   N  2H-N                    J.AK8652.KJ42.92 AK75.743.T65.Q76 Q843.J9.Q87.KJ43 T962.QT.A93.AT85 | 1H-P-1S-P-2D-P-2H
192   N  2S-N                    AJT98.AT9.98.A97 764.Q873.AKT6.J3 K53.K64.754.Q854 Q2.J52.QJ32.KT62 | 1S-P-2S
193   N  2S-N                    KQ987.AJ6.T93.A7 643.K84.QJ6.QT63 AT2.Q752.K85.J98 J5.T93.A742.K542 | 1S-P-2S
194   N  2S-N                    KQ862.T95.K4.AJT A95.74.AQ95.8654 743.KQ862.762.K9 JT.AJ3.JT83.Q732 | 1S-P-2S
195   N  4S-N                    KQ8432.J.K72.A73 J9.QT975.A843.98 765.A43.J6.KQT65 AT.K862.QT95.J42 | 1S-P-3S-P-4S
196   N  2D-N                    Q7.KT632.KQ54.K6 K983.A84.87.QJT9 T62.QJ.A932.8742 AJ54.975.JT6.A53 | 1H-P-1N-P-2D
197   N  1N-S                    AT987.T84.KQ4.KJ KQ6.76.J875.A974 J3.AQJ93.632.865 542.K52.AT9.QT32 | 1S-P-1N
198   N  1N-N                    KQT.AT932.AT6.T4 A8.KQ84.974.J765 9742.J.Q8532.A92 J653.765.KJ.KQ83 | 1H-P-1S-P-1N
199   N  1N-S                    962.AK832.J97.AJ KT73.QJ6.A84.765 Q84.94.KT65.Q943 AJ5.T75.Q32.KT82 | 1H-P-1N
200   N  2S-N                    T9652.KT.AK7.A62 Q83.AQ84.865.Q93 AK7.J763.943.875 J4.952.QJT2.KJT4 | 1S-P-2S
201   N  2H-N                    K732.AKT95.KT.75 Q85.J62.AJ5.J863 T4.Q73.Q8432.AT9 AJ96.84.976.KQ42 | 1H-P-2H
202   N  2H-N                    J76.AK976.K65.J6 K94.854.JT2.AQ92 AT83.T32.AQ3.T83 Q52.QJ.9874.K754 | 1H-P-2H
203   N  3H-N                    K74.KJ543.KQT.J7 AT95.T97.J7.KQT8 QJ.Q82.A863.9643 8632.A6.9542.A52 | 1H-P-3H
204   N  2S-N                    AJ972.J98.T7.AK9 T43.K75.AJ9.Q632 Q85.AT3.K652.874 K6.Q642.Q843.JT5 | 1S-P-2S
205   N  2H-N                    AK3.KQJ53.98.542 Q8.T97.A762.J976 T752.A86.K54.KT8 J964.42.QJT3.AQ3 | 1H-P-2H
206   N  1N-S                    T532.AKJ52.KT.Q3 KQ8.7643.A2.JT85 J6.8.QJ87643.K42 A974.QT9.95.A976 | 1H-P-1N
207   N  3H-N                    KQ.AQJ54.543.J65 J953.86.AKQ.T874 AT2.972.T9876.AQ 8764.KT3.J2.K932 | 1H-P-3H
208   N  2H-N                    632.K9654.AK.Q72 KQ9.32.T973.AT65 AT54.QT7.J52.K93 J87.AJ8.Q864.J84 | 1H-P-2H
209   N  1H-N                    K84.AQJT7.A7.843 AQJ7.85.K93.9652 T5.62.QT864.KJT7 9632.K943.J52.AQ | 1H
210   N  2H-N                    864.A7632.AQ5.K5 A752.Q5.863.Q986 KQ9.T94.J974.A73 JT3.KJ8.KT2.JT42 | 1H-P-2H
211   N  2S-S                    QJ82.A8743.AQ.J8 A64.KT2.T532.K64 KT75.J5.J4.AT532 93.Q96.K9876.Q97 | 1H-P-1S-P-2S
212   N  2S-N                    KT9652.QJ.KT.A94 A4.T842.J864.KQ3 Q87.A75.A93.T872 J3.K963.Q752.J65 | 1S-P-2S
213   N  2H-N                    Q3.Q7432.A73.AQ2 A94.A8.6542.T754 JT65.KJ9.KJ9.J96 K872.T65.QT8.K83 | 1H-P-2H
214   N  1N-S                    K654.QJ843.K3.KJ AT32.A765.QT.972 97.KT.87654.AT85 QJ8.92.AJ92.Q643 | 1H-P-1N
215   N  2H-N                    A2.KT632.42.KQT4 KQT5.J854.QJ8.J7 J43.A9.T9653.A65 9876.Q7.AK7.9832 | 1H-P-1N-P-2C-P-2H
216   N  3S-N                    KJ832.KJT.53.KQ7 Q6.9532.AJ8.J842 T954.Q4.KT742.A9 A7.A876.Q96.T653 | 1S-P-3S
217   N  4S-N                    KQ765.K8652.A.T7 JT.AQJ.9642.J954 983.43.KT87.AQ63 A42.T97.QJ53.K82 | 1S-P-3S-P-4S
218   N  2S-N                    AJT73.AQ9.J32.Q5 K8.KJ7.Q754.JT82 962.T532.K96.A94 Q54.864.AT8.K763 | 1S-P-2S
219   N  2S-N                    QJ863.AK.A63.842 A52.QT82.J5.Q953 K94.J74.KQ97.T76 T7.9653.T842.AKJ | 1S-P-2S
220   N  2H-N                    T82.QT762.A73.AK A763.853.KJT8.J7 Q95.KJ4.64.QT862 KJ4.A9.Q952.9543 | 1H-P-2H
221   N  2S-N                    AK5432.T8.KJ2.J3 Q7.KJ72.Q87.Q542 T86.A643.T93.A97 J9.Q95.A654.KT86 | 1S-P-2S
222   N  1N-S                    K9643.95.Q96.AKJ J82.AKQ.854.T863 Q.JT8742.AT3.752 AT75.63.KJ72.Q94 | 1S-P-1N
223   N  3S-N                    T7432.J82.AKT4.A 98.KQ73.Q53.K873 AQJ.954.76.QT962 K65.AT6.J982.J54 | 1S-P-3S
224   N  2S-N                    KJ983.984.AJ6.A5 5.AT75.K972.T862 Q64.QJ3.QT3.QJ97 AT72.K62.854.K43 | 1S-P-2S
225   N  1N-N                    Q5.QT652.KJT.AQ3 982.A93.A87.T954 AJT73.J8.Q95.J87 K64.K74.6432.K62 | 1H-P-1S-P-1N
226   N  3HX-W                   A6542.A43.64.A63 K7.KQ98.JT82.J87 T93.75.AQ3.QT942 QJ8.JT62.K975.K5 | 1S-P-2S-P-P-X-P-3H-P-P-X
227   N  2H-N                    AJ.AT842.AT97.T5 8654.QJ.QJ6.K432 T732.K6.K83.QJ87 KQ9.9753.542.A96 | 1H-P-1S-P-2D-P-2H
228   N  2S-N                    KT864.AK.K73.J74 A9.T962.9854.A62 QJ2.QJ543.QT.T83 753.87.AJ62.KQ95 | 1S-P-2S
229   N  4H-N                    K82.KJ832.KT.A94 A93.Q.J8632.7653 QT5.A765.974.KT8 J764.T94.AQ5.QJ2 | 1H-P-3H-P-4H
230   N  2H-N                    KJ6.AQT92.A2.763 Q987.K3.643.KQ84 5432.864.QJ75.A2 AT.J75.KT98.JT95 | 1H-P-2H
231   N  1N-S                    AT4.KQT64.52.AT6 J753.A32.Q64.K54 K86.97.KT98.J873 Q92.J85.AJ73.Q92 | 1H-P-1N
232   N  1N-S                    943.AKQT5.87.A72 KJ8.63.QT92.KJ94 T62.J7.AKJ6.T653 AQ75.9842.543.Q8 | 1H-P-1N
233   N  2S-N                    QT953.AT.AT96.A8 AK72.J94.8543.Q7 64.KQ832.Q.95432 J8.765.KJ72.KJT6 | 1S-P-1N-P-2D-P-2S
234   N  3H-N                    QT.QJT865.K53.A5 J765.AK4.J974.J8 A93.32.Q82.Q9632 K842.97.AT6.KT74 | 1H-P-1N-P-2H-P-3H
235   N  2S-N                    KQJ72.T873.A6.AT T5.KJ6.K852.Q653 9843.A4.T93.K974 A6.Q952.QJ74.J82 | 1S-P-2S
236   N  2S-N                    AQJ93.3.A9863.J8 764.A874.K74.K65 T5.QJT62.QJ.Q432 K82.K95.T52.AT97 | 1S-P-1N-P-2D-P-2S
237   N  2H-N                    K62.KJ752.J3.KQT 954.A43.A982.J87 AQJT.T96.K76.942 873.Q8.QT54.A653 | 1H-P-2H
238   N  2H-N                    A8.KQJT42.J3.Q74 K74.98.7642.AJ65 Q532.765.KQ8.KT3 JT96.A3.AT95.982 | 1H-P-2H
239   N  2H-N                    A8.QT976.A954.A9 QT54.82.K73.KJT6 J73.A43.J862.Q43 K962.KJ5.QT.8752 | 1H-P-2H
240   N  2S-N                    AKT97.QT9.A6.T52 J5.KJ86.J874.KJ9 Q63.32.K952.Q843 842.A754.QT3.A76 | 1S-P-2S
241   N  3S-N                    QJ754.Q632.K3.A5 96.AT85.AT97.QT7 K83.4.J6542.KJ93 AT2.KJ97.Q8.8642 | 1S-P-2S-P-P-X-P-3H-P-P-3S
242   N  2H-N                    Q.QJT96.J94.AK43 KT97.543.AT3.QT9 J543.AK2.876.J87 A862.87.KQ52.652 | 1H-P-2H
243   N  1N-S                    KJT94.J2.K92.AT8 853.963.AQT7.QJ9 Q6.AKT4.654.5432 A72.Q875.J83.K76 | 1S-P-1N
244   N  2S-N                    AQT985.J76.Q.A93 K3.A54.K874.7542 742.KT2.JT932.KT J6.Q983.A65.QJ86 | 1S-P-2S
245   N  2S-N                    AJT92.K7.K.QT752 85.AT92.AQT.9643 74.Q63.987432.AJ KQ63.J854.J65.K8 | 1S-P-1N-P-2C-P-2S
246   N  2S-N                    AQ642.QJ86.J2.A2 K83.AK2.874.T853 T9.T74.KQT93.K64 J75.953.A65.QJ97 | 1S-P-1N-P-2H-P-2S
247   N  2H-N                    Q5.T9742.AQ6.A64 JT3.AK5.8743.832 K982.863.KT9.KJ9 A764.QJ.J52.QT75 | 1H-P-2H
248   N  4S-N                    AT965.6.AJ32.KT9 KQ7.J93.Q75.Q542 J42.KQT84.986.A7 83.A752.KT4.J863 | 1S-P-3S-P-4S
249   N  4S-N                    AK982.AQ6.T74.J4 Q54.T84.Q862.A76 T63.K753.A5.K982 J7.J92.KJ93.QT53 | 1S-P-3S-P-4S
250   N  4S-N                    Q6532.AJ8.AQ3.73 AJ84.972.JT64.A6 KT9.Q4.987.KQ954 7.KT653.K52.JT82 | 1S-P-3S-P-4S
251   N  4S-N                    KQ987.K.432.AJT7 T6.975.AT85.K532 J53.AQT82.J7.Q98 A42.J643.KQ96.64 | 1S-P-3S-P-4S
252   N  1N-S                    952.AK872.KQ4.J5 AJ74.963.72.KQT6 KT8.J4.JT863.A87 Q63.QT5.A95.9432 | 1H-P-1N
253   N  3S-N                    AQT764.543.AT.A3 53.Q62.Q432.KQ85 K2.KT97.K965.976 J98.AJ8.J87.JT42 | 1S-P-1N-P-2S-P-3S
254   N  2S-N                    KJ932.6.QJ4.KJ32 A87.AQ54.8752.96 Q6.KJT97.KT9.854 T54.832.A63.AQT7 | 1S-P-1N-P-2C-P-2S
255   N  2H-N                    AK.T9432.KT63.A7 Q965.A87.Q7.QT85 T72.K5.J52.K9432 J843.QJ6.A984.J6 | 1H-P-1N-P-2D-P-2H
256   N  2D-N                    Q6532.65.A542.AK AJT9.KT84.J3.JT5 84.A93.Q976.Q963 K7.QJ72.KT8.8742 | 1S-P-1N-P-2D
257   N  4S-N                    K9854.KJ76.2.A94 T3.T954.AK93.KT8 Q72.A3.QT54.J653 AJ6.Q82.J876.Q72 | 1S-P-3S-P-4S
258   N  1N-S                    KJ2.KT983.J9.AQT T843.AQ64.Q8.J92 Q95.J5.AT643.764 A76.72.K752.K853 | 1H-P-1N
259   N  1N-N                    Q85.AK964.K6.J53 72.832.AT94.KQT8 KT96.J7.J73.A972 AJ43.QT5.Q852.64 | 1H-P-1S-P-1N
260   N  1N-S                    AJ93.KT873.AJ.J4 T654.AQ65.732.K6 KQ2.J.T654.QT752 87.942.KQ98.A983 | 1H-P-1N
261   N  2H-N                    K3.AQT975.72.K93 Q962.J2.KT65.A76 JT4.863.A43.QJ42 A875.K4.QJ98.T85 | 1H-P-2H
262   N  2H-N                    AT.AQT32.K943.64 J843.J8.JT75.KQ8 K765.K4.Q6.JT972 Q92.9765.A82.A53 | 1H-P-1S-P-2D-P-2H
263   N  1N-S                    97.KQ765.AT6.A96 J432.A43.K3.Q732 QT6.J8.Q952.KT54 AK85.T92.J874.J8 | 1H-P-1N
264   N  2H-N                    J.K9852.AJ3.K982 A862.Q63.Q865.Q4 QT43.J74.KT7.A75 K975.AT.942.JT63 | 1H-P-2H
265   N  4H-N                    JT.AKQT742.Q4.Q5 Q842.83.J876.AK7 A753.965.A53.J83 K96.J.KT92.T9642 | 1H-P-2H-P-3H-P-3N-P-4H
266   N  2S-N                    K7543.J2.AK75.J8 Q96.Q865.QT8.A76 T82.A73.J64.KT32 AJ.KT94.932.Q954 | 1S-P-2S
267   N  1N-S                    QT973.K5.A52.A82 AJ82.432.Q9.K765 65.AQ976.J874.J9 K4.JT8.KT63.QT43 | 1S-P-1N
268   N  2S-N                    KT752.K.K5.A9874 864.AQ94.9842.K2 AJ.J532.QT763.T5 Q93.T876.AJ.QJ63 | 1S-P-1N-P-2C-P-2S
269   N  2S-N                    AJT52.A75.AT2.98 73.Q942.Q95.KQJ4 K94.T86.J643.A76 Q86.KJ3.K87.T532 | 1S-P-2S
270   N  1N-S                    K65.KJ987.K4.A84 AT83.AT2.Q95.962 Q4.65.JT863.KQ53 J972.Q43.A72.JT7 | 1H-P-1N
271   N  1N-S                    Q8.AT532.KT3.AJ3 KT53.9874.J9.KQ7 J76.J.AQ765.T854 A942.KQ6.842.962 | 1H-P-1N
272   N  1N-S                    KQ642.QJ3.Q76.K2 T53.A742.94.AQ75 A.T85.AT32.T8643 J987.K96.KJ85.J9 | 1S-P-1N
273   N  2S-N                    AJ985.Q83.K7.AT2 K62.J4.A864.J643 QT3.A975.T53.Q85 74.KT62.QJ92.K97 | 1S-P-2S
274   N  4H-N                    Q2.AQT84.A8653.3 A653.72.J72.K762 J974.K93.Q4.AT95 KT8.J65.KT9.QJ84 | 1H-P-3H-P-4H
275   N  2S-N                    AJT43.KJ86.98.K2 Q5.A942.643.AT86 K872.Q3.QJ75.954 96.T75.AKT2.QJ73 | 1S-P-2S
276   N  1N-N                    K94.JT732.KJ3.AJ Q87.A8.AT74.T543 T532.Q4.82.KQ972 AJ6.K965.Q965.86 | 1H-P-1S-P-1N
277   N  2S-N                    K8765.AT7.Q.KT96 QT4.Q82.542.AQ32 J2.654.AKT76.854 A93.KJ93.J983.J7 | 1S-P-1N-P-2C-P-2S
278   N  2H-N                    KQJ8.AQ964.64.52 T75.83.AQ85.KT84 643.KT2.KT73.QJ7 A92.J75.J92.A963 | 1H-P-2H
279   N  2H-N                    K42.AJT65.964.AT QJT.74.AQ73.J962 9873.Q32.K2.K854 A65.K98.JT85.Q73 | 1H-P-2H
280   N  2S-N                    AKQT62.KT6.53.J7 975.J5.AT97.KQ54 J.Q8742.J864.AT6 843.A93.KQ2.9832 | 1S-P-1N-P-2S
281   N  2S-N                    KQJ87.AK6.532.T2 T4.J742.KQT.QJ74 532.98.A764.A963 A96.QT53.J98.K85 | 1S-P-2S
282   N  1N-S                    A8742.J5.QJ5.AT7 95.A843.K42.K542 K6.9762.A763.J93 QJT3.KQT.T98.Q86 | 1S-P-1N
283   N  2H-N                    K.AQ863.T82.KJ85 J963.K94.KJ3.974 Q742.J72.Q95.AT3 AT85.T5.A764.Q62 | 1H-P-2H
284   N  1N-S                    KJT52.KQ8.QT.Q95 A863.A96.J974.62 Q.T432.K652.K843 974.J75.A83.AJT7 | 1S-P-1N
285   N  2S-N                    AQJT9.A4.9754.Q9 86.KT2.AK63.8532 K542.Q873.Q8.J64 73.J965.JT2.AKT7 | 1S-P-2S
286   N  2H-N                    J83.AKJ83.9842.A AK72.7542.T7.K43 54.QT.QJ3.QT9765 QT96.96.AK65.J82 | 1H-P-1N-P-2D-P-2H
287   N  3D-N                    A9864.A2.QT42.A4 KT7.Q853.K6.9863 J3.974.A753.KT72 Q52.KJT6.J98.QJ5 | 1S-P-1N-P-2D-P-3D
288   N  2S-N                    AT864.A52.J9.K73 75.KQ3.A765.T842 J92.T86.QT32.AQ5 KQ3.J974.K84.J96 | 1S-P-2S
289   N  4H-N                    J4.KQJT943.KT.A8 QT32.A2.J83.QJT6 A75.875.Q62.K932 K986.6.A9754.754 | 1H-P-2H-P-4H
290   N  2H-N                    K62.K9872.KJ6.A6 QJT7.Q53.A74.J82 A3.JT6.T82.Q9543 9854.A4.Q953.KT7 | 1H-P-2H
291   N  2H-N                    K8.KJ985.T85.AJ3 Q653.A2.K642.952 J94.Q73.J93.KQT6 AT72.T64.AQ7.874 | 1H-P-2H
292   N  2S-N                    AJT62.6.KT92.A83 975.QJ53.A643.K6 K8.AT92.85.JT975 Q43.K874.QJ7.Q42 | 1S-P-1N-P-2D-P-2S
293   N  1N-S                    AQ952.T3.AT2.Q73 K7.754.KJ53.K982 J8.KQ92.Q974.JT5 T643.AJ86.86.A64 | 1S-P-1N
294   N  2S-N                    KQJ54.7.A74.Q542 T76.AJ65.KJ86.T7 983.Q432.QT3.AJ9 A2.KT98.952.K863 | 1S-P-2S
295   N  2H-N                    95.AQ872.7652.AK AJT.J94.K84.JT63 Q6432.K3.A93.854 K87.T65.QJT.Q972 | 1H-P-1S-P-2D-P-2H
296   N  3H-N                    KQ8.KQ974.T3.Q54 6542.532.K9.AK73 A7.J86.AJ642.986 JT93.AT.Q875.JT2 | 1H-P-3H
297   N  2H-N                    Q84.KQT95.KQ7.97 KT62.J8.AJ8.JT85 975.742.963.AKQ4 AJ3.A63.T542.632 | 1H-P-2H
298   N  1N-N                    KQ.Q9654.A97.K32 T863.KT3.K52.A96 AJ52.J7.843.QJ75 974.A82.QJT6.T84 | 1H-P-1S-P-1N
299   N  2H-N                    A82.AT432.Q62.A4 974.Q7.AKJ8.9653 KQT53.J98.T5.Q72 J6.K65.9743.KJT8 | 1H-P-2H
300   N  2H-N                    K9.AQJ643.A9.T76 T2.975.QJT8.AQ54 QJ765.2.6543.KJ8 A843.KT8.K72.932 | 1H-P-1S-P-2H
301   N  1N-S                    AQJT8.K82.A8.732 943.97.J432.AKJ5 76.QJ543.KQT.T94 K52.AT6.9765.Q86 | 1S-P-1N
302   N  2H-N                    A4.AKT43.5.J7532 8732.Q6.KQT7.K86 QT9.J72.9632.AQ9 KJ65.985.AJ84.T4 | 1H-P-2H
303   N  3S-N                    AQJ92.QJ.Q93.J94 876.86.A642.K862 KT3.A7543.J87.Q7 54.KT92.KT5.AT53 | 1S-P-3S
304   N  4S-N                    QJ982.763.A8.AQT A64.J42.K53.J952 K75.QT85.Q762.K3 T3.AK9.JT94.8764 | 1S-P-3S-P-4S
305   N  1N-S                    QJT63.Q76.K7.AJ8 A8.T853.A94.Q962 97.A942.J8652.K7 K542.KJ.QT3.T543 | 1S-P-1N
306   N  2S-N                    K7653.KQ6.A6.J87 A94.A74.JT82.964 QJ8.J93.K753.K32 T2.T852.Q94.AQT5 | 1S-P-2S
307   N  2H-N                    QT2.KQ932.A43.K3 J64.J5.QT87.AQ96 A85.T74.K95.JT52 K973.A86.J62.874 | 1H-P-2H
308   N  2S-N                    T97542.KQ.3.AK94 AQ8.8652.J987.Q5 J6.AT74.AT64.T83 K3.J93.KQ52.J762 | 1S-P-1N-P-2C-P-2S
309   N  4H-N                    T4.Q7532.AK63.A2 AJ53.964.QJ2.654 KQ9.KT8.75.JT873 8762.AJ.T984.KQ9 | 1H-P-3H-P-4H
310   N  1N-S                    QJT75.Q4.AT8.A65 98.J983.QJ6.KQJ4 43.AT6.K9542.T93 AK62.K752.73.872 | 1S-P-1N
311   N  4H-N                    A.K7643.A862.QT8 KJT6.Q82.J43.J94 Q8742.J95.Q7.A63 953.AT.KT95.K752 | 1H-P-3H-P-4H
312   N  1N-S                    8743.AKT32.K9.Q8 QJ.9754.865.AK62 T96.J6.AQJ72.T93 AK52.Q8.T43.J754 | 1H-P-1N
313   N  4S-N                    AJ532.K9.KT962.J K8.Q752.AJ7.T754 764.AJ3.Q5.Q9832 QT9.T864.843.AK6 | 1S-P-3S-P-4S
314   N  4H-N                    AKJ.A6532.J8.642 T653.Q74.K976.KT Q7.KT8.Q432.Q875 9842.J9.AT5.AJ93 | 1H-P-3H-P-4H
315   N  1N-S                    764.Q8765.A6.AQ5 AT93.KT94.Q3.T63 J2.A3.JT8542.K87 KQ85.J2.K97.J942 | 1H-P-1N
316   N  4H-N                    AJ7.AJ9764.Q5.Q6 Q4.Q5.JT984.J972 K9865.T83.A6.K43 T32.K2.K732.AT85 | 1H-P-3H-P-4H
317   N  3H-N                    J63.AQ532.Q.A954 K82.JT9.K85.QJ32 Q94.K87.J9764.K6 AT75.64.AT32.T87 | 1H-P-3H
318   N  2H-N                    985.A7652.K.AJ84 Q32.K93.AJT2.963 AT74.QT4.8765.Q2 KJ6.J8.Q943.KT75 | 1H-P-2H
319   N  2S-N                    AQT85.K52.96.KJ8 K4.AT94.QT83.T73 963.QJ7.K752.Q54 J72.863.AJ4.A962 | 1S-P-2S
320   N  2H-N                    QJ4.KQ952.QJ5.Q5 K872.A7.842.K842 953.JT4.KT93.AJ6 AT6.863.A76.T973 | 1H-P-2H
321   N  2S-N                    AKT96.K65.K63.T7 J4.J82.AJ75.K952 752.T94.98.AQJ43 Q83.AQ73.QT42.86 | 1S-P-2S
322   N  2H-N                    Q97.AQT653.J3.A4 A4.K42.8754.QJ96 JT63.7.AQT.T8752 K852.J98.K962.K3 | 1H-P-1S-P-2H
323   N  2H-N                    AQ.AJT32.T98.QJ9 T84.764.KJ75.A82 KJ62.Q98.Q3.T643 9753.K5.A642.K75 | 1H-P-2H
324   N  3S-N                    AQJ865.J9.42.A52 97.Q32.AQJ9.J987 T2.KT64.T863.KQ3 K43.A875.K75.T64 | 1S-P-1N-P-2S-P-3S
325   N  2H-N                    K92.Q9865.AK.642 Q73.T32.JT73.AK5 T65.KJ7.Q862.Q87 AJ84.A4.954.JT93 | 1H-P-2H
326   N  1N-S                    AQJ75.952.AJ.Q43 32.AQ3.9432.KT98 64.KJ7.KT76.J762 KT98.T864.Q85.A5 | 1S-P-1N
327   N  2S-N                    KT872.K7.K3.KQ52 Q65.QJT4.86.AT97 J3.A92.Q7542.J64 A94.8653.AJT9.83 | 1S-P-1N-P-2C-P-2S
328   N  4S-N                    KJT542.K4.74.AQT 73.AJT9.A932.J76 AQ9.Q73.QT8.9542 86.8652.KJ65.K83 | 1S-P-2S-P-P-X-P-3H-3S-P-3N-P-4S
329   N  2S-N                    KQT972.K9.K86.J3 864.A53.AT4.Q875 J3.QT76.J97.A962 A5.J842.Q532.KT4 | 1S-P-1N-P-2S
330   N  2S-N                    AK864.QJT.KT6.J6 Q9.976.AJ53.KT32 T75.K842.742.A94 J32.A53.Q98.Q875 | 1S-P-2S
331   N  1N-S                    JT963.AJ5.AJ2.K2 K84.Q83.974.A986 75.K64.KQT65.T54 AQ2.T972.83.QJ73 | 1S-P-1N
332   N  2S-N                    J8765.J.AK974.AT Q9.K95.6532.KQ73 T43.AQ763.QT.862 AK2.T842.J8.J954 | 1S-P-2S
333   N  2H-N                    AJ7.A6532.QT4.KT T985.QT4.K86.QJ9 Q64.KJ8.973.A432 K32.97.AJ52.8765 | 1H-P-2H
334   N  2S-N                    JT954.AT4.Q2.AQJ AQ2.652.AT76.T65 876.Q97.KJ8.K743 K3.KJ83.9543.982 | 1S-P-2S
335   N  2S-N                    J9876.AKJT.T64.A T54.Q2.K953.KJ82 Q3.863.AJ82.QT97 AK2.9754.Q7.6543 | 1S-P-1N-P-2H-P-2S
336   N  2S-N                    AKQ43.K7.T85.Q63 876.QT82.J74.AK2 952.AJ9.KQ96.T97 JT.6543.A32.J854 | 1S-P-2S
337   N  2S-N                    AKQ53.643.T852.K 62.AT97.A96.Q983 J4.85.Q43.AJT652 T987.KQJ2.KJ7.74 | 1S-P-1N-P-2D-P-2S
338   N  4H-N                    AT6.K9742.AJ3.T8 KJ53.J3.T84.AJ96 82.QT5.KQ7.Q5432 Q974.A86.9652.K7 | 1H-P-3H-P-4H
339   N  3H-N                    K8.AT864.AT94.J3 J963.72.Q73.AQ97 QT72.KJ9.J6.KT65 A54.Q53.K852.842 | 1H-P-3H
340   N  4H-N                    K2.QT643.983.AKQ 9764.AK.JT64.752 QJT.9852.KQ7.J96 A853.J7.A52.T843 | 1H-P-3H-P-4H
341   N  2S-N                    A8654.A63.KQ4.J7 KQJ.982.952.KT43 932.KJ5.873.AQ62 T7.QT74.AJT6.985 | 1S-P-2S
342   N  2H-N                    A53.J9654.AKT7.6 J942.KT3.Q5.KT93 KT6.A87.986.QJ82 Q87.Q2.J432.A754 | 1H-P-2H
343   N  2S-N                    KQJT2.K9.63.AT54 A93.QJ82.J84.Q98 754.AT4.AT92.J63 86.7653.KQ75.K72 | 1S-P-2S
344   N  2H-N                    K32.AT432.K53.K8 T64.KQ7.AJT8.T65 AJ75.J85.92.J943 Q98.96.Q764.AQ72 | 1H-P-2H
345   N  3H-N                    AQT4.98765.J.KQJ K985.QT.9843.A74 72.KJ3.KQT6.T982 J63.A42.A752.653 | 1H-P-3H
346   N  1N-N                    KJ.T8543.QJ2.AJ6 74.A972.KT6.K932 T8632.KQ.A97.875 AQ95.J6.8543.QT4 | 1H-P-1S-P-1N
347   N  2S-N                    AKT853.8652.Q7.K 742.KQT9.K854.Q5 Q9.43.J63.AJ8763 J6.AJ7.AT92.T942 | 1S-P-1N-P-2H-P-2S
348   N  1N-S                    KJ652.AKT.Q64.53 A943.852.KJ.QT92 87.QJ43.9832.A76 QT.976.AT75.KJ84 | 1S-P-1N
