../bba/Play_Top_Tricks_NT.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
177   S  2N-S       150          62.872.AKQ5.7654 KQJ9.QJ93.42.932 A84.AK54.J873.AT T753.T6.T96.KQJ8 | 1N-P-2N
178   S  3N-S       600          963.T86.AT862.A4 754.Q3.K74.JT986 AJT.AK52.53.KQ52 KQ82.J974.QJ9.73 | 1N-P-2N-P-3N
179   S  3N-S       430          872.974.A7.AK874 J95.Q62.JT642.T5 AT4.A85.KQ98.QJ6 KQ63.KJT3.53.932 | 1N-P-3N
180   S  3N-S       630          J42.962.AJ86.AK6 KQ953.KJ.532.J84 AT6.A83.KQ97.Q73 87.QT754.T4.T952 | 1N-P-3N
181   S  3N-S       600          K54.763.A95.QT42 QT832.Q854.8.975 A9.AJ2.T732.AKJ6 J76.KT9.KQJ64.83 | 1N-P-2N-P-3N
182   S  5D-N       420          95..AQJT96432.Q9 JT83.Q653..KJT65 A64.AJT.K75.A742 KQ72.K98742.8.83 | 1N-P-5D
183   S  1N-S       120          J84.432.AJ643.J5 Q97.Q97.T82.KQ98 AT52.AT6.KQ5.A63 K63.KJ85.97.T742 | 1N
184   S  3N-S       460          642.986.A2.KQ643 T75.QJ5.KJT96.JT AKQ9.A32.854.A97 J83.KT74.Q73.852 | 1N-P-3N
185   S  3N-S       400          J97.JT8.AK87.752 KQT53.9532.T5.JT A864.AKQ7.96.A94 2.64.QJ432.KQ863 | 1N-P-2N-P-3N
186   S  3N-S       600          965.A54.A862.T65 KT2.J97.975.J982 A874.T2.KJT3.AKQ QJ3.KQ863.Q4.743 | 1N-P-2N-P-3N
187   S  3N-S       400          Q43.87.AQT96.J74 76.K6532.87.Q963 AT52.AJT4.KJ5.A5 KJ98.Q9.432.KT82 | 1N-P-2N-P-3N
188   S  3N-S       600          982.2.AJT93.A652 KQ6.J9.7652.KJ93 A53.AQT7.KQ4.Q74 JT74.K86543.8.T8 | 1N-P-2N-P-3N
189   S  3N-S       630          T65.A54.AQ.QT864 KQ9872.J.8532.75 A4.9762.KT6.AKJ3 J3.KQT83.J974.92 | 1N-P-3N
190   S  3N-S       490          KT.762.AQT83.KQ8 Q743.Q843.J2.J75 AJ62.AJT5.K4.AT6 985.K9.9765.9432 | 1N-P-3N
191   S  3N-S       600          832.762.AQJT6.K4 QT7.43.8542.QJ65 A5.AT98.K73.AT87 KJ964.KQJ5.9.932 | 1N-P-3N
192   S  3N-S       400          76.732.A9852.AJ4 T83.96.KJ3.KQ763 AKQJ.AK8.T76.T95 9542.QJT54.Q4.82 | 1N-P-2N-P-3N
193   S  2N-S       150          T86.T6.AKQ4.9742 KQJ72.953.T96.QT A95.A8.J832.AK53 43.KQJ742.75.J86 | 1N-P-2N
194   S  3N-S       600          T32.AT4.AT84.862 9876.Q.QJ953.954 AK4.J93.762.AKQT QJ5.K87652.K.J73 | 1N-2H-2N-P-3N
195   S  3N-S       400          T.KT3.AJ653.J732 KQJ542.Q874.8.T9 A83.A6.KQ72.A654 976.J952.T94.KQ8 | 1N-P-3N
196   S  3N-S       600          976.74.A952.AJ72 KQJT4.T96.J7.T64 A83.AJ2.K643.KQ9 52.KQ853.QT8.853 | 1N-P-2N-P-3N
197   S  3N-S       630          93.863.AQ754.KT6 KJ6.KJ975.3.J972 A72.AT4.KT98.AQ5 QT854.Q2.J62.843 | 1N-P-2N-P-3N
198   S  2N-S       120          53.82.AKT97.Q975 T8.KQ9.632.KJT42 A642.AT43.QJ8.A3 KQJ97.J765.54.86 | 1N-P-2N
199   S  3N-S       660          KT2.A73.A7.QJT54 QJ954.KT98.42.76 A73.Q64.KJ93.AK8 86.J52.QT865.932 | 1N-P-3N
200   S  3N-S       400          652.AT2.AT5.8642 T43.J95.Q94.KQJ5 AKQ8.K83.J73.AT9 J97.Q764.K862.73 | 1N-P-2N-P-3N
201   S  3N-S       460          5.QT5.AKJ64.K874 J32.K942.T832.J6 A87.A873.Q75.AQ5 KQT964.J6.9.T932 | 1N-P-3N
202   S  3N-S       660          862.Q96.AQ83.AJ8 QJ74.T2.JT752.76 A95.AKJ7.K64.QT4 KT3.8543.9.K9532 | 1N-P-3N
203   S  3N-S       430          T6.95.AQ93.AKT85 QJ4.QT62.872.QJ4 A53.AK83.KJ65.76 K9872.J74.T4.932 | 1N-P-3N
204   S  3N-S       660          853.5.AQJT3.KJT6 J74.KQ987.952.75 AT9.AT2.K76.AQ84 KQ62.J643.84.932 | 1N-P-3N
205   S  3N-S       660          J73.A5.AT9.AJT64 642.KJ974.7642.8 AK5.Q63.QJ83.KQ7 QT98.T82.K5.9532 | 1N-P-3N
206   S  3N-S       430          J72.A75.AKT85.QT 9865.QJ963.72.K4 AT.K42.QJ94.AJ87 KQ43.T8.63.96532 | 1N-P-3N
207   S  3N-S       600          T.T43.AT53.KQT94 Q42.KJ85.764.732 A83.AQ.Q982.AJ65 KJ9765.9762.KJ.8 | 1N-P-3N
208   S  3N-S       400          T43.J62.AQ7.JT96 96.KQ43.T9654.52 A87.A987.32.AKQ8 KQJ52.T5.KJ8.743 | 1N-P-2N-P-3N
209   S  3N-S       430          2.A76.A965.KJT54 KJT6.QJ32.732.86 A75.K98.QJ8.AQ73 Q9843.T54.KT4.92 | 1N-P-3N
210   S  3N-S       660          32.AQ4.AJ943.KT6 974.T9652.T2.875 AJT8.KJ73.K8.AJ4 KQ65.8.Q765.Q932 | 1N-P-3N
211   S  3N-S       430          JT2.A76.AKT87.86 K87.K954.32.QJT4 A96.QT8.QJ5.AK73 Q543.J32.964.952 | 1N-P-3N
212   S  3N-S       600          T63.T5.AT5.KQ976 KJ85.K4.J9842.T5 A7.AJ92.K73.AJ43 Q942.Q8763.Q6.82 | 1N-P-2N-P-3N
213   S  3N-S       690          JT9.Q65.AKJT5.KT KQ73.J832.842.J7 A864.AKT9.93.AQ8 52.74.Q76.965432 | 1N-P-3N
214   S  2N-S       120          942.A96.AT.J7543 Q87.K72.J975.T96 AK65.T8.8642.AKQ JT3.QJ543.KQ3.82 | 1N-P-2N
215   S  3N-S       600          32.432.AKJT6.J73 QJT85.K5.75.9642 A96.AT7.942.AKQ5 K74.QJ986.Q83.T8 | 1N-P-2N-P-3N
216   S  1N-S       150          986.J86.AT4.QT94 Q754.KQ974.93.86 A2.AT53.J872.AKJ KJT3.2.KQ65.7532 | 1N
217   S  3N-S       430          42.AT2.A65.KQJ87 QJ65.K96.QJ32.T6 AK83.J83.K94.A53 T97.Q754.T87.942 | 1N-P-3N
218   S  3N-S       660          K.932.AKQ9.Q8765 T983.875.J8742.T A542.AJ64.65.AKJ QJ76.KQT.T3.9432 | 1N-P-3N
219   S  3N-S       400          92.K5.A865.KJT87 Q873.QT87.QJ732. AJ6.A943.T4.AQ63 KT54.J62.K9.9542 | 1N-P-3N
220   S  2N-S       120          872.Q73.AK843.62 K4.KT542.5.K7543 A6.A986.QJT2.AT9 QJT953.J.976.QJ8 | 1N-P-2N
221   S  3N-S       600          T65.93.AK986.T84 QJ987.KJT75..J96 A432.A82.Q53.AK2 K.Q64.JT742.Q753 | 1N-P-2N-P-3N
222   S  2N-S       120          J82.84.AT9.KJT73 754.KJ732.K854.2 AT9.A9.J732.AQ94 KQ63.QT65.Q6.865 | 1N-P-2N
223   S  3N-S       660          862.JT7.AKQT5.K8 7543.Q86.8732.T6 AK.A942.J964.AJ7 QJT9.K53..Q95432 | 1N-P-3N
224   S  3N-S       430          T2.AT2.AKJT6.J64 Q43.J7653.72.KQ8 AJ76.KQ9.Q83.A75 K985.84.954.T932 | 1N-P-3N
225   S  3N-S       400          97.A6.AJ64.97432 JT84.KJ752.QT5.6 AK5.T983.73.AKQJ Q632.Q4.K982.T85 | 1N-P-2N-P-3N
226   S  3N-S       630          95.AJ4.AT875.K54 T73.K98.9632.T87 AQJ.653.KQJ4.A63 K8642.QT72..QJ92 | 1N-P-3N
227   S  3N-S       400          852.T82.AQ83.Q85 QJ76.K9754.9.K64 A43.AJ63.KJ54.A9 KT9.Q.T762.JT732 | 1N-P-2N-P-3N
228   S  2N-S       150          873.A43.A7.T9852 JT652.QJ72.Q52.4 AKQ4.T95.K43.AJ6 9.K86.JT986.KQ73 | 1N-P-2N
229   S  2S-W        50          T85.964.AKQ6.976 64.QT75.932.QJ54 A9.AK32.JT74.AT3 KQJ732.J8.85.K82 | 1N-2S
230   S  1N-S       210          QJ9.2.AQT98654.6 KT52.98654..JT94 A874.AJT.KJ7.A73 63.KQ73.32.KQ852 | 1N
231   S  3N-S       600          943.KJ8.AT843.62 KJT62.7652.J9.J9 A8.AT43.KQ76.A85 Q75.Q9.52.KQT743 | 1N-P-2N-P-3N
232   S  3N-S       430          64.T6.AK75.AKT74 JT985.8743.Q642. AK73.AJ.983.QJ86 Q2.KQ952.JT.9532 | 1N-P-3N
233   S  3N-S       430          763.A7.A964.AT76 QT82.J32.JT732.8 A954.K95.K5.KQJ3 KJ.QT864.Q8.9542 | 1N-P-3N
234   S  3N-S       660          Q92.K72.AKJ.J864 KT853.865.632.T5 A6.A43.Q984.AK73 J74.QJT9.T75.Q92 | 1N-P-3N
235   S  3N-S       400          T93.T82.AT.AJ765 KQ7654.KJ75.54.4 A82.AQ3.J86.KQT9 J.964.KQ9732.832 | 1N-P-3N
236   S  3N-S       630          T2.AQ5.A75.QT876 KQJ53.K93.T862.5 A984.642.K3.AKJ4 76.JT87.QJ94.932 | 1N-P-3N
237   S  3N-S       630          Q32.843.AT6.A853 J7.T952.8532.QJ4 AK94.A76.KQJ9.T7 T865.KQJ.74.K962 | 1N-P-3N
238   S  2H-W        50          872.54.AT93.AJ76 T6.T98.KQJ6.T542 AK94.A6.7542.KQ9 QJ53.KQJ732.8.83 | 1N-2H
239   S  2N-S       150          6.842.AT73.KQT43 JT97.KQ93.984.95 A43.AT.QJ62.AJ76 KQ852.J765.K5.82 | 1N-P-2N
240   S  2N-S       120          96.JT3.AKJ63.976 K42.Q972.9542.Q3 A8.A654.QT8.AJ42 QJT753.K8.7.KT85 | 1N-P-2N
241   S  3N-S       400          J42.A32.AT76.742 QT83.T85.J8.QJ96 A76.KQJ9.K543.A5 K95.764.Q92.KT83 | 1N-P-2N-P-3N
242   S  3N-S       630          J74.AQ.AJT65.J43 T62.T9.9832.KQT8 AK95.852.KQ7.A76 Q83.KJ7643.4.952 | 1N-P-3N
243   S  2N-S       120          T32.A85.A9862.T2 765.J32.KQJT.K98 AKQJ.T74.73.AJ54 984.KQ96.54.Q763 | 1N-P-2N
244   S  3N-S       600          K9.987.AQ532.742 T73.J63.T97.KQ95 A865.A42.KJ6.AJ3 QJ42.KQT5.84.T86 | 1N-P-2N-P-3N
245   S  3N-S       600          983.T85.A9.AJ976 J.Q94.Q865432.43 A764.AJ73.K7.KQ5 KQT52.K62.JT.T82 | 1N-P-2N-P-3N
246   S  3N-S       400          9.T96.A652.KQ976 K754.K2.KJT43.42 AQ32.AQ53.98.AJT JT86.J874.Q7.853 | 1N-P-2N-P-3N
247   S  3N-S       600          T54.K9.AJ985.J94 Q72.QJ72.T732.T5 A96.A854.KQ4.A73 KJ83.T63.6.KQ862 | 1N-P-3N
248   S  2N-S       120          654.7.AT953.A652 T873.KQT86.QJ2.8 AK9.A932.76.KQT9 QJ2.J54.K84.J743 | 1N-P-2N
249   S  3N-S       400          T43.75.AQ974.A76 QJ975.JT86.632.Q A86.A94.KJT.KJ85 K2.KQ32.85.T9432 | 1N-P-3N
250   S  3N-S       630          K9.K92.A53.QJT74 QT43.J7543.K82.5 AJ72.A86.T94.AK8 865.QT.QJ76.9632 | 1N-P-3N
251   S  3N-S       400          6.962.AJ842.A962 J54.QJT3.T63.543 A932.A87.K7.KQJ7 KQT87.K54.Q95.T8 | 1N-P-2N-P-3N
252   S  3N-S       660          K9.AT.A9763.QJT5 J85.QJ932.T2.864 AQ73.86.KJ84.AK7 T642.K754.Q5.932 | 1N-P-3N
253   S  3N-S       600          8.J63.AT853.A432 KJ92.974.Q42.765 AT54.AT2.K9.KQJ9 Q763.KQ85.J76.T8 | 1N-P-2N-P-3N
254   S  3N-S       400          643.964.A853.A85 JT52.KJT.QJ76.T9 AKQ8.A832.T9.KJ4 97.Q75.K42.Q7632 | 1N-P-2N-P-3N
255   S  2H-W        50          65.84.A653.A9654 Q872.5.KQT94.J82 AK94.A632.J2.KQT JT3.KQJT97.87.73 | 1N-2H
256   S  3N-S       430          Q82.A97.AT8.K875 T64.QJ84.KQJ532. AKJ7.KT52.764.A3 953.63.9.QJT9642 | 1N-P-3N
257   S  3N-S       430          76.AQ4.A54.QJ864 853.986.Q9832.T3 AQ2.K52.JT7.AK75 KJT94.JT73.K6.92 | 1N-P-3N
258   S  3N-S       600          J84.843.A9.A6543 532.Q95.Q852.K72 AKQ7.AT2.KJT3.T9 T96.KJ76.764.QJ8 | 1N-P-2N-P-3N
259   S  3N-S       460          KQT.9.AT97.AJ654 953.Q76.6432.KT7 AJ8.A43.KQJ5.Q83 7642.KJT852.8.92 | 1N-P-3N
260   S  2N-S       150          53.73.AJ854.A753 J862.KJ5.T9762.J A97.A642.KQ3.K96 KQT4.QT98..QT842 | 1N-P-2N
261   S  3N-S       660          96.AT.AKQ53.T654 K74.KQJ974.92.J8 AQJ.652.JT8.AKQ7 T8532.83.764.932 | 1N-P-3N
262   S  3N-S       460          J.T96.AKT9.KQJ83 T7652.KJ2.632.54 AK84.A73.J8.AT76 Q93.Q854.Q754.92 | 1N-P-3N
263   S  3N-S       600          4.A53.AT876.T983 T98652.T4.KJ2.J4 AK3.J98.943.AKQ6 QJ7.KQ762.Q5.752 | 1N-P-2N-P-3N
264   S  3N-S       400          T87.A64.A97.J762 964.7.JT6542.K93 AKQJ.532.K83.AT5 532.KQJT98.Q.Q84 | 1N-2H-2N-P-3N
265   S  3N-S       400          753.J73.AJ.QJT64 KJ62.9852.T2.972 A84.AQ64.954.AK5 QT9.KT.KQ8763.83 | 1N-2D-3N
266   S  3N-S       600          K93.654.A85.Q972 JT82.QT987.KQT.5 A74.AJ3.962.AKJ6 Q65.K2.J743.T843 | 1N-P-2N-P-3N
267   S  2N-S       150          6.A83.A6432.J652 T974.KQ.QT9.T974 AKJ3.T642.75.AKQ Q852.J975.KJ8.83 | 1N-P-2N
268   S  3N-S       660          732.KQJ.AQ96.Q74 K4.75.J5432.T853 AJ85.A32.T7.AKJ6 QT96.T9864.K8.92 | 1N-P-3N
269   S  3N-S       630          52.Q9.AKT74.9653 KT83.T752.J865.K A964.AK4.Q9.AT74 QJ7.J863.32.QJ82 | 1N-P-2N-P-3N
270   S  3N-S       430          K82.AJ3.AJ8.6543 J974.KQ5.K932.87 AQ5.T874.65.AKQJ T63.962.QT74.T92 | 1N-P-3N
271   S  3N-S       600          J2.T86.A85.KJT94 KT8543.Q52.Q43.7 AQ.A943.JT92.AQ6 976.KJ7.K76.8532 | 1N-P-3N
272   S  3N-S       430          762.A74.AKQT5.76 Q85.K96.432.KQT5 AKT3.Q32.J76.AJ8 J94.JT85.98.9432 | 1N-P-3N
273   S  1N-S       150          865.987.AJ2.QJ65 3.K653.K984.T984 AT74.AQ42.T5.AK2 KQJ92.JT.Q763.73 | 1N
274   S  3N-S       630          864.Q7.AK654.T93 T52.JT985.T3.KQ5 A973.AK63.Q97.A7 KQJ.42.J82.J8642 | 1N-P-2N-P-3N
275   S  3N-S       430          J86.T94.AQJ.AT87 KQT743.8.32.J654 A952.A75.K765.KQ .KQJ632.T984.932 | 1N-P-3N
276   S  3N-S       600          32.K85.AJ872.J73 KQ7.Q43.T964.T92 AT54.A976.KQ3.A6 J986.JT2.5.KQ854 | 1N-P-2N-P-3N
277   S  3N-S       660          952.QT7.A5.AKT65 Q.J86.JT9432.Q43 AT8.AK93.KQ87.87 KJ7643.542.6.J92 | 1N-P-3N
278   S  3N-S       400          432.A73.A52.J932 KQ.Q95.9764.Q764 A86.864.KQJ3.AK5 JT975.KJT2.T8.T8 | 1N-P-2N-P-3N
279   S  3N-S      -100          T83.652.A976.KJ4 KJ64.JT93.Q43.98 AQ52.A87.T8.AQ52 97.KQ4.KJ52.T763 | 1N-P-3N
280   S  3N-S       430          J63.AJT.AQT53.64 KQ9872.9754.2.J8 A54.K6.KJ84.AT75 T.Q832.976.KQ932 | 1N-P-3N
281   S  3N-S       400          J95.532.A873.KJ9 Q8732.KQ.QJ42.65 A64.AT87.K9.AQ74 KT.J964.T65.T832 | 1N-P-3N
282   S  3N-S       660          K8.32.A8753.KQJ7 5432.K764.42.865 AQT7.AT95.QJT.A4 J96.QJ8.K96.T932 | 1N-P-3N
283   S  3N-S       400          543.A96.A76.T985 Q2.QT754.KT432.6 AT8.KJ8.985.AKQ3 KJ976.32.QJ.J742 | 1N-P-2N-P-3N
284   S  3N-S       600          97.972.AKQ63.743 Q86.KJT63.52.KJ6 A2.AQ4.JT94.AT92 KJT543.85.87.Q85 | 1N-P-3N
285   S  3N-S       600          853.843.AKQ52.72 KJ762.Q952.87.T9 AQ94.AJ.JT3.AJ53 T.KT76.964.KQ864 | 1N-P-3N
286   S  3N-S       430          Q74.K7.A974.A853 9653.J943.Q32.K7 AKT8.AQ6.K85.J64 J2.T852.JT6.QT92 | 1N-P-3N
287   S  2N-S       150          4.J95.AT752.A962 KJ85.86.KQ9.JT54 A932.AKQT.84.K73 QT76.7432.J63.Q8 | 1N-P-2N
288   S  2N-S       120          J82.JT3.A965.QT5 T96.K82.KJ74.964 A754.A65.82.AKJ8 KQ3.Q974.QT3.732 | 1N-P-2N
289   S  2N-S       120          984.KJ2.AT96.984 Q765.87.432.KQT2 AJT3.AQ43.85.AJ5 K2.T965.KQJ7.763 | 1N-P-2N
290   S  3N-S       660          93.A87.AKJT6.Q74 KT7.964.932.JT53 AQ86.Q2.Q54.AK86 J542.KJT53.87.92 | 1N-P-3N
291   S  3N-S       430          J82.AT2.A4.QJT87 KQT7.987.Q9732.6 A43.K5.K865.AK43 965.QJ643.JT.952 | 1N-P-3N
292   S  1N-S       150          96.A82.A932.T652 Q843.Q93.KJT85.9 AJ5.K654.74.AKQ8 KT72.JT7.Q6.J743 | 1N
293   S  3N-S       600          T2.J8.AT86.KJT63 Q97653.Q43.75.97 AJ4.A652.Q3.AQ54 K8.KT97.KJ942.82 | 1N-P-2N-P-3N
294   S  3N-S       430          Q74.A93.AQJT4.85 J93.8542.982.J76 A8.JT76.K765.AK4 KT652.KQ.3.QT932 | 1N-P-3N
295   S  3N-S       630          KQ5.983.AK753.Q5 984.QJT75.T942.K AT6.A42.QJ8.A874 J732.K6.6.JT9632 | 1N-P-3N
296   S  2N-S       120          J3.43.AK876.J964 K862.KQJ82.52.53 A97.AT97.QJT4.A7 QT54.65.93.KQT82 | 1N-P-2N
297   S  3N-S       400          876.A5.AT73.J764 JT954.K92.65.532 AK3.J43.942.AKQ9 Q2.QT876.KQJ8.T8 | 1N-P-2N-P-3N
298   S  3N-S       630          Q7.843.AQ85.AJ86 K6542.T76.J32.74 A983.A5.K74.KQT5 JT.KQJ92.T96.932 | 1N-P-3N
299   S  1N-S       120          864.5.AT643.K953 J952.QJ983.Q82.T AK.A762.975.AQ86 QT73.KT4.KJ.J742 | 1N
300   S  3N-S       600          92.A97.AJ32.T763 KQ753.8654.86.K4 A8.K32.KQT4.AJ92 JT64.QJT.975.Q85 | 1N-P-2N-P-3N
301   S  3N-S       600          Q9.T85.A95.QJT93 KJ753.K9.QJ843.4 A42.AQ64.76.AK75 T86.J732.KT2.862 | 1N-P-2N-P-3N
302   S  3N-S       460          Q76.743.AKJT.AT8 J5.Q962.632.Q654 AK82.AKT5.Q75.73 T943.J8.984.KJ92 | 1N-P-3N
303   S  3N-S       660          976.AK8.AQ.87653 J8.J43.J6532.QJ4 AKT3.Q75.KT74.AT Q542.T962.98.K92 | 1N-P-3N
304   S  3N-S       400          75.985.A54.AT984 QT9.QJT764.32.K5 A832.AK3.KQ87.J6 KJ64.2.JT96.Q732 | 1N-P-2N-P-3N
305   S  2N-S       120          Q87.75.AQJT5.T72 K32.KQ632.98.J93 A95.AT9.K643.A54 JT64.J84.72.KQ86 | 1N-P-2N
306   S  3N-S       630          J6.542.A85.AQJ86 T74.K97.J932.T73 AK98.A8.K764.K54 Q532.QJT63.QT.92 | 1N-P-3N
307   S  3N-S       400          873.T2.A653.AT85 QJ54.Q85.97.KQ62 AKT6.A943.KQT.J9 92.KJ76.J842.743 | 1N-P-2N-P-3N
308   S  2N-S       120          J7.642.AQJ72.J75 K964.QJ7.93.9642 AT32.AT9.KT85.AT Q85.K853.64.KQ83 | 1N-P-2N
309   S  3N-S       600          954.T86.AKQ94.T5 KT7.J42.872.KQ72 AQ62.A95.JT3.A96 J83.KQ73.65.J843 | 1N-P-3N
310   S  3N-S       460          KT2.K54.AKT8.875 64.QT872.532.JT3 AQ95.A963.97.AK4 J873.J.QJ64.Q962 | 1N-P-3N
311   S  3N-S       630          T74.83.AKQ82.T75 KQ9.QT6.T9653.Q9 A63.AJ75.J4.AK64 J852.K942.7.J832 | 1N-P-3N
312   S  3N-S       430          T9.98.AKT75.AK63 Q64.KQ74.832.T74 AKJ5.A632.QJ6.85 8732.JT5.94.QJ92 | 1N-P-3N
313   S  3N-S       400          T5.84.A9652.AJT9 982.K95.KQ8.7642 AK76.AJT7.43.KQ5 QJ43.Q632.JT7.83 | 1N-P-2N-P-3N
314   S  3N-S       630          872.87.AK95.A753 QJT954.KJ4.32.64 AK3.A965.T8.KQJ8 6.QT32.QJ764.T92 | 1N-P-3N
315   S  2N-S       150          53.96.AQ84.KT763 KJ9862.QJ742..J9 A4.AT3.KJ65.A542 QT7.K85.T9732.Q8 | 1N-P-2N
316   S  2N-S       150          J82.97.AT653.A62 765.QT5.QJ7.JT93 AKQ4.A832.K42.74 T93.KJ64.98.KQ85 | 1N-P-2N
317   S  3N-S       630          J93.QT9.A87.AJ76 KQT62.76.QT2.T84 A84.AK83.964.KQ5 75.J542.KJ53.932 | 1N-P-3N
318   S  2N-S       150          73.753.A84.AJT74 K985.KQ64.T3.952 AQT2.A92.J92.KQ6 J64.JT8.KQ765.83 | 1N-P-2N
319   S  3N-S       600          Q87.97.AK765.T64 532.QJT863.2.KJ9 AKJ9.A5.J843.A72 T64.K42.QT9.Q853 | 1N-P-2N-P-3N
320   S  3N-S       460          T9.K96.AJ54.AQ76 J76.8754.T832.54 AK4.AT32.K76.K83 Q8532.QJ.Q9.JT92 | 1N-P-3N
321   S  1N-S       120          73.932.AQ94.T642 642.KQ7.765.KJ85 AJT5.AT4.KJT2.A9 KQ98.J865.83.Q73 | 1N
322   S  3N-S       600          43.753.AQT96.QJ3 KJ52.K82.82.T765 AT9.AJ96.KJ43.A9 Q876.QT4.75.K842 | 1N-P-2N-P-3N
323   S  2N-S       150          2.J65.AQT96.Q763 K87643..732.KJT9 AT5.A732.KJ.A542 QJ9.KQT984.854.8 | 1N-P-2N
324   S  3N-S       630          2.KQT.AT753.9654 K84.9843.J4.KQJ7 AT53.A72.KQ92.AT QJ976.J65.86.832 | 1N-P-2N-P-3N
325   S  3N-S       660          97.J2.AJT7.AKT76 KQT4.K964.32.843 A85.AQ75.KQ64.Q5 J632.T83.985.J92 | 1N-P-3N
326   S  3N-S       400          K2.92.A7653.Q432 J53.Q65.KQJ82.95 A87.AJ87.T4.AKJ7 QT964.KT43.9.T86 | 1N-P-2N-P-3N
327   S  3N-S       600          76.K84.A63.Q6543 85.T75.KQJ72.T92 AT42.AJ9.T5.AKJ7 KQJ93.Q632.984.8 | 1N-P-2N-P-3N
328   S  2D-E        50          K63.542.A62.J542 J4.Q83.KQJT84.86 AQ7.A976.973.AK9 T9852.KJT.5.QT73 | 1N-P-P-2D
329   S  3N-S       400          764.765.AT862.A5 T85.QT3.KQJ43.62 AKQ2.AK8.95.JT98 J93.J942.7.KQ743 | 1N-P-2N-P-3N
330   S  2N-S       120          762.76.AT76.A986 QJ4.QT854.Q9.JT4 A985.A92.K852.KQ KT3.KJ3.J43.7532 | 1N-P-2N
331   S  3N-S       430          J76.A72.A75.AT87 T954.QJ8.T32.KQ3 AKQ3.K964.KJ4.64 82.T53.Q986.J952 | 1N-P-3N
332   S  1N-S       120          984.763.AT742.K2 T7.JT2.QJ65.Q954 AKQ6.A854.983.A8 J532.KQ9.K.JT763 | 1N
333   S  3N-S       600          962.T42.A862.AJT 73.96.QT93.KQ964 AKQJ.A83.K74.752 T854.KQJ75.J5.83 | 1N-P-3N
334   S  3N-S       400          KT6.63.AQ65.9765 97.KQT.JT82.KJ43 AQ4.A95.K943.AT2 J8532.J8742.7.Q8 | 1N-P-2N-P-3N
335   S  3N-S       660          J9.A9.AKJT.JT543 52.T876.Q98432.8 A43.QJ52.65.AKQ7 KQT876.K43.7.962 | 1N-2S-3C-P-3N
336   S  2N-S       150          87.AT3.AJT85.976 QT943.J876.62.KJ AJ6.52.KQ93.AQT2 K52.KQ94.74.8543 | 1N-P-2N
337   S  3N-S       460          654.KT6.A9.AQJT5 JT8.98742.KJ72.7 AQ93.AQ53.Q54.K8 K72.J.T863.96432 | 1N-P-3N
338   S  3N-S       630          Q76.KT5.A9.AT873 T94.QJ96.Q8732.6 AKJ3.A743.T5.KJ4 852.82.KJ64.Q952 | 1N-P-3N
339   S  3N-S       400          93.T2.A9432.KQ62 KT6542.86.QT.743 A7.AK94.J76.AJ95 QJ8.QJ753.K85.T8 | 1N-P-2N-P-3N
340   S  3N-S       660          J52.AK.A964.Q874 Q643.T964.K2.J65 AK87.Q732.T3.AKT T9.J85.QJ875.932 | 1N-P-3N
341   S  3N-S       600          865.52.AJ654.A63 QJ3.T7.T982.K742 AT4.AKJ4.KQ73.T9 K972.Q9863..QJ85 | 1N-P-2N-P-3N
342   S  2N-S       150          96.432.AQT4.Q865 QJT42.KJ76.95.42 A83.AT85.KJ3.AT9 K75.Q9.8762.KJ73 | 1N-P-2N
343   S  2N-S       150          98.82.AQ954.K952 K76.KQJ3.632.T64 AT42.A975.KJ8.A7 QJ53.T64.T7.QJ83 | 1N-P-2N
344   S  1N-S       150          64.65.A754.AT964 JT2.J873.Q982.J8 A53.A94.KJT3.KQ3 KQ987.KQT2.6.752 | 1N
345   S  3N-S       430          KT3.965.A7.KT876 J962.Q3.KQ9632.3 A7.AJ7.JT85.AQJ5 Q854.KT842.4.942 | 1N-P-3N
346   S  3N-S       600          T8.J43.AJ8.KQT86 754.Q962.Q9632.4 A62.AK8.754.AJ75 KQJ93.T75.KT.932 | 1N-P-3N
347   S  3N-S       460          K62.962.AJ9.AJ73 Q9854.Q75.8632.Q AJT7.A4.KQT7.K84 3.KJT83.54.T9652 | 1N-P-3N
348   S  3N-S       660          QT4.QT.AQ63.AT85 96.KJ762.9872.64 AK52.A95.KJT5.Q7 J873.843.4.KJ932 | 1N-P-3N
349   S  3N-S       660          753.A9.AK543.QJ6 QT.T76543.72.KT4 A96.KQ8.QJT6.A87 KJ842.J2.98.9532 | 1N-P-3N
350   S  3N-S       400          T65.AT9.AT975.98 973.Q854.J86.Q52 A42.J732.KQ3.AK4 KQJ8.K6.42.JT763 | 1N-P-3N
351   S  3N-S       690          KQ4.J83.AKT76.T8 JT7.954.J92.QJ54 A965.A62.Q5.AK76 832.KQT7.843.932 | 1N-P-3N
352   S  3N-S       430          K96.A8.AQJ8.8763 QT3.Q932.T932.J4 A42.JT76.K65.AK5 J875.K54.74.QT92 | 1N-P-3N
353   S  3N-S       520          J87.K2.AKQJ9873. 2.J8754.T2.Q8765 AK43.AQT6.654.AT QT965.93..KJ9432 | 1N-P-3N
