../bba/Last_Train_GT2.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
159   S  4S-N                    T9876.A653.AK3.5 J3.JT7.T652.AKT4 AKQ2.Q9.J9.J9732 54.K842.Q874.Q86 | 1C-P-1S-P-2S-P-4S
160   S  4S-N                    9752.K8.AK93.T94 KQ.Q954.JT75.Q53 AT83.J62.2.AKJ62 J64.AT73.Q864.87 | 1C-P-1S-P-2S-P-3S-P-4S
161   S  2S-N                    Q973.A74.KQ65.T7 86.9865.AJ94.J42 KJT4.KQ.87.A9865 A52.JT32.T32.KQ3 | 1C-P-1S-P-2S
162   S  4S-N                    AK98.K92.J96.T42 Q3.7654.A8752.53 J742.A8.KT.AQ986 T65.QJT3.Q43.KJ7 | 1C-P-1S-P-3S-P-3N-P-4S
163   S  3H-N                    Q62.Q542.A963.Q6 KT73.A63.QT82.T7 A4.KJT9.54.KJ854 J985.87.KJ7.A932 | 1C-P-1H-P-2H-P-3H
164   S  4H-S                    QJ.7532.AT764.KJ AK73.98.K985.T53 652.AKT4.J.AQ762 T984.QJ6.Q32.984 | 1C-P-1D-P-1H-P-3H-P-4H
165   S  2S-N                    K753.T53.AQ52.J3 94.A92.KJ93.9852 AT82.Q76.T.AQT64 QJ6.KJ84.8764.K7 | 1C-P-1S-P-2S
166   S  2H-N                    AT4.Q974.J542.Q7 J965.T8.AQ76.986 Q8.AK62.T3.AJT54 K732.J53.K98.K32 | 1C-P-1H-P-2H
167   S  4H-N                    J43.QT652.A63.A9 KQ76.97.K87.Q852 9.AKJ8.JT2.KJ764 AT852.43.Q954.T3 | 1C-P-1H-P-2H-P-4H
168   S  3N-N                    J65.AT4.A832.QT7 T874.Q865.QJ.A43 AQ.97.K954.KJ982 K932.KJ32.T76.65 | 1C-P-1D-P-2D-P-2N-P-3N
169   S  4S-N                    J543.KT4.KT72.A4 A76.Q532.J53.Q62 KT98.AJ.Q6.K9873 Q2.9876.A984.JT5 | 1C-P-1S-P-2S-P-3S-P-4S
170   S  4H-N                    T86.A854.AK75.32 AJ95.62.JT9.Q975 K3.KQJ3.32.AT864 Q742.T97.Q864.KJ | 1C-P-1H-P-2H-P-4H
171   S  4H-N                    974.AT9652.AKT.3 QJ3.KJ3.7543.Q94 K2.Q874.J2.AKT75 AT865..Q986.J862 | 1C-P-1H-P-2H-P-4H
172   S  3H-N                    QT96.AK863.9643. A853.54.KT5.KT42 J4.QJ92.Q7.AQ765 K72.T7.AJ82.J983 | 1C-P-1H-P-2H-P-3H
173   S  2H-N                    K5.AJ62.Q73.J842 AJ42.753.J654.K3 T8.KQ84.AT.AT765 Q9763.T9.K982.Q9 | 1C-P-1H-P-2H
174   S  4H-N                    K643.KT52.K82.42 T972.84.A9765.KT AQJ.J973.T.AQ853 85.AQ6.QJ43.J976 | 1C-P-1H-P-3H-P-4H
175   S  1N-S                    AKT.J64.QT98.973 Q872.KT98.J75.J5 95.AQ.AK63.T8642 J643.7532.42.AKQ | 1C-P-1D-P-1N
176   S  3S-S                    7642.86.AKQ63.73 Q8.KJ93.T94.A985 AKT9.T54.2.KQJT4 J53.AQ72.J875.62 | 1C-P-1D-P-1S-P-3S
177   S  4H-S                    954.QJT7.AKJT8.7 AJ83.953.7653.QJ KQT.A642.Q.KT943 762.K8.942.A8652 | 1C-P-1D-P-1H-P-3H-P-4H
178   S  4H-N                    T76.K97432.KJ.K2 Q9853.J.9652.A97 J.AQT8.AT8.QJ865 AK42.65.Q743.T43 | 1C-P-1H-P-2H-P-4H
179   S  4H-N                    QJ97.QT43.Q54.A3 T864.852.AK73.87 3.AKJ9.J86.KJ964 AK52.76.T92.QT52 | 1C-P-1H-P-2H-P-3H-P-4H
180   S  4H-N                    AQ75.AJ53.932.82 T842.62.AQJ6.964 K.K874.854.AKJ53 J963.QT9.KT7.QT7 | 1C-P-1H-P-3H-P-3N-P-4H
181   S  3D-N                    K82.J93.K952.K42 AJ54.K765.J86.J5 63.42.AQ74.AQT98 QT97.AQT8.T3.763 | 1C-P-1D-P-2D-P-3C-P-3D
182   S  4S-S                    T872.A84.KQJ97.7 K4.J65.8653.Q983 A965.KQ2.T.AJ642 QJ3.T973.A42.KT5 | 1C-P-1D-P-1S-P-3S-P-4S
183   S  5C-S                    AJ.954.Q764.AT76 Q9875.QT87.K5.52 64.K3.A982.KQ843 KT32.AJ62.JT3.J9 | 1C-P-1D-P-2D-P-4C-P-5C
184   S  2H-N                    932.AK98.J952.JT A765.Q4.874.A986 KQ.J762.KT.KQ543 JT84.T53.AQ63.72 | 1C-P-1H-P-2H
185   S  4H-S                    A94.KT95.KJT962. Q752.AJ4.Q75.JT3 J83.Q863.A.AK975 KT6.72.843.Q8642 | 1C-P-1D-P-1H-P-3H-P-4H
186   S  4S-S                    Q832.AK.Q9732.95 K75.T875.KJ5.K86 AJT4.Q64.6.AQJ43 96.J932.AT84.T72 | 1C-P-1D-P-1S-P-3S-P-4S
187   S  4H-N                    QT86.QJ973.A3.Q6 AK43.K2.T975.T53 9.AT54.QJ8.AK982 J752.86.K642.J74 | 1C-P-1H-P-3H-P-3N-P-4H
188   S  2H-S                    AT2.K632.Q8642.6 Q653.T4.A93.KT97 J8.QJ97.J5.AQJ53 K974.A85.KT7.842 | 1C-P-1D-P-1H-P-2H
189   S  2H-N                    JT5.AQ97.Q973.J3 KQ62.KT6.J854.98 83.8432.A2.AKQ54 A974.J5.KT6.T762 | 1C-P-1H-P-2H
190   S  3HX-W                   QJ92.JT7.K43.K73 64.Q982.AQ52.Q94 AK53.65.T8.AJT62 T87.AK43.J976.85 | 1C-P-1S-P-2S-P-P-X-P-3H-X
191   S  4S-S                    T986.AT5.AK874.4 KQ7.Q42.QT5.9873 AJ52.973.9.AKJ52 43.KJ86.J632.QT6 | 1C-P-1D-P-1S-P-4S
192   S  4S-S                    QJ82.KJT.KT865.J T63.542.AQ92.A75 AK94.Q87.7.KQ862 75.A963.J43.T943 | 1C-P-1D-P-1S-P-3S-P-4S
193   S  4H-N                    J98.QJ732.A6.Q64 K653.9.J8752.K53 Q4.AK64.94.AJT82 AT72.T85.KQT3.97 | 1C-P-1H-P-2H-P-3H-P-4H
194   S  2S-N                    A763.AT6.Q864.43 KT4.QJ84.T73.AT6 QJ82.93.A9.KQ985 95.K752.KJ52.J72 | 1C-P-1S-P-2S
195   S  3S-N                    JT72.AJ5.J94.A87 Q63.T843.KQ76.J4 A984.K7.32.KQ963 K5.Q962.AT85.T52 | 1C-P-1S-P-2S-P-3S
196   S  2S-N                    J875.KJ2.QJ94.K2 T2.QT95.KT62.QT4 AKQ6.643.8.A8753 943.A87.A753.J96 | 1C-P-1S-P-2S
197   S  3H-S                    QT5.6432.AK742.T A832.JT8.J95.A43 76.AK75.QT.KJ975 KJ94.Q9.863.Q862 | 1C-P-1D-P-1H-P-3H
198   S  3D-N                    74.KJ3.AKT73.T98 JT86.QT84.982.AK AQ3.7.QJ65.QJ743 K952.A9652.4.652 | 1C-P-1D-P-2D-P-3D
199   S  2H-S                    T3.AT63.AJT93.86 J754.Q5.KQ87.T43 AQ9.J742.4.KQJ72 K862.K98.652.A95 | 1C-P-1D-P-1H-P-2H
200   S  2H-N                    JT65.AQ96.K76.T5 9742.K3.AJT3.J76 AK.T872.98.KQ982 Q83.J54.Q542.A43 | 1C-P-1H-P-2H
201   S  4H-N                    9764.Q972.KQ84.A Q52.K.T9652.Q872 KJ8.AJT8.7.K9653 AT3.6543.AJ3.JT4 | 1C-P-1H-P-2H-P-4H
202   S  4H-S                    AQ.9632.AJT64.72 JT864.A4.72.QT94 52.QT87.K3.AKJ86 K973.KJ5.Q985.53 | 1C-P-1D-P-1H-P-3H-P-4H
203   S  4H-N                    J32.J9643.AJ.AT7 AT97.K5.KT93.963 K6.AQ87.62.QJ842 Q854.T2.Q8754.K5 | 1C-P-1H-P-2H-P-4H
204   S  2H-N                    QJ53.K874.A843.7 KT9.653.KQ9.9852 72.AQJ2.T5.AQT64 A864.T9.J762.KJ3 | 1C-P-1H-P-2H
205   S  2H-N                    A984.Q973.A97.73 K762.AT6.Q42.T84 3.KJ82.J86.AK965 QJT5.54.KT53.QJ2 | 1C-P-1H-P-2H
206   S  3HX-W                   A954.KT9.J98.K92 63.AJ54.K542.Q54 KJT2.Q.AQ6.JT863 Q87.87632.T73.A7 | 1C-P-1S-P-2S-P-P-X-P-3H-X
207   S  2H-N                    K743.AJT8.986.J9 QT82.975.A42.Q53 5.K432.KT7.AKT42 AJ96.Q6.QJ53.876 | 1C-P-1H-P-2H
208   S  2H-N                    J763.AT42.AJ72.7 A85.65.QT84.AT65 KQ.QJ73.63.KQJ42 T942.K98.K95.983 | 1C-P-1H-P-2H
209   S  4S-S                    AK43.53.J9842.K4 T8.AJ76.Q653.Q85 J972.QT.AK.A9632 Q65.K9842.T7.JT7 | 1C-P-1D-P-1S-P-3S-P-4S
210   S  4H-N                    AJ82.A942.Q.9764 QT53.Q3.A982.J82 6.J765.KT5.AKQ53 K974.KT8.J7643.T | 1C-P-1H-P-2H-P-3H-P-4H
211   S  2H-N                    KJ72.QT85.AT8.J5 T96.K32.9532.AT2 Q8.A764.QJ.KQ974 A543.J9.K764.863 | 1C-P-1H-P-2H
212   S  2S-N                    AJ83.J73.A942.62 K765.Q62.QJ83.Q8 Q942.K98.6.AKJ97 T.AT54.KT75.T543 | 1C-P-1S-P-2S
213   S  2H-N                    A62.Q964.QT87.K3 754.A52.J432.J42 KT9.KJ87.9.AQ975 QJ83.T3.AK65.T86 | 1C-P-1H-P-2H
214   S  3H-S                    KJT.JT74.AT986.T Q943.Q85.52.KQJ3 62.AK62.J4.A8762 A875.93.KQ73.954 | 1C-P-1D-P-1H-P-3H
215   S  4S-N                    AKQ62.T76.7542.J 95.K954.AKT6.T65 JT87.J3.Q3.AKQ97 43.AQ82.J98.8432 | 1C-P-1S-P-2S-P-4S
216   S  4H-N                    A862.KJ984.Q532. 9543.QT.KT6.KT42 7.A532.AJ4.QJ865 KQJT.76.987.A973 | 1C-P-1H-P-2H-P-4H
217   S  3S-S                    J852.QJ8.QJT54.A T9.7652.A93.KT96 K763.AT.K6.QJ754 AQ4.K943.872.832 | 1C-P-1D-P-1S-P-3S
218   S  2H-N                    KT82.QJ84.AJ6.62 A754.K52.42.QJ73 Q.AT73.K97.K9854 J963.96.QT853.AT | 1C-P-1H-P-2H
219   S  4H-N                    K962.Q985.Q932.A J3.J76.AT64.QJ42 A74.AKT2.5.KT975 QT85.43.KJ87.863 | 1C-P-1H-P-2H-P-4H
220   S  3N-S                    J52.AQ8.QT983.Q8 AT43.J9764.J2.52 K9.K2.A765.KJT93 Q876.T53.K4.A764 | 1C-P-1D-P-1N-P-2D-P-3N
221   S  3S-S                    J972.J7.AK832.87 KT3.Q865.Q975.K6 AQ86.A93.4.QT543 54.KT42.JT6.AJ92 | 1C-P-1D-P-1S-P-3S
222   S  4H-S                    AQ3.7642.KJ873.J JT84.QT9.AQT9.82 K97.AJ85.5.AQ943 652.K3.642.KT765 | 1C-P-1D-P-1H-P-3H-P-4H
223   S  2S-N                    KJ86.864.AQJ6.T3 T95.KJ53.T987.K6 AQ74.AQ2.3.Q8754 32.T97.K542.AJ92 | 1C-P-1S-P-2S
224   S  4H-N                    KQ4.AQ832.9754.7 9852.KT.KT86.QJ6 T7.J654.AQ.AK854 AJ63.97.J32.T932 | 1C-P-1H-P-3H-P-3N-P-4H
225   S  3H-S                    QT6.J985.AQJ53.3 A43.T74.K82.JT54 K52.AQ32.6.K9862 J987.K6.T974.AQ7 | 1C-P-1D-P-1H-P-3H
226   S  4H-N                    T.QT53.AKT9.Q642 J942.A4.J542.KJ5 AQ7.K982.8.AT873 K8653.J76.Q763.9 | 1C-P-1H-P-2H-P-4H
227   S  4H-N                    A643.QT94.QJ92.J JT9.76.T864.KQ86 K2.K853.A5.AT974 Q875.AJ2.K73.532 | 1C-P-1H-P-3H-P-4H
228   S  4H-N                    Q87.KJT7.AJT6.T4 96543.A5.K974.92 AK.9843.Q8.KQ873 JT2.Q62.532.AJ65 | 1C-P-1H-P-3H-P-3N-P-4H
229   S  4S-N                    Q982.972.AT74.KT 63.K865.QJ92.J96 JT54.A43.K.AQ852 AK7.QJT.8653.743 | 1C-P-1S-P-3S-P-4S
230   S  4H-N                    J963.AK876.K9.64 AQ87.J3.QT82.J93 54.Q942.J7.AKQT2 KT2.T5.A6543.875 | 1C-P-1H-P-2H-P-4H
231   S  4S-N                    K8654.AJ7.K863.T AJ7.T98.Q95.J964 QT93.Q53.A.AQ873 2.K642.JT742.K52 | 1C-P-1S-P-3S-P-3N-P-4S
232   S  2H-N                    KT83.J963.JT9.A3 9765.T4.AK64.J86 QJ.KQ75.Q3.KT742 A42.A82.8752.Q95 | 1C-P-1H-P-2H
233   S  2H-N                    T9432.AQT42.K6.3 K86.83.JT83.AQ82 A.KJ97.Q74.KT654 QJ75.65.A952.J97 | 1C-P-1S-P-1N-P-2H
234   S  3H-N                    AQJT.K765.872.J2 863.A8.QJT4.K865 K.QJT4.A95.QT943 97542.932.K63.A7 | 1C-P-1H-P-2H-P-3H
235   S  3H-S                    KQ9.QJ73.JT753.Q AT76.54.K942.T95 J85.AK82.A.J7632 432.T96.Q86.AK84 | 1C-P-1D-P-1H-P-3H
236   S  2H-N                    K543.AQ72.JT4.64 AJ86.85.A865.952 Q2.KT63.72.AQJT7 T97.J94.KQ93.K83 | 1C-P-1H-P-2H
237   S  3D-N                    A52.J52.QT973.K9 KT97.K643.A8.543 J.AQ8.J542.AQT86 Q8643.T97.K6.J72 | 1C-P-1D-P-2D-P-3D
238   S  2H-N                    AJT2.AJ92.J6.643 Q6543.8.8752.A92 K.KQT4.AT9.QT875 987.7653.KQ43.KJ | 1C-P-1H-P-2H
239   S  3H-N                    AQJ4.KJT43.T84.9 9632.A5.K932.Q64 K5.Q962.A5.KT853 T87.87.QJ76.AJ72 | 1C-P-1H-P-2H-P-3H
240   S  4H-S                    T94.6432.AKJ83.J Q765.QJ.QT97.965 J82.AK87.4.AQT42 AK3.T95.652.K873 | 1C-P-1D-P-1H-P-3H-P-4H
241   S  3S-S                    KJ74.A7.K6543.76 QT6.T543.AJ2.542 A953.962.7.AKJT3 82.KQJ8.QT98.Q98 | 1C-P-1D-P-1S-P-3S
242   S  4S-N                    A754.876.AJ86.J8 J92.AQ92.532.T93 KT86.T3.Q4.AKQ65 Q3.KJ54.KT97.742 | 1C-P-1S-P-3S-P-4S
243   S  4H-N                    K873.K654.K942.Q A95.873.AQ76.965 QT4.AQJ9.3.AT842 J62.T2.JT85.KJ73 | 1C-P-1H-P-2H-P-3H-P-4H
244   S  3S-N                    AJ875.KQ87.T52.T KT.JT2.J763.A976 Q643.A9.Q9.KQ843 92.6543.AK84.J52 | 1C-P-1S-P-2S-P-3S
245   S  4H-S                    A84.A975.KT743.T J953.KJ8.85.A765 K6.QT42.A6.KQ842 QT72.63.QJ92.J93 | 1C-P-1D-P-1H-P-3H-P-4H
246   S  4S-N                    A532.52.AK64.654 K84.QJT7.Q92.987 JT96.A83.7.AKQ32 Q7.K964.JT853.JT | 1C-P-1S-P-3S-P-3N-P-4S
247   S  4H-N                    854.KJT2.AJ5.Q53 Q932.985.K974.J4 K6.A743.32.AK986 AJT7.Q6.QT86.T72 | 1C-P-1H-P-3H-P-3N-P-4H
248   S  3D-N                    J97.965.AQT8.AT5 T42.AKT2.42.K982 KQ.Q3.K973.QJ764 A8653.J874.J65.3 | 1C-P-1D-P-2D-P-3D
249   S  3D-N                    AT8.876.AT943.Q2 9753.AT52.86.K86 K2.KQ.KJ52.JT743 QJ64.J943.Q7.A95 | 1C-P-1D-P-2D-P-3D
250   S  2H-N                    A97.9732.A842.J7 J832.A86.QJT5.65 KQ.KQ54.76.KT942 T654.JT.K93.AQ83 | 1C-P-1H-P-2H
251   S  4S-S                    AK94.82.Q9865.J5 QJ3.QT93.AJT4.97 8762.AK6.2.AQT42 T5.J754.K73.K863 | 1C-P-1D-P-1S-P-3S-P-4S
252   S  4S-S                    AJ52.95.J9843.A7 743.AK72.K62.T54 KQ86.Q86.Q.KQ832 T9.JT43.AT75.J96 | 1C-P-1D-P-1S-P-3S-P-4S
253   S  4H-N                    AK95.7432.Q65.J6 QT76.J6.J9432.K3 J.AQ98.AKT.98542 8432.KT5.87.AQT7 | 1C-P-1H-P-2H-P-3H-P-4H
254   S  2H-N                    K542.A875.T9.K83 QT873.T32.A875.2 6.QJ96.KQ4.AQ765 AJ9.K4.J632.JT94 | 1C-P-1H-P-2H
255   S  4H-N                    JT76.Q973.KT5.K4 9432.A6.J642.QJ6 K.KT85.A97.AT875 AQ85.J42.Q83.932 | 1C-P-1H-P-3H-P-4H
256   S  2H-N                    Q53.KJT4.KJ5.T62 JT76.63.AT76.AJ8 K94.AQ97.3.KQ543 A82.852.Q9842.97 | 1C-P-1H-P-2H
257   S  4S-S                    AT83.84.KQJ542.6 J72.KJ62.AT3.532 K954.AT.96.AQJ84 Q6.Q9753.87.KT97 | 1C-P-1D-P-1S-P-3S-P-4S
258   S  4S-S                    Q853.AQ5.JT854.J 97.JT94.AK6.9432 AJT4.K8.Q9.KT875 K62.7632.732.AQ6 | 1C-P-1D-P-1S-P-3S-P-4S
259   S  2S-N                    K954.KJ3.KT7.T82 832.T52.A832.KQ3 AQJ7.A8.Q9.J9754 T6.Q9764.J654.A6 | 1C-P-1S-P-2S
260   S  4S-N                    Q7532.A64.A973.T J.J95.KT865.J853 AK64.QT2.4.KQ764 T98.K873.QJ2.A92 | 1C-P-1S-P-2S-P-4S
261   S  4H-N                    J97.KT754.KQ62.4 843.Q6.JT85.AJ93 AQ2.AJ98.3.Q8752 KT65.32.A974.KT6 | 1C-P-1H-P-2H-P-3H-P-4H
262   S  3H-S                    A8.JT95.AJT987.T J743.842.KQ2.K43 Q96.AK63.5.A9762 KT52.Q7.643.QJ85 | 1C-P-1D-P-1H-P-3H
263   S  1N-S                    64.AQ9.T754.A853 A9732.T432.Q6.J7 KT.75.AKJ9.KT964 QJ85.KJ86.832.Q2 | 1C-P-1D-P-1N
264   S  2H-N                    A93.Q953.AT8.764 KT86.T4.Q742.KT9 Q7.AJ86.J3.AQ832 J542.K72.K965.J5 | 1C-P-1H-P-2H
265   S  4H-N                    QJ43.AJ84.QJ76.T T752.Q5.9843.AQ6 9.KT72.AK5.KJ952 AK86.963.T2.8743 | 1C-P-1H-P-3H-P-3N-P-4H
266   S  2S-N                    T853.Q73.AT43.KT A97.9852.KQ52.J7 KJ62.KJ.98.A6532 Q4.AT64.J76.Q984 | 1C-P-1S-P-2S
267   S  3D-N                    A9.QJ6.AT974.T97 QT86.A842.K85.83 K7.K5.J632.AQJ42 J5432.T973.Q.K65 | 1C-P-1D-P-2D-P-3D
268   S  3H-N                    KJ6.JT54.KJ84.Q9 AT954.62.QT52.JT 82.KQ97.A7.K8632 Q73.A83.963.A754 | 1C-P-1H-P-2H-P-3H
269   S  3D-N                    T64.T75.A962.AQJ K932.A963.873.K9 AJ.K2.KJ54.87643 Q875.QJ84.QT.T52 | 1C-P-1D-P-2D-P-3D
270   S  4H-N                    AT8.JT75.KJ7.J97 K962.64.QT62.KQ2 J53.KQ83.A.AT853 Q74.A92.98543.64 | 1C-P-1H-P-3H-P-4H
271   S  4H-N                    AQ76.9654.AT9.J8 9832.QJ.KJ53.965 T5.AT32.42.AKQ72 KJ4.K87.Q876.T43 | 1C-P-1H-P-2H-P-3H-P-4H
272   S  2S-S                    Q865.T3.KQ985.K5 AK.J842.JT2.JT64 T942.AQ6.4.AQ732 J73.K975.A763.98 | 1C-P-1D-P-1S-P-2S
273   S  4S-N                    KJ986.J972.AQ9.T Q4.KQ65.863.J874 A532.4.K75.AQ963 T7.AT83.JT42.K52 | 1C-P-1S-P-2S-P-4S
274   S  4S-S                    9653.JT.AK732.Q9 J.K8543.QT54.765 K842.A6.86.AK842 AQT7.Q972.J9.JT3 | 1C-P-1D-P-1S-P-3S-P-4S
275   S  2H-N                    Q94.KQ96.9874.Q6 T752.J52.AKJ.982 AJ.A743.32.A7543 K863.T8.QT65.KJT | 1C-P-1H-P-2H
276   S  4S-N                    QT753.J7.AKT87.6 J4.Q863.Q52.K742 A986.A42.4.AJT98 K2.KT95.J963.Q53 | 1C-P-1S-P-2S-P-4S
277   S  4H-N                    AQ32.J764.A53.64 874.Q8.J874.KJ98 K5.A952.K6.AT732 JT96.KT3.QT92.Q5 | 1C-P-1H-P-3H-P-3N-P-4H
278   S  2H-N                    AT52.9742.J5.KQ9 Q987.KT.9876.J83 K.AJ85.Q43.A7642 J643.Q63.AKT2.T5 | 1C-P-1H-P-2H
279   S  4H-N                    8764.AKJ94.J8.Q6 JT32.T3.A752.A97 A.Q852.KQ9.KT854 KQ95.76.T643.J32 | 1C-P-1H-P-3H-P-3N-P-4H
280   S  4H-N                    J6.QT742.AJT.Q63 9743.9.K6432.A97 KQ2.AJ53.5.KJT82 AT85.K86.Q987.54 | 1C-P-1H-P-2H-P-3H-P-4H
281   S  4S-N                    AJ94.765.JT74.KQ Q752.QJT3.A53.72 KT63.A2.Q8.AJ983 8.K984.K962.T654 | 1C-P-1S-P-3S-P-3N-P-4S
282   S  2H-N                    J754.A543.K832.J 8632.Q98.J7.AQ64 K.KT72.AQ6.T9753 AQT9.J6.T954.K82 | 1C-P-1H-P-2H
283   S  4S-S                    J865.J96.AJT93.A A4.AT72.852.T542 KQT9.K54.4.KQJ96 732.Q83.KQ76.873 | 1C-P-1D-P-1S-P-3S-P-4S
284   S  4H-S                    6.AJ32.KQJ874.75 QJ85.QT75.AT5.32 AT4.K986.2.AQJ86 K9732.4.963.KT94 | 1C-P-1D-P-1H-P-3H-P-4H
285   S  3D-N                    J83.KJ4.A632.J92 A942.9873.84.AQ4 Q5.AT.KJ75.KT863 KT76.Q652.QT9.75 | 1C-P-1D-P-2D-P-3C-P-3D
286   S  4H-N                    J72.QJ962.A873.K KQ6.A3.T542.9763 T54.KT84.Q.AQJ84 A983.75.KJ96.T52 | 1C-P-1H-P-2H-P-4H
287   S  2H-N                    J98.A853.KJ42.Q9 A653.T6.T653.K63 KT.QJ97.A9.A8752 Q742.K42.Q87.JT4 | 1C-P-1H-P-2H
288   S  4H-N                    Q84.J832.AQ73.Q8 K62.QT9.J954.J65 T75.AK65.2.AKT32 AJ93.74.KT86.974 | 1C-P-1H-P-3H-P-3N-P-4H
289   S  4H-S                    J2.AK85.KT7542.2 AQ9.743.J986.QT9 K84.Q962.A.AJ853 T7653.JT.Q3.K764 | 1C-P-1D-P-1H-P-3H-P-4H
290   S  3S-S                    KT85.94.AK763.75 J43.KJ85.QT4.KT3 AQ96.AT7.J.J9862 72.Q632.9852.AQ4 | 1C-P-1D-P-1S-P-3S
291   S  2H-N                    JT86.A975.A53.J3 Q97.K42.Q864.Q64 A4.QJ63.KT.K9875 K532.T8.J972.AT2 | 1C-P-1H-P-2H
292   S  5C-S                    974.AJ7.J972.A54 K85.K865.A63.T87 AJ6.2.KT85.KQJ32 QT32.QT943.Q4.96 | 1C-P-1D-P-2D-P-3C-P-4C-P-4D-P-5C
293   S  2S-W                    J98.KT52.AJ6.T64 AQT5.64.T43.A952 7.AJ73.K95.KQJ87 K6432.Q98.Q872.3 | 1C-P-1H-P-2H-P-P-X-P-2S
294   S  2S-S                    KQ32.J7.AT632.53 J9.AK95.754.T764 AT76.862.Q.AK982 854.QT43.KJ98.QJ | 1C-P-1D-P-1S-P-2S
295   S  4H-S                    73.KJT5.AQJ96.52 AQ85.Q83.8742.JT KT6.A964.T.AK874 J942.72.K53.Q963 | 1C-P-1D-P-1H-P-3H-P-4H
296   S  4S-N                    T764.K96.A86.A87 A3.752.Q9753.J96 K852.QJ3.K.KQ542 QJ9.AT84.JT42.T3 | 1C-P-1S-P-3S-P-4S
297   S  2H-N                    J53.AT32.K62.Q43 A742.86.QJ94.T72 KQ.KJ94.85.KJ965 T986.Q75.AT73.A8 | 1C-P-1H-P-2H
298   S  2S-N                    KQT2.Q98.AT63.T8 J63.K752.9754.AQ 8754.AJ.K2.KJ932 A9.T643.QJ8.7654 | 1C-P-1S-P-2S
299   S  3S-N                    QJT7.T72.Q632.KQ K9.AK85.T75.9853 A843.93.K9.AJT42 652.QJ64.AJ84.76 | 1C-P-1S-P-2S-P-P-X-P-3H-3S
300   S  3HX-W                   J975.Q8.K963.KT2 K2.T962.AJT8.Q73 AQT3.J54.Q.AJ965 864.AK73.7542.84 | 1C-P-1S-P-2S-P-P-X-P-3H-P-P-X
301   S  4S-N                    QJ942.AQ.JT52.75 K85.KJ54.K96.832 T763.63.AQ.AQJ94 A.T9872.8743.KT6 | 1C-P-1S-P-2S-P-3S-P-4S
302   S  4S-N                    AK763.K873.J974. 92.Q94.K65.QT653 JT84.J5.AQ.KJ874 Q5.AT62.T832.A92 | 1C-P-1S-P-2S-P-4S
303   S  4S-S                    A832.92.AKT92.72 Q54.QJ73.873.A65 KJ96.KT6.J.KJT94 T7.A854.Q654.Q83 | 1C-P-1D-P-1S-P-4S
304   S  2S-N                    AJ72.A94.T96.432 T63.KJ72.QJ72.K8 KQ54.Q3.53.AJT97 98.T865.AK84.Q65 | 1C-P-1S-P-2S
305   S  3S-N                    K982.85.A743.K32 Q3.A974.J965.Q64 A654.J63.Q.AJT85 JT7.KQT2.KT82.97 | 1C-P-1S-P-2S-P-3S
306   S  4S-N                    Q875.A82.A983.J8 AJ.J643.J75.T742 9632.KQ.42.AK953 KT4.T975.KQT6.Q6 | 1C-P-1S-P-2S-P-3S-P-4S
307   S  2H-N                    QJ7.K964.KQ32.95 K984.872.J65.J86 53.AQ53.AT.AT732 AT62.JT.9874.KQ4 | 1C-P-1H-P-2H
308   S  4H-S                    Q4.Q982.KT9863.K AT865.653.Q4.983 32.AT74.A7.AQ654 KJ97.KJ.J52.JT72 | 1C-P-1D-P-1H-P-3H-P-4H
309   S  2H-N                    Q542.J763.A94.Q6 T983.K2.KQ75.T72 A.AT98.J32.KJ854 KJ76.Q54.T86.A93 | 1C-P-1H-P-2H
310   S  2H-S                    KJ6.Q985.K8754.7 9753.K3.A32.QT32 Q2.AJ64.QT.K9864 AT84.T72.J96.AJ5 | 1C-P-1D-P-1H-P-2H
311   S  2S-N                    K732.QJ5.QJ32.98 T85.KT73.KT76.K4 QJ94.98.A4.AJ753 A6.A642.985.QT62 | 1C-P-1S-P-2S
312   S  4H-S                    J4.A854.AJ8652.8 AK7.JT3.QT74.T54 Q95.Q762.K.AQJ92 T8632.K9.93.K763 | 1C-P-1D-P-1H-P-3H-P-4H
313   S  4S-S                    A763.T4.A9852.Q4 Q2.K972.Q764.T92 KT54.AQ8.T.A7653 J98.J653.KJ3.KJ8 | 1C-P-1D-P-1S-P-3S-P-4S
314   S  6H-N                    AK98.JT975.QT93. T63.862.KJ82.KQ3 Q4.AK43.A7.J8765 J752.Q.654.AT942 | 1C-P-1H-P-3H-P-3S-P-4D-P-4N-P-5C=1=-P-5D-P-5H=2=-P-6H | A=0/5 or 3/5 | No !H queen
315   S  4S-N                    AQT75.K4.J9832.6 962.QJ87.Q75.KQ4 J843.32.AK.AJT93 K.AT965.T64.8752 | 1C-P-1S-P-2S-P-4S
316   S  4H-N                    JT2.AQJ73.QJ6.54 K864.T6.KT742.T7 A95.9542.A.KQJ86 Q73.K8.9853.A932 | 1C-P-1H-P-3H-P-3N-P-4H
317   S  4H-N                    AQJ94.KT843.T83. K63.A9.QJ76.T764 T75.QJ76.K.AKJ83 82.52.A9542.Q952 | 1C-P-1S-P-1N-P-2H-P-3H-P-3S-P-4C-P-4H
