../bba/All_Pass.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
188   W  Pass-?                  963.652.AQ3.AJ76 AQJT.J973.K4.983 87.AKQ8.8752.T52 K542.T4.JT96.KQ4 | P
189   W  2D-W                    K642.QT4.42.AQ97 A985.953.AQ53.64 QJT7.J82.KT7.J52 3.AK76.J986.KT83 | 1D-P-1S-P-2C-P-2D
190   W  Pass-?                  T82.A6.AT93.T873 963.K754.Q8.AQ92 KQ5.J32.J52.KJ65 AJ74.QT98.K764.4 | P
191   W  1N-S                    AT92.JT97.A95.Q5 K75.A63.T84.KJ73 643.K52.KQ3.9862 QJ8.Q84.J762.AT4 | P-1D-P-1N
192   W  Pass-?                  Q7.A965.K542.972 AT83.432.AJ6.T65 J92.KT87.Q98.AJ3 K654.QJ.T73.KQ84 | P
193   W  2S-E                    Q7.J976.T962.AK3 AKT6.Q82.43.J976 843.KT.KJ75.Q542 J952.A543.AQ8.T8 | 1D-P-1S-P-2S
194   W  Pass-?                  T6.AJ76.Q53.K864 854.K84.K62.AJ52 AKJ3.QT2.T84.973 Q972.953.AJ97.QT | P
195   W  Pass-?                  Q642.QJ92.T6.A85 AT.T876.A943.QT4 K93.K4.J872.KJ72 J875.A53.KQ5.963 | P
196   W  Pass-?                  T4.T74.KQT8.AQ42 965.AQ95.J3.JT93 QJ32.K862.A652.6 AK87.J3.974.K875 | P
197   W  Pass-?                  T6.932.A5.KJ9652 K74.KQJ7.8732.Q7 AJ83.T54.JT4.A43 Q952.A86.KQ96.T8 | P
198   W  Pass-?                  K53.T872.QT7.AJ4 A982.43.J95.KQ85 Q74.AJ5.A83.T962 JT6.KQ96.K642.73 | P
199   W  Pass-?                  K954.AQT.8762.Q6 JT83.K52.KJ3.K87 Q762.J96.AQ5.J95 A.8743.T94.AT432 | P
200   W  Pass-?                  AT86.J984.QJ5.Q6 K53.KT32.T98.AJT 972.Q7.K62.K8742 QJ4.A65.A743.953 | P
201   W  Pass-?                  93.Q43.AK43.QT85 Q652.KJ8.76.KJ74 A74.AT62.Q952.62 KJT8.975.JT8.A93 | P
202   W  Pass-?                  753.A2.6543.KQJ5 JT8.T54.AJT.A732 KQ2.QJ73.Q98.964 A964.K986.K72.T8 | P
203   W  Pass-?                  Q985.JT96.AQ76.8 K743.Q8.KT8.K932 62.A52.9543.AQJ6 AJT.K743.J2.T754 | P
204   W  1N-S                    AT92.A95.QJ72.T2 J873.Q743.A94.A6 K64.86.K53.J8543 Q5.KJT2.T86.KQ97 | P-1D-P-1N
205   W  Pass-?                  T943.A96.Q3.KJ42 852.J32.KJ65.AQ8 AJ76.T84.A872.76 KQ.KQ75.T94.T953 | P
206   W  Pass-?                  KT84.AT98.KT75.6 AJ.732.AJ96.J872 Q53.K5.8432.AT95 9762.QJ64.Q.KQ43 | P
207   W  Pass-?                  AQ32.KJ86.J2.943 J.QT97.A853.QJ62 7654.43.KQ94.AT5 KT98.A52.T76.K87 | P
208   W  Pass-?                  JT76.T4.AT32.AQ5 AK83.8753.Q98.64 Q4.Q96.K654.KJ93 952.AKJ2.J7.T872 | P
209   W  Pass-?                  KJT.Q74.AT85.T42 9864.AT3.Q97.K83 A52.K985.J64.Q76 Q73.J62.K32.AJ95 | P
210   W  2N-W                    T942.Q76.AQ62.Q6 AKJ8.T98.K53.832 73.K43.J987.KJ95 Q65.AJ52.T4.AT74 | 1C-P-1S-P-1N-P-2N
211   W  Pass-?                  QT73.A75.A62.T63 K5.Q82.KQ93.9872 AJ94.T43.T754.A4 862.KJ96.J8.KQJ5 | P
212   W  Pass-?                  53.A843.AJ3.QT94 A84.JT5.K964.K87 KT62.976.85.A653 QJ97.KQ2.QT72.J2 | P
213   W  Pass-?                  A53.K82.QJ73.964 Q764.Q754.K4.Q32 J2.JT63.A982.A75 KT98.A9.T65.KJT8 | P
214   W  Pass-?                  KJ63.J85.AJ73.74 752.A63.QT98.A65 A84.K94.K54.JT93 QT9.QT72.62.KQ82 | P
215   W  Pass-?                  JT73.A765.86.KQ4 A982.Q982.A52.75 654.JT.QJT3.AJT6 KQ.K43.K974.9832 | P
216   W  Pass-?                  64.K952.JT8.AK54 K953.A73.Q52.976 JT82.JT4.AK97.83 AQ7.Q86.643.QJT2 | P
217   W  Pass-?                  T8.A985.Q72.AJ98 Q742.74.AKT3.542 A63.QT32.964.K76 KJ95.KJ6.J85.QT3 | P
218   W  Pass-?                  T763.AQ53.A7.T94 A42.KT4.K986.J82 KJ8.876.Q532.Q75 Q95.J92.JT4.AK63 | P
219   W  Pass-?                  Q93.J65.AT8.KT62 JT72.KQT4.964.Q5 64.A873.Q75.AJ84 AK85.92.KJ32.973 | P
220   W  Pass-?                  QJ76.QT9.AQT5.97 A95.K4.KJ76.8654 KT832.J852.8.AT3 4.A763.9432.KQJ2 | P
221   W  Pass-?                  T874.KQ5.KQJ8.32 K62.T972.72.AQ76 AJ95.J4.T964.K94 Q3.A863.A53.JT85 | P
222   W  Pass-?                  A863.Q8.A764.J82 T54.A5.KJT2.KT74 KQ92.JT42.93.A96 J7.K9763.Q85.Q53 | P
223   W  Pass-?                  J6.T954.Q86.AK75 KT5.K7.A752.JT62 9843.AJ2.JT93.Q4 AQ72.Q863.K4.983 | P
224   W  Pass-?                  853.QJ3.K98.K962 AK74.KT.J765.T84 T92.A652.A43.QJ7 QJ6.9874.QT2.A53 | P
225   W  Pass-?                  A543.Q9.765.QT53 KJ8.543.T83.AK98 QT2.KT86.A94.J62 976.AJ72.KQJ2.74 | P
226   W  Pass-?                  JT6.A72.KQ32.J92 732.T63.AJ7.AQT8 Q84.KQJ9.T65.765 AK95.854.984.K43 | P
227   W  Pass-?                  Q93.K932.AQT7.65 KT6.AT74.K85.J93 AJ8.J85.J43.Q742 7542.Q6.962.AKT8 | P
228   W  Pass-?                  AQJ7.7432.96.KJ6 KT53.QJT9.A7.743 962.85.KJ832.AT8 84.AK6.QT54.Q952 | P
229   W  Pass-?                  AJ5.J943.AT5.853 QT.AQT2.983.KT96 987432.K8.J74.A7 K6.765.KQ62.QJ42 | P
230   W  Pass-?                  J2.AQJT.J964.J98 AQ83.K852.Q75.64 T96.9643.K8.AKT3 K754.7.AT32.Q752 | P
231   W  2D-W                    K943.T962.8.AQJ7 QT.873.KQJ3.K954 AJ65.K5.T975.832 872.AQJ4.A642.T6 | 1D-X-XX-1S-P-P-2D
232   W  Pass-?                  764.KJ8.KT73.A93 J952.A74.82.KJ54 KQ8.632.QJ6.Q762 AT3.QT95.A954.T8 | P
233   W  Pass-?                  Q86.8643.43.AKJ6 KJT3.T9.A975.Q83 972.AJ5.KJ6.T974 A54.KQ72.QT82.52 | P
234   W  Pass-?                  KQ83.983.K6.KT85 65.AQ75.AT85.J76 JT92.JT.Q94.A942 A74.K642.J732.Q3 | P
235   W  2N-E                    KT72.85.KJ72.QJ6 Q64.KT4.Q853.A54 853.AJ96.T94.K32 AJ9.Q732.A6.T987 | 1C-P-1D-P-1H-P-2N
236   W  1N-E                    A75.KQJ6.54.J963 KQ.T42.K762.8542 8632.A5.J93.KQT7 JT94.9873.AQT8.A | 1D-P-1N
237   W  Pass-?                  T943.Q52.J6.AKT2 K86.AT3.K943.J76 QJ5.K874.872.Q84 A72.J96.AQT5.953 | P
238   W  2S-E                    T6.KJT2.J62.KQJT K952.A6.9875.964 Q87.953.KQT.A853 AJ43.Q874.A43.72 | 1D-P-1S-P-2S
239   W  Pass-?                  854.AQT.A865.JT7 AQ6.964.Q72.K862 K3.7532.JT43.AQ9 JT972.KJ8.K9.543 | P
240   W  Pass-?                  KJT9.9.Q963.AJ87 A7.J632.KJ2.T965 Q84.QT75.AT7.Q42 6532.AK84.854.K3 | P
241   W  Pass-?                  9653.J7.K643.AQJ AQ8.Q965.985.K86 JT4.AT8.AT72.T53 K72.K432.QJ.9742 | P
242   W  Pass-?                  J642.QT94.AQ.432 Q98.J72.KT5.KQT6 75.A863.J973.AJ9 AKT3.K5.8642.875 | P
243   W  Pass-?                  AT73.K63.75.Q765 KJ.QT8.QT32.KT82 Q85.A752.K984.43 9642.J94.AJ6.AJ9 | P
244   W  Pass-?                  KT83.QT6.Q975.A8 AQJ.K832.43.9732 754.754.AJ86.K65 962.AJ9.KT2.QJT4 | P
245   W  Pass-?                  A8754.654.A9.965 KQ6.K72.QJ85.T87 92.AQ98.T32.KQ43 JT3.JT3.K764.AJ2 | P
246   W  Pass-?                  QT9.AT73.75.A974 653.K642.AQT8.Q3 KJ7.QJ9.K32.JT85 A842.85.J964.K62 | P
247   W  2S-E                    K982.KJT2.K53.87 JT643.65.AT6.QJ5 7.A973.QJ92.AT43 AQ5.Q84.874.K962 | P-P-P-1D-P-1H-1S-2H-2S
248   W  Pass-?                  AK54.862.743.KT2 J932.AQ3.K95.954 Q86.JT75.A82.Q86 T7.K94.QJT6.AJ73 | P
249   W  Pass-?                  743.K8.AK42.J874 AJT9.9743.Q9.K92 Q8.QJ62.J73.A653 K652.AT5.T865.QT | P
250   W  Pass-?                  Q4.A54.AJ85.9874 T52.J862.K62.AQ2 K987.K973.QT3.T6 AJ63.QT.974.KJ53 | P
251   W  Pass-?                  Q42.AJ5.JT53.J63 T98.K76.K986.A52 A53.QT94.A42.T74 KJ76.832.Q7.KQ98 | P
252   W  Pass-?                  KJ2.AQ83.T94.J96 A965.752.Q7.QT75 T83.JT.K832.AK83 Q74.K964.AJ65.42 | P
253   W  Pass-?                  QJ95.A985.Q83.65 T43.QJ3.AT2.QT74 862.KT76.K97.AJ3 AK7.42.J654.K982 | P
254   W  2C-N                    KJ97.765.A9.KT96 Q3.J82.K754.AJ82 A64.KQ93.Q8.7543 T852.AT4.JT632.Q | P-1C-P-1H-P-1S-P-2C
255   W  Pass-?                  A862.JT.954.KQ97 T3.A63.KQJ6.JT64 Q975.K852.AT7.53 KJ4.Q974.832.A82 | P
256   W  Pass-?                  854.AK42.K43.J32 T763.J53.Q76.AK5 AQ92.T96.J52.Q94 KJ.Q87.AT98.T876 | P
257   W  1N-W                    65.QJ4.K532.A643 AJ83.987.AQT6.87 QT72.AK2.74.JT52 K94.T653.J98.KQ9 | P-P-1D-P-1H-P-1S-P-1N
258   W  Pass-?                  A82.T983.A64.J72 KT93.A6.QJ73.863 754.KJ7.K952.K95 QJ6.Q542.T8.AQT4 | P
259   W  Pass-?                  T87.K65.AJT9.Q83 KJ53.A8.K653.T42 Q6.T97432.Q2.KJ9 A942.QJ.874.A765 | P
260   W  2N-E                    K943.J85.AKT5.65 QJT5.K64.32.AJT2 A8762.T73.76.K73 .AQ92.QJ984.Q984 | 1D-P-1S-P-2C-P-2N
261   W  Pass-?                  J965.AT2.A3.JT83 32.J843.JT82.AK4 KQT7.KQ5.954.972 A84.976.KQ76.Q65 | P
262   W  Pass-?                  AKJ3.872.J4.7432 Q72.KJ95.A873.95 64.A643.K962.KJT T985.QT.QT5.AQ86 | P
263   W  Pass-?                  QT73.KJ5.65.AJ42 J4.Q862.KQT.K965 A95.974.AJ84.Q73 K862.AT3.9732.T8 | P
264   W  Pass-?                  JT.AT86.Q984.A75 A942.J4.K532.K86 K75.972.A76.9432 Q863.KQ53.JT.QJT | P
265   W  Pass-?                  987.A86.K874.K52 KQJ.QJT5.Q653.73 AT6.9743.JT.AQ96 5432.K2.A92.JT84 | P
266   W  Pass-?                  KT82.K9.KQT4.T93 A643.QJ65.J2.K54 QJ9.742.876.AQJ7 75.AT83.A953.862 | P
267   W  3H-S                    9872.AK94.QT62.Q QJT4.873.AJ97.K4 K65.J652.K3.AT32 A3.QT.854.J98765 | P-1D-P-1H-P-2H-P-3H
268   W  Pass-?                  8642.T72.A86.AQ2 AQ5.AJ93.975.873 JT73.Q64.J43.KJ6 K9.K85.KQT2.T954 | P
269   W  Pass-?                  J85.AJ4.AJT8.T54 Q973.KT2.654.K72 A62.Q53.972.AJ63 KT4.9876.KQ3.Q98 | P
270   W  3H-E                    953.K82.AJ83.QT4 87.J975.K974.AJ5 AQJT.T4.T652.K73 K642.AQ63.Q.9862 | 1C-P-1H-P-2H-P-P-X-P-3D-3H
271   W  Pass-?                  K863.T872.AJ9.93 T742.Q9.QT8.AKT4 J.AK63.6543.QJ72 AQ95.J54.K72.865 | P
272   W  2N-S                    T954.J98.K9.AKT8 K76.AT6.J432.J42 AJ8.7542.AQT8.65 Q32.KQ3.765.Q973 | P-1C-P-1H-P-1S-P-2N
273   W  Pass-?                  T92.A5.KT98.KJT3 AQJ8.T97.Q643.Q2 764.K843.A75.754 K53.QJ62.J2.A986 | P
274   W  Pass-?                  AQ2.JT76.A82.843 K953.A5.943.KJ76 76.K94.KQT7.T952 JT84.Q832.J65.AQ | P
275   W  Pass-?                  984.KT73.Q4.KJ52 KJT2.942.A93.Q87 A765.Q65.8752.A4 Q3.AJ8.KJT6.T963 | P
276   W  Pass-?                  AT.43.QJ76.JT732 Q984.975.A952.A5 653.AQT2.T3.KQ86 KJ72.KJ86.K84.94 | P
277   W  Pass-?                  AJ6.QJ96.54.QJ75 Q9.T832.Q98.AK84 KT53.4.AK32.T932 8742.AK75.JT76.6 | P
278   W  Pass-?                  J42.KJT.964.AQ86 AKT9.Q83.872.JT7 Q86.A954.QJ3.954 753.762.AKT5.K32 | P
279   W  Pass-?                  8754.QT76.Q5.AK6 KJ.K943.T832.Q84 AT32.J2.A976.952 Q96.A85.KJ4.JT73 | P
280   W  Pass-?                  654.AJ72.532.KQJ A87.K653.JT.T743 KQT2.T4.KQ86.852 J93.Q98.A974.A96 | P
281   W  Pass-?                  K72.KT93.A972.65 A965.J2.T863.A94 QJ4.Q654.J4.KJ32 T83.A87.KQ5.QT87 | P
282   W  Pass-?                  Q86.K954.AQ6.742 AT54.QJ2.95.J986 K93.T876.KT32.AT J72.A3.J874.KQ53 | P
283   W  Pass-?                  AJ97.T2.A752.QT4 Q832.AK93.86.983 KT4.865.K943.K72 65.QJ74.QJT.AJ65 | P
284   W  Pass-?                  Q764.K54.J63.AT5 KJT.J96.Q87.K874 A932.QT32.K94.96 85.A87.AT52.QJ32 | P
285   W  1N-S                    AJ82.QT7.AT73.96 T75.K95.K54.AJ32 Q3.A832.J962.T74 K964.J64.Q8.KQ85 | P-1D-P-1H-P-1S-P-1N
286   W  Pass-?                  T2.J973.AT73.KJ3 KQJ4.QT5.Q94.T87 863.A862.65.AQ92 A975.K4.KJ82.654 | P
287   W  Pass-?                  A873.83.A986.843 654.QT62.732.AKQ KQJT.K95.JT4.962 92.AJ74.KQ5.JT75 | P
288   W  Pass-?                  T54.742.A54.AJ76 AK82.QT9.QT86.T2 J96.653.KJ2.KQ53 Q73.AKJ8.973.984 | P
289   W  Pass-?                  AJ5.T843.J75.K87 T94.KJ5.A62.Q542 KQ3.Q72.K983.T96 8762.A96.QT4.AJ3 | P
290   W  Pass-?                  J92.A753.864.AJ9 T875.K86.J2.KQT4 Q3.JT2.AK75.7632 AK64.Q94.QT93.85 | P
291   W  Pass-?                  943.AKQ6.752.Q93 KQJ7.75.JT94.KJ8 AT86.983.K8.T754 52.JT42.AQ63.A62 | P
292   W  Pass-?                  K876.Q63.KQ7.JT6 Q4.AT92.A963.542 JT53.K7.J842.A93 A92.J854.T5.KQ87 | P
293   W  Pass-?                  QT74.A84.J95.K53 K965.KJ76.Q64.Q9 A32.Q52.KT8.8764 J8.T93.A732.AJT2 | P
294   W  Pass-?                  Q93.K8762.843.K4 KJT5.T93.A6.QJT9 A864.5.Q752.A652 72.AQJ4.KJT9.873 | P
295   W  Pass-?                  T94.QT83.A97.QT3 KJ76.A72.532.K54 A3.9654.Q64.A986 Q852.KJ.KJT8.J72 | P
296   W  1N-W                    Q93.AJ83.96.A642 K654.KQ7.QT3.T93 AJ7.65.8754.QJ75 T82.T942.AKJ2.K8 | 1D-P-1S-P-1N
297   W  Pass-?                  93.KQT3.632.AQ42 A75.J985.QT.KJ97 KT642.762.KJ54.5 QJ8.A4.A987.T863 | P
298   W  Pass-?                  A872.J.Q9872.762 QT3.9642.AJ6.A84 J4.AK85.T543.K95 K965.QT73.K.QJT3 | P
299   W  Pass-?                  J86.KJT2.652.A95 KQ54.Q754.T43.Q2 972.63.AKJ7.K643 AT3.A98.Q98.JT87 | P
300   W  Pass-?                  75.7653.KJ8.AK85 AT43.T2.A932.J97 Q98.KQ4.Q75.QT43 KJ62.AJ98.T64.62 | P
301   W  Pass-?                  T7.T97.K983.AKT8 AJ53.6532.Q.Q743 Q84.AQJ.J754.J65 K962.K84.AT62.92 | P
302   W  Pass-?                  A974.864.KQ74.54 KQ2.QT92.98.AT83 J85.AJ73.652.K76 T63.K5.AJT3.QJ92 | P
303   W  Pass-?                  QJ2.KJ742.J76.53 KT5.986.KQ5.K942 A986.AQ5.943.876 743.T3.AT82.AQJT | P
304   W  Pass-?                  J4.KJ98.J98.AJ62 AK87.T532.62.K75 QT65.7.KQT3.Q843 932.AQ64.A754.T9 | P
305   W  Pass-?                  762.T754.K62.AQ9 QJT4.K86.Q753.K6 A83.AJ92.T9.J875 K95.Q3.AJ84.T432 | P
306   W  Pass-?                  AK72.9642.J94.J8 T84.QJ53.AT2.KT4 Q63.AT.Q765.Q653 J95.K87.K83.A972 | P
307   W  2N-S                    AK43.K52.J9.7543 J82.A86.KQ3.JT98 Q97.QT93.AT42.K2 T65.J74.8765.AQ6 | P-1C-P-1H-P-1S-P-2N
308   W  Pass-?                  JT53.73.AQT7.A98 94.K952.K853.KQT Q72.AJT6.J92.762 AK86.Q84.64.J543 | P
309   W  Pass-?                  KQ98.8643.A2.J75 A743.K9.765.QT42 65.AJ72.KQJ3.983 JT2.QT5.T984.AK6 | P
310   W  Pass-?                  T953.KQT.QT7.A54 62.A854.A52.QT82 KJ74.J96.9863.K6 AQ8.732.KJ4.J973 | P
311   W  Pass-?                  942.JT84.AK98.Q4 AKJ.63.J532.JT87 Q63.Q75.QT4.A653 T875.AK92.76.K92 | P
312   W  Pass-?                  JT6.A62.QT42.AT7 KQ7.JT85.AJ.8432 A852.K9.7653.Q96 943.Q743.K98.KJ5 | P
313   W  Pass-?                  AJT9.742.KJ95.87 KQ64.AT6.64.Q642 75.QJ95.QT2.AT93 832.K83.A873.KJ5 | P
314   W  Pass-?                  A76.A954.876.JT7 J853.KT.J953.KQ4 Q42.J83.K42.A986 KT9.Q762.AQT.532 | P
315   W  1S-N                    T963.K5.AJ42.Q65 KQ42.JT43.K83.92 A.A872.QT75.J843 J875.Q96.96.AKT7 | P-P-P-1D-P-1S
316   W  Pass-?                  J54.A72.K987.K53 K3.Q986.AT64.Q92 Q76.KT53.J2.AJ86 AT982.J4.Q53.T74 | P
317   W  Pass-?                  943.AJ95.J62.AT5 KT7.K74.K753.J83 A85.QT86.QT.K964 QJ62.32.A984.Q72 | P
318   W  Pass-?                  J762.J652.AK4.Q7 AQ9.A93.975.J963 KT85.QT.QJT8.T85 43.K874.632.AK42 | P
319   W  Pass-?                  J763.KJ4.72.A983 Q94.T65.A54.KQT7 KT5.Q732.KJ86.52 A82.A98.QT93.J64 | P
320   W  Pass-?                  Q83.K954.A862.Q2 KJ64.72.J93.A763 T52.AJ6.KQT4.854 A97.QT83.75.KJT9 | P
321   W  Pass-?                  A2.K543.T75.KJ32 953.J8.QJ83.AQ95 KT64.A97.K94.T74 QJ87.QT62.A62.86 | P
322   W  Pass-?                  Q972.AQT.754.KT5 A83.8764.A32.Q73 T4.KJ53.KJ6.8642 KJ65.92.QT98.AJ9 | P
323   W  Pass-?                  A63.Q84.JT7.A985 K954.952.AQ5.Q73 JT2.AT3.9863.K62 Q87.KJ76.K42.JT4 | P
324   W  Pass-?                  QJ72.JT.Q95.AJ87 A86.K43.8732.K65 94.7652.AKT6.QT4 KT53.AQ98.J4.932 | P
325   W  Pass-?                  J75.QJ32.J72.AQ7 KT8.K864.A63.T93 A632.75.K854.K84 Q94.AT9.QT9.J652 | P
326   W  Pass-?                  AJ95.K65.K87.974 873.AT72.432.AJ8 QT.983.AJT5.QT63 K642.QJ4.Q96.K52 | P
327   W  Pass-?                  AJ86.K3.J872.Q93 KT3.J872.Q5.KJ72 9754.QT6.K64.A84 Q2.A954.AT93.T65 | P
328   W  4D-N                    A843.8.QJ54.A862 K975.QJ95.63.KQ3 J2.AT3.A972.JT97 QT6.K7642.KT8.54 | P-1D-P-1N-P-2C-P-2D-P-P-X-P-2H-P-P-4C-P-4D
329   W  2H-S                    KT85.K953.6.AJ96 AJ94.T76.AT92.T8 72.AJ84.KJ75.743 Q63.Q2.Q843.KQ52 | P-1C-P-1H-P-2H
330   W  Pass-?                  K98.KQ53.Q32.JT7 AT.J742.K954.Q86 J765.A98.AJT.432 Q432.T6.876.AK95 | P
331   W  Pass-?                  Q2.KQ53.Q875.Q97 9743.J8.AJ3.KJT5 KT8.A76.KT62.432 AJ65.T942.94.A86 | P
332   W  Pass-?                  983.AJ93.J875.K7 AK74.QT65.T.T952 QT6.K2.A642.Q863 J52.874.KQ93.AJ4 | P
333   W  2S-W                    T2.AJ62.Q72.JT54 QJ63.K853.AT98.9 K85.QT74.K5.K876 A974.9.J643.AQ32 | 1D-P-1H-P-1S-P-2S
334   W  Pass-?                  QT2.Q96.A72.J753 KJ84.8753.T53.AQ 73.AJ42.K64.K984 A965.KT.QJ98.T62 | P
335   W  Pass-?                  AQ64.T4.853.QT83 KJ9.QJ52.T72.K75 853.A876.AQ4.J42 T72.K93.KJ96.A96 | P
336   W  2D-N                    T.QJ64.AT87.AT54 Q873.AT7.K32.Q93 K9542.92.J965.KJ AJ6.K853.Q4.8762 | P-1D-P-1S-P-2C-P-2D
337   W  Pass-?                  632.862.A72.A854 KT4.KQT7.J53.Q92 AQJ.953.984.KJ73 9875.AJ4.KQT6.T6 | P
338   W  2H-S                    AK65.KT32.T963.J J732.76.QJ5.AK54 QT4.QJ85.K82.Q92 98.A94.A74.T8763 | P-1D-P-1H-P-2H
339   W  Pass-?                  652.A982.Q98.K98 AQJ8.JT4.KT.T762 K73.K73.6532.A53 T94.Q65.AJ74.QJ4 | P
340   W  Pass-?                  A973.JT6.843.K94 KQ2.K73.JT9.Q732 854.A954.AQ72.JT JT6.Q82.K65.A865 | P
341   W  Pass-?                  J43.T63.AJ85.A74 QT98.AQ4.643.QJ9 A765.KJ5.T92.652 K2.9872.KQ7.KT83 | P
342   W  Pass-?                  KJ6.KT4.97654.J6 AT98.985.Q8.A853 32.AQJ3.JT32.KT7 Q754.762.AK.Q942 | P
343   W  2D-W                    9853.Q82.A74.A54 A742.KT75.J.K632 KT6.AJ96.Q85.JT9 QJ.43.KT9632.Q87 | 2D
344   W  2S-W                    K42.T43.KJ65.AT6 9763.AQ86.Q.K985 AT.J95.A932.J732 QJ85.K72.T874.Q4 | P-P-1C-P-1S-P-2S
345   W  Pass-?                  T975.K83.KT9.KJ8 KQ64.JT.J542.QT4 A3.9642.Q87.A763 J82.AQ75.A63.952 | P
346   W  Pass-?                  QT97.AK.975.Q854 A32.Q852.KQ4.963 54.T963.AT62.KJ2 KJ86.J74.J83.AT7 | P
347   W  Pass-?                  T543.K74.K3.QJT4 KJ6.QJ9.T875.K65 Q98.AT6.9642.A92 A72.8532.AQJ.873 | P
348   W  Pass-?                  A873.A75.QJ3.963 QT95.K63.AT94.J8 KJ.J42.K62.T7542 642.QT98.875.AKQ | P
349   W  Pass-?                  J83.J653.J742.AQ 976.KT4.A85.KJ95 A42.A972.QT.8762 KQT5.Q8.K963.T43 | P
350   W  Pass-?                  KT4.Q84.QJ76.K32 AQJ8.T75.K54.J96 752.KJ63.AT2.T85 963.A92.983.AQ74 | P
351   W  Pass-?                  K763.KQ.QJ63.T82 AQ85.A542.87.743 JT9.T97.K42.AJ65 42.J863.AT95.KQ9 | P
352   W  3S-E                    5.A964.AQ42.9643 T763.K75.KJ53.A5 J984.Q3.T987.KQT AKQ2.JT82.6.J872 | 1C-P-1S-P-2S-P-3S
353   W  Pass-?                  876.AT63.A93.986 542.J2.KQ82.KQT7 AQJ3.Q74.JT7.543 KT9.K985.654.AJ2 | P
354   W  Pass-?                  KQ94.AJ64.952.96 AT86.KQ93.JT.432 J75.82.A864.AQT5 32.T75.KQ73.KJ87 | P
355   W  Pass-?                  T765.AJ.A983.Q42 AJ8.T82.QJT6.J86 K43.Q764.54.A975 Q92.K953.K72.KT3 | P
356   W  Pass-?                  6432.876.AQT.A85 QJ5.AT5.K654.J97 A87.QJ3.873.K643 KT9.K942.J92.QT2 | P
357   W  Pass-?                  K86.K965.QJ6.QT2 J72.QJ73.AT82.94 QT93.A82.93.A765 A54.T4.K754.KJ83 | P
358   W  2S-E                    42.AQ82.KQ62.854 AQJT.73.954.9762 763.KJ9.AT87.QJT K985.T654.J3.AK3 | 1C-P-1S-P-2S
359   W  Pass-?                  KJ95.93.J74.AJT5 Q64.A642.KT9.762 872.KJ7.A853.Q43 AT3.QT85.Q62.K98 | P
360   W  Pass-?                  J932.K84.Q93.AJ6 K85.QJT9.A876.42 T76.A5.KJT4.K983 AQ4.7632.52.QT75 | P
361   W  Pass-?                  854.T93.A853.A54 K73.A842.QJT9.T9 AJ6.Q76.K74.J832 QT92.KJ5.62.KQ76 | P
362   W  3HX-N                   JT2.AQJ3.32.T973 Q643.642.Q86.AQ2 A5.987.KT95.KJ65 K987.KT5.AJ74.84 | 1D-P-1S-P-2S-P-P-X-P-3H-X
363   W  Pass-?                  AJ5.KJT8.T86.632 K6.963.K732.KJ98 QT87.Q72.AQ9.754 9432.A54.J54.AQT | P
364   W  1N-S                    KJ63.AT5.K762.T3 AQ95.64.QT54.K82 74.QJ32.J83.A654 T82.K987.A9.QJ97 | P-1D-P-1H-P-1S-P-1N
365   W  1N-W                    92.KJT5.Q864.AT3 AJ86.4.AJT5.J654 KQT3.Q872.K73.97 754.A963.92.KQ82 | P-P-1D-P-1H-P-1S-P-1N
366   W  1N-W                    A985.KQ93.T874.T J32.AT86.95.AQ92 T74.J2.AJ63.K873 KQ6.754.KQ2.J654 | P-P-1C-P-1N
367   W  Pass-?                  J7.K854.AJ63.Q62 AT62.QJT2.K95.93 Q854.3.QT7.AT874 K93.A976.842.KJ5 | P
368   W  Pass-?                  JT82.K9.AQ92.532 974.JT2.K43.AK86 Q53.AQ83.J85.Q74 AK6.7654.T76.JT9 | P
369   W  Pass-?                  A765.QT43.T52.J8 QT8.J2.Q874.AQ95 K93.AK96.J6.T643 J42.875.AK93.K72 | P
370   W  Pass-?                  KQJ9.J8.AT72.652 86.AT42.Q854.A87 A753.Q963.6.QJT4 T42.K75.KJ93.K93 | P
371   W  Pass-?                  K93.J9.AT62.K973 AQ4.T854.QJ94.QT 875.A632.875.AJ4 JT62.KQ7.K3.8652 | P
372   W  Pass-?                  QT75.A64.Q2.QJ86 J84.Q873.J865.A4 K92.JT2.AT43.KT2 A63.K95.K97.9753 | P
373   W  Pass-?                  K62.K32.QT87.J42 JT9.AT97.J54.KQT A83.Q65.K62.9873 Q754.J84.A93.A65 | P
374   W  Pass-?                  AT63.AQ.T84.7532 Q2.T983.AJ3.QJ84 J854.6542.KQ76.K K97.KJ7.952.AT96 | P
375   W  Pass-?                  A84.K3.KT42.T852 QT97.654.A9.KQ73 J32.AQJ8.Q5.J964 K65.T972.J8763.A | P
376   W  1N-E                    J42.A3.K853.QJT2 K63.T82.Q9642.K4 Q85.KJ54.A7.9765 AT97.Q976.JT.A83 | 1C-P-1D-P-1H-P-1N
377   W  Pass-?                  K72.KT52.K64.874 Q654.86.A53.AT63 AT83.A94.Q872.92 J9.QJ73.JT9.KQJ5 | P
