../bba/Scrambling_2NT.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
174   W  4S-W                    7.KJ93.J984.9653 T632.Q654.K53.JT J5.AT87.AQ6.AQ82 AKQ984.2.T72.K74 | 1S-P-2S-P-4S
175   W  2S-W                    T4.AT73.T752.Q72 K932.K864.863.T8 J5.J952.AK4.AK65 AQ876.Q.QJ9.J943 | 1S-P-2S
176   W  4S-W                    .QT973.A974.6432 K872.82.KJT652.8 J3.AJ64.Q83.AK95 AQT9654.K5..QJT7 | 1S-P-4S
177   W  3H-W                    T7.T6.KJ73.T9843 AJ94.9832.Q42.72 KQ82.5.A865.KQJ6 653.AKQJ74.T9.A5 | 1H-P-2H-X-P-3C-3H
178   W  2HX-W                   987.QT983.J9.962 JT42.A52.T8642.K AQ63..AK53.AT854 K5.KJ764.Q7.QJ73 | 1H-P-2H-X
179   W  2S-W                    Q74.KJT732.84.73 J82.8.AKT95.T952 T6.AQ65.Q732.AQ8 AK953.94.J6.KJ64 | 1S-P-2S
180   W  2H-W                    75.A96.5432.QJT6 KJ98.QT43.9.9873 A642.J.QT76.AK54 QT3.K8752.AKJ8.2 | 1H-P-2H
181   W  2H-W                    QT7.987.T95.Q754 J92.J52.QJ62.KJT K854.K6.A743.A63 A63.AQT43.K8.982 | 1H-P-2H
182   W  2S-W                    A98.T965432..J63 J43.QJ.KJT54.T82 T7.AK87.9876.AK5 KQ652..AQ32.Q974 | 1S-P-2S
183   W  2H-W                    J93.QT82.J84.T82 K8542.K65.Q972.3 AT76.J.KT53.KQJ6 Q.A9743.A6.A9754 | 1H-P-2H
184   W  2H-W                    J7.743.J9874.943 8542.K92.QT3.KT2 AKT9.T5.K65.AQ85 Q63.AQJ86.A2.J76 | 1H-P-2H
185   W  4H-W                    J98543.92.532.Q6 Q76.J86.AJ9.T742 AKT2.Q5.KT74.KJ9 .AKT743.Q86.A853 | 1H-P-2H-P-4H
186   W  2H-W                    54.9732.AJ9.8732 A9876.J86.K3.T96 KQT3.T.6542.AKQ5 J2.AKQ54.QT87.J4 | 1H-P-2H
187   W  2H-W                    Q654.QJ8.6.T9853 K972.T32.Q9854.K JT83.K6.KJ32.AQJ A.A9754.AT7.7642 | 1H-P-2H
188   W  2S-W                    QT94.K72.T.T9763 732.J8.KJ97.A854 K.QT43.Q863.KQJ2 AJ865.A965.A542. | 1S-P-2S
189   W  4C-N                    42.A52.9652.8763 A98.K974.843.T95 KT73..AKJT.KQJ42 QJ65.QJT863.Q7.A | 1H-P-2H-X-P-3C-3H-4C
190   W  2H-W                    T864.K85.AJ7.T93 953.JT96.654.AJ8 AJ72.A.K932.Q764 KQ.Q7432.QT8.K52 | 1H-P-2H
191   W  2S-W                    53.AJ82.96432.K7 T982.975.AQ8.T65 A.T643.KJT7.AQ84 KQJ764.KQ.5.J932 | 1S-P-2S
192   W  4SX-N                   KJ94.Q85.864.863 AT5.J643.JT972.2 Q863.A.KQ53.KJ54 72.KT972.A.AQT97 | 1H-P-2H-X-P-2S-3H-P-4H-P-P-4S-X
193   W  2SX-W                   JT872.T82.Q84.64 963.QJ4.J72.AT95 .K973.AK963.KQJ2 AKQ54.A65.T5.873 | 1S-P-2S-X
194   W  4H-W                    T965.74.J3.J8742 42.KJ85.T642.KT5 AJ83.3.AQ95.AQ93 KQ7.AQT962.K87.6 | 1H-P-2H-X-4H
195   W  3H-W                    Q54.T643.6.T7653 AJ72.Q82.JT3.842 KT98.A.K974.AKJ9 63.KJ975.AQ852.Q | 1H-P-2H-X-P-3C-P-P-3H
196   W  2S-W                    J83.984.QT9.QJ32 A96.JT73.54.KT74 Q2.KQ52.K732.A65 KT754.A6.AJ86.98 | 1S-P-2S
197   W  2H-W                    Q98.K74.876.9743 T74.QT3.KQ953.JT AK52.A5.JT2.K865 J63.J9862.A4.AQ2 | 1H-P-2H
198   W  4H-W                    J754.74.K976.763 8.T62.QT8.KQJT84 KQ93.J5.AJ32.A92 AT62.AKQ983.54.5 | 1H-P-2H-P-4H
199   W  3C-N                    J843.T43.4.J8752 T72.KQ5.T9752.K3 KQ95.76.AKQ6.A96 A6.AJ982.J83.QT4 | 1H-P-2H-X-P-3C
200   W  2HXX-W                  9752.KT854.T85.4 T8.J72.A96.K7632 AK43..J432.AQJ98 QJ6.AQ963.KQ7.T5 | 1H-P-2H-X-XX
201   W  2H-W                    Q976.J85.KT983.5 T4.KT94.J6.QT864 A852.2.AQ52.KJ92 KJ3.AQ763.74.A73 | 1H-P-2H
202   W  3H-W                    K985.K954.T87.K7 J7.JT32.A543.T52 AQ63..KQJ62.J984 T42.AQ876.9.AQ63 | 1H-P-2H-3D-3H
203   W  2S-W                    854.J93.J863.QT9 QJT.854.QT4.KJ32 A7.AT72.K952.A87 K9632.KQ6.A7.654 | 1S-P-2S
204   W  2H-W                    Q72.62.T752.T542 JT63.Q954.Q4.Q76 A985.AJ.KJ96.A98 K4.KT873.A83.KJ3 | 1H-P-2H
205   W  2H-W                    T97.853.A97.8432 KJ85.K96.Q642.96 AQ42.74.J53.AK75 63.AQJT2.KT8.QJT | 1H-P-2H
206   W  2H-W                    T92.QT3.QT976.76 AQ4.J42.8542.J54 K863.85.AKJ3.K32 J75.AK976..AQT98 | 1H-P-2H
207   W  2S-W                    J62.5.QJ74.A9854 K875.K982.86.J73 A.QT63.AT52.KT62 QT943.AJ74.K93.Q | 1S-P-2S
208   W  5C-S                    T..KJT532.AJ8743 KJ853.Q974.97.52 A762.6.A864.KQT6 Q94.AKJT8532.Q.9 | 1H-4N=1=-P-5C | Unusual 4NT
209   W  2S-W                    87.A9.JT532.QJ94 KJ42.KT87.4.T732 6.J632.KQ86.AK65 AQT953.Q54.A97.8 | 1S-P-2S
210   W  2H-W                    T.752.JT753.KT98 Q643.AT6.K84.754 AJ97.Q4.A96.QJ62 K852.KJ983.Q2.A3 | 1H-P-2H
211   W  2H-W                    98.K96.984.JT943 KQ543.JT2.652.Q7 AT62.Q8.KJ73.A82 J7.A7543.AQT.K65 | 1H-P-2H
212   W  3DX-S                   9873.KJ965.J2.98 JT52.A74.53.K532 AK64..AK984.JT74 Q.QT832.QT76.AQ6 | 1H-P-2H-3D-P-P-X
213   W  2H-W                    T65.T84.JT76.JT7 KJ4.952.Q3.K9852 AQ97.AJ.K852.Q64 832.KQ763.A94.A3 | 1H-P-2H
214   W  3H-W                    J432.AJ72.8.T654 QT95.Q963.42.Q97 K876..AQJT7.KJ83 A.KT854.K9653.A2 | 1H-P-2H-3D-3H
215   W  2H-W                    KJ75.T98.J932.T7 QT.765.T75.AK542 A864.J3.AK84.Q98 932.AKQ42.Q6.J63 | 1H-P-2H
216   W  4DX-N                   9.Q3.987654.Q854 KT52.KJT9.T.T972 QJ84.52.AQ2.AKJ6 A763.A8764.KJ3.3 | 1H-P-2H-X-P-3D-3H-P-P-4D-P-P-X
217   W  2S-W                    97.JT93.KT876.T3 K52.875.A532.Q96 43.KQ64.Q94.AK72 AQJT86.A2.J.J854 | 1S-P-2S
218   W  2H-W                    84.J95.T953.KT65 QJ52.K32.4.Q9742 T963.AQ.QJ76.AJ3 AK7.T8764.AK82.8 | 1H-P-2H
219   W  2S-W                    65.T9765.QJT54.A QJT2.8.K93.T8432 98.AQ32.A76.KQ95 AK743.KJ4.82.J76 | 1S-P-2S
220   W  4S-W                    62.72.9753.75432 QT3.964.QT62.KQ8 K9.AQJ8.AKJ8.JT9 AJ8754.KT53.4.A6 | 1S-P-2S-X-4S
221   W  2S-W                    J72.Q653.Q952.42 T98.T972.A74.KJ8 K4.AKJ4.T86.AT97 AQ653.8.KJ3.Q653 | 1S-P-2S
222   W  2S-W                    65.J7.QT6.KJ9876 J742.Q986.KJ93.2 A9.A532.A874.Q54 KQT83.KT4.52.AT3 | 1S-P-2S
223   W  2S-W                    KQ8.K9532.862.94 T762.QJ8.753.A76 5.A764.KJ94.KQT8 AJ943.T.AQT.J532 | 1S-P-2S
224   W  4H-W                    Q.T.KJT8753.J965 J9875.KJ76.Q96.3 AT63.Q4.A42.AT72 K42.A98532..KQ84 | 1H-3D-3H-4D-4H
225   W  3H-W                    T5.53.KQT62.T764 QJ86.Q742.984.J2 9742.A9.A53.AKQ8 AK3.KJT86.J7.953 | 1H-P-2H-X-P-3D-3H
226   W  2H-W                    A9.876.KT765.T85 Q84.Q532.32.Q732 KJ32.4.AJ98.AJ94 T765.AKJT9.Q4.K6 | 1H-P-2H
227   W  2H-W                    Q8732.T96.52.T53 AJT4.743.A764.92 K965.QJ.KQ98.A64 .AK852.JT3.KQJ87 | 1H-P-2H
228   W  4H-W                    T83.T4.JT652.K32 J6.KQ9.94.QT8764 AQ42.53.KQ8.AJ95 K975.AJ8762.A73. | 1H-P-2H-P-4H
229   W  2H-W                    QT8.72.J876.K643 J54.A854.T932.J7 A973.T9.AQ5.AQ82 K62.KQJ63.K4.T95 | 1H-P-2H
230   W  4S-W                    95.QJ.QJ862.8753 J764.K87654.T.Q2 .A932.AK94.AJ964 AKQT832.T.753.KT | 1S-P-2S-X-P-3D-3S-P-P-4D-P-P-4S
231   W  3H-W                    T54.AJT64.863.84 76.Q92.T52.AQJ65 K982..AQJ74.KT32 AQJ3.K8753.K9.97 | 1H-P-2H-3D-3H
232   W  2S-W                    JT8.J53.JT2.QJ95 962.QT42.A7543.K 3.A986.KQ96.AT83 AKQ754.K7.8.7642 | 1S-P-2S
233   W  2H-W                    T53.J65.J952.AT6 Q9862.AQ3.84.875 AKJ4.K8.T73.QJ92 7.T9742.AKQ6.K43 | 1H-P-2H
234   W  2S-W                    J6.T9864.Q52.KQ5 QT54.72.KJ76.987 K3.QJ53.A943.AT6 A9872.AK.T8.J432 | 1S-P-2S
235   W  2S-W                    54.Q76.T6432.A93 JT87.984.A95.J75 K.AJT2.KQJ8.Q864 AQ9632.K53.7.KT2 | 1S-P-2S
236   W  2H-W                    85.J74.T985.J853 KQT6432.QT6.J6.6 AJ97.A8.K432.KQ4 .K9532.AQ7.AT972 | 1H-P-2H
237   W  2S-W                    8653.K2.96.T9852 T94.7654.AKQT2.7 2.AJT8.J873.AKJ4 AKQJ7.Q93.54.Q63 | 1S-P-2S
238   W  2H-W                    A9732.972.J86.54 JT8.JT6.KT92.K62 Q654.K3.AQ4.AT97 K.AQ854.753.QJ83 | 1H-P-2H
239   W  4S-W                    8.JT752.QJT3.Q43 Q532.864.A76.T97 T9.AKQ3.9852.AJ8 AKJ764.9.K4.K652 | 1S-P-2S-P-4S
240   W  2H-W                    9642.T97.Q8.Q973 J.J54.K765.KJT82 A853.K6.AT93.A64 KQT7.AQ832.J42.5 | 1H-P-2H
241   W  2H-W                    A9652.52.8642.52 JT7.T84.AT9.A764 Q843.KQ.KQ5.KT98 K.AJ9763.J73.QJ3 | 1H-P-2H
242   W  2S-W                    Q76.QJ82.AT52.97 KT52.KT4.76.T543 4.A763.KQ94.A862 AJ983.95.J83.KQJ | 1S-P-2S
243   W  4CX-N                   97.Q.T62.JT98652 AJT63.J763.985.3 KQ84.98.AK73.AQ7 52.AKT542.QJ4.K4 | 1H-P-2H-X-P-3C-3H-P-P-4C-P-P-X
244   W  3H-W                    85.QT764.JT87.T9 KQT4.852.Q3.J875 A763..A642.AK643 J92.AKJ93.K95.Q2 | 1H-P-2H-3C-3H
245   W  2H-W                    JT94.973.T852.T7 K.JT6.QJ97.J9632 A863.A4.643.AKQ8 Q752.KQ852.AK.54 | 1H-P-2H
246   W  2S-W                    K6.T983.863.AJ53 J984.K752.T9.KT4 3.AQJ4.KQJ2.9872 AQT752.6.A754.Q6 | 1S-P-2S
247   W  2H-W                    K54.5.J985.K8743 J8.T987.AT72.JT5 AQT9.KQ.Q643.Q62 7632.AJ6432.K.A9 | 1H-P-2H
248   W  2H-W                    QJ8.42.J92.T8532 942.A87.875.KQ76 AKT5.J3.KT43.A94 763.KQT965.AQ6.J | 1H-P-2H
249   W  2H-W                    J98.32.T87.K9864 Q654.QJ65.65.JT7 KT32.K7.AQJ4.A52 A7.AT984.K932.Q3 | 1H-P-2H
250   W  2H-W                    A32.K94.QT8.T963 K5.T872.65432.K4 QJ84.J.AK97.Q875 T976.AQ653.J.AJ2 | 1H-P-2H
251   W  2S-W                    986.K987.Q53.942 A43.A53.JT976.T6 K5.QJT2.842.AKJ8 QJT72.64.AK.Q753 | 1S-P-2S
252   W  2H-W                    J983.Q93.KJ65.98 T.KJ75.Q932.7654 AQ62.T.AT87.QJT2 K754.A8642.4.AK3 | 1H-P-2H
253   W  2H-W                    J975.K5.Q753.984 QT62.Q962.T9.Q52 A843.J3.AK62.KJ3 K.AT874.J84.AT76 | 1H-P-2H
254   W  4H-W                    Q6.T2.942.QT8743 KJ92.J87.T87.A96 T743.K5.AK6.KJ52 A85.AQ9643.QJ53. | 1H-P-2H-P-4H
255   W  2H-W                    Q95.J5.JT52.QJ42 KJ72.T763.K87.85 AT83.4.AQ93.A963 64.AKQ982.64.KT7 | 1H-P-2H
256   W  4SX-W                   96.JT85.KQ984.63 J843.Q42.6.KJ872 A.A976.AJ53.QT94 KQT752.K3.T72.A5 | 1S-P-2S-X-P-3D-3S-P-P-4D-4S-P-P-X
257   W  2S-W                    Q94.8652.4.QT754 875.AQ7.QT973.J3 32.KJT4.KJ2.AK82 AKJT6.93.A865.96 | 1S-P-2S
258   W  2H-W                    J.T862.852.QJ963 K8742.975.K76.KT AT65.K.QJ94.A842 Q93.AQJ43.AT3.75 | 1H-P-2H
259   W  4S-W                    8.T754.J87653.A4 J92.Q8.T4.KQ7652 5.K962.AKQ2.JT83 AKQT7643.AJ3.9.9 | 1S-P-2S-P-4C=1=-P-4S | Splinter
260   W  2H-W                    J864.84.QT7.Q953 K5.KT96.J63.T762 AQT7.75.K985.AK8 932.AQJ32.A42.J4 | 1H-P-2H
261   W  2S-W                    T93.94.J62.JT543 Q65.JT853.AQT98. K4.Q762.K53.AKQ8 AJ872.AK.74.9762 | 1S-P-2S
262   W  2H-W                    K763.542.874.T85 T2.AT6.J9532.K62 QJ98.98.AKQ6.A94 A54.KQJ73.T.QJ73 | 1H-P-2H
263   W  2S-W                    986.T2.K96.KQ863 KT72.QJ84.743.T2 3.A765.AJ52.AJ95 AQJ54.K93.QT8.74 | 1S-P-2S
264   W  2S-W                    J6.JT86.32.K8743 K432.K974.T95.95 AT.AQ32.QJ64.QT6 Q9875.5.AK87.AJ2 | 1S-P-2S
265   W  2S-W                    JT.96.J76.AT7542 9652.JT43.AQ9.98 A3.KQ87.T43.KQJ6 KQ874.A52.K852.3 | 1S-P-2S
266   W  2H-W                    9765.942.J532.K9 Q32.Q65.AT4.8652 AJ84.KJ.9876.AJT KT.AT873.KQ.Q743 | 1H-P-2H
267   W  2H-W                    8432.93.AT73.J85 J75.T84.K94.AT97 AQT6.K7.J82.KQ63 K9.AQJ652.Q65.42 | 1H-P-2H
268   W  2S-W                    KQ5.JT876.QT5.84 T872.4.KJ73.Q765 6.KQ32.A942.KJ92 AJ943.A95.86.AT3 | 1S-P-2S
269   W  2S-W                    32.K854.T854.Q42 T964.AQ3.J62.T65 J5.JT96.AK9.AJ73 AKQ87.72.Q73.K98 | 1S-P-2S
270   W  3S-W                    J64.T82.53.J8765 A973.Q43.T942.92 Q.A765.AQJ7.KQT3 KT852.KJ9.K86.A4 | 1S-P-2S-X-XX-3C-3S
271   W  2S-W                    A864.JT93.T94.93 Q53.52.J76.AJ542 T.AQ64.KQ32.QT87 KJ972.K87.A85.K6 | 1S-P-2S
272   W  3H-W                    T654.QJ.T8432.94 Q72.T876.6.AJ862 AKJ3.2.KQJ7.KT53 98.AK9543.A95.Q7 | 1H-P-2H-X-P-3D-3H
273   W  2H-W                    JT432.Q2.62.Q743 8.T763.QJT4.AT82 AQ75.AJ.9873.KJ6 K96.K9854.AK5.95 | 1H-P-2H
274   W  2S-W                    JT4.QJT762.QT3.8 K96.83.KJ42.JT96 A.A954.A987.Q754 Q87532.K.65.AK32 | 1S-P-2S
275   W  2H-W                    973.K98.T3.JT732 KT6.A32.J8764.96 Q542.74.A52.AKQ4 AJ8.QJT65.KQ9.85 | 1H-P-2H
276   W  2S-W                    976.T65.JT92.AT3 QT8.QJ943.65.K82 52.AK82.KQ3.Q954 AKJ43.7.A874.J76 | 1S-P-2S
277   W  3S-W                    KQ2.JT65.2.J7643 9876.K932.T965.K .Q874.AKQ4.Q9852 AJT543.A.J873.AT | 1S-P-2S-P-3S
278   W  4SX-N                   KJT92.J54.865.T2 86.9832.K4.QJ654 AQ53..AJT72.A873 74.AKQT76.Q93.K9 | 1H-P-2H-X-4H-4S-P-P-X
279   W  2H-W                    J96542.87.A8.J54 K3.JT63.QT965.97 AT87.A5.KJ3.AT86 Q.KQ942.742.KQ32 | 1H-P-2H
280   W  3H-W                    76.AT75.J86.QJ73 AT954.Q842.T97.4 KJ83..KQ432.A985 Q2.KJ963.A5.KT62 | 1H-P-2H-3D-3H
281   W  3H-W                    9632.A83.A9863.9 J85.T642.KJ7.J54 AQT7..QT52.AQ863 K4.KQJ975.4.KT72 | 1H-P-2H-3C-3H
282   W  4CX-N                   T962.2.T73.JT753 AJ8.9853.Q94.642 K743.K7.AK52.AQ9 Q5.AQJT64.J86.K8 | 1H-P-2H-X-P-3C-3H-X-P-4C-P-P-X
283   W  2S-W                    T82.J95.AT943.T9 A94.86.J65.A8765 76.KQ42.KQ7.KJ32 KQJ53.AT73.82.Q4 | 1S-P-2S
284   W  4S-W                    5.765.K73.KQJ872 KQJ8.T432.T52.T9 2.KQJ8.QJ94.A654 AT97643.A9.A86.3 | 1S-P-2S-P-4S
285   W  2S-W                    Q8.JT852.K763.96 A432.4.8542.K852 JT.A763.QJT9.AQ7 K9765.KQ9.A.JT43 | 1S-P-2S
286   W  2S-W                    975.Q2.Q96.QJT96 8432.A743.KT74.3 J.KJ65.AJ82.K542 AKQT6.T98.53.A87 | 1S-P-2S
287   W  2S-W                    74.AJ87.973.8743 QJ92.64.JT84.Q95 A3.QT53.AQ65.KJT KT865.K92.K2.A62 | 1S-P-2S
288   W  2H-W                    KT753.T83.763.JT J9.642.QJ42.A875 AQ86.A7.A985.Q43 42.KQJ95.KT.K962 | 1H-P-2H
289   W  2S-W                    J5.KJ98.876.9872 K763.762.T942.A4 Q.AQT5.AK53.JT63 AT9842.43.QJ.KQ5 | 1S-P-2S
290   W  3H-W                    52.K952.T732.A63 764.JT84.Q6.K875 QJT3..AK54.QJT92 AK98.AQ763.J98.4 | 1H-P-2H-3C-3H
291   W  2H-W                    Q653.32.K872.932 J872.T864.Q3.QJ4 AKT9.Q9.AT54.K65 4.AKJ75.J96.AT87 | 1H-P-2H
292   W  4H-W                    97642.QJ.J9652.4 AQ3.965.4.QT7632 KJ85.T2.A87.AKJ8 T.AK8743.KQT3.95 | 1H-P-2H-P-4H
293   W  2H-W                    KJ96.74.Q8762.T2 Q743.QJT8..J9653 AT82.53.A543.AK4 5.AK962.KJT9.Q87 | 1H-P-2H
294   W  2S-W                    J3.K92.T876.KQT5 T975.85.Q53.A832 Q.QJ73.AK42.J974 AK8642.AT64.J9.6 | 1S-P-2S
295   W  3S-W                    AJT82.T97.98.J76 K64.Q852.JT2.K94 .AJ64.AQ74.QT532 Q9753.K3.K653.A8 | 1S-P-2S-3C-3S
296   W  2H-W                    865.54.QT974.QJ3 JT94.AQ32.53.542 AK32.JT.KJ8.KT96 Q7.K9876.A62.A87 | 1H-P-2H
297   W  2S-W                    T762.863.753.KT6 K54.52.AT92.Q975 J.QJT7.KQ64.AJ83 AQ983.AK94.J8.42 | 1S-P-2S
298   W  2H-W                    97542.T862.K8.98 QJ8.743.J4.KQT65 AT63.Q.AQ92.A732 K.AKJ95.T7653.J4 | 1H-P-2H
299   W  2S-W                    32.KT9.9654.J964 865.Q7643.KJ.K32 AQ.AJ85.8732.AT7 KJT974.2.AQT.Q85 | 1S-P-2S
300   W  3CX-S                   KT7643.J8752..83 Q8.Q93.QJ9765.J5 J952..AT43.AKQ76 A.AKT64.K82.T942 | 1H-P-2H-3C-X
301   W  4S-W                    K6.953.J9764.754 T42.42.AQ8.KT832 Q8.QJ76.KT2.AQJ9 AJ9753.AKT8.53.6 | 1S-P-2S-P-4S
302   W  2H-W                    5.Q962.Q85432.94 T9832.K87.AT7.J8 AQ74.A.KJ96.T752 KJ6.JT543..AKQ63 | 1H-P-2H
303   W  2H-W                    KJT752.T52.83.J8 93.A43.Q542.K654 AQ86.6.AT76.AT92 4.KQJ987.KJ9.Q73 | 1H-P-2H
304   W  2H-W                    2.AT3.T972.T7532 Q9653.752.K64.K6 KJ87.96.AQ5.AJ84 AT4.KQJ84.J83.Q9 | 1H-P-2H
305   W  2S-W                    J83.Q853.863.J63 QT9.42.KT2.A9875 74.AK76.AJ75.Q42 AK652.JT9.Q94.KT | 1S-P-2S
306   W  4H-W                    94.5.QT952.K8642 A2.T873.J83.J753 JT76.J2.AK76.AQT KQ853.AKQ964.4.9 | 1H-P-2H-P-4C=1=-P-4H | Splinter
307   W  4HX-W                   9643.T9.T62.K987 Q5.QJ4.J953.QT63 KT82.A7.KQ8.AJ52 AJ7.K86532.A74.4 | 1H-P-2H-X-P-2S-P-3S-4H-X
308   W  2H-W                    872.AT7.J9.75432 JT6.J64.T863.AKT KQ93.98.AQ5.QJ98 A54.KQ532.K742.6 | 1H-P-2H
309   W  2S-W                    KT3.9743.J4.JT86 985.K82.T652.AQ9 A4.AT65.AQ97.752 QJ762.QJ.K83.K43 | 1S-P-2S
310   W  2S-W                    T5.JT9.T862.QJ86 J84.Q82.KQ54.T97 Q6.K643.A93.AK53 AK9732.A75.J7.42 | 1S-P-2S
311   W  2S-W                    Q873.875.93.T764 JT5.K932.QJ84.Q9 A.AQT6.T752.AJ32 K9642.J4.AK6.K85 | 1S-P-2S
312   W  3S-W                    K43.T653.T9.9864 Q52.98.J32.AJ753 96.AK74.KQ74.KQ2 AJT87.QJ2.A865.T | 1S-P-2S-X-P-3H-P-P-3S
313   W  2H-W                    Q95.T74.T972.J82 7432.Q95.Q.A9763 AKJ8.62.K86.KQ54 T6.AKJ83.AJ543.T | 1H-P-2H
314   W  4S-W                    J2.KT73.654.JT62 943.J65.T2.AK987 K5.Q984.AKJ.Q543 AQT876.A2.Q9873. | 1S-P-2S-P-4S
315   W  2S-W                    82.T76.QJ953.Q64 T974.94.742.AK87 AQ.AQ85.AT8.9532 KJ653.KJ32.K6.JT | 1S-P-2S
316   W  2H-W                    QT.K6.KT953.T743 A9854.T953.Q4.96 KJ72.82.J87.AKQ8 63.AQJ74.A62.J52 | 1H-P-2H
317   W  4S-W                    42.AQ3.J9832.J85 QT97.KJT87.T65.4 J.9654.AKQ7.AT92 AK8653.2.4.KQ763 | 1S-P-2S-P-4S
318   W  2H-W                    6542.KJ5.J972.64 K98.A87.865.JT52 AQJT.T9.KQT3.K97 73.Q6432.A4.AQ83 | 1H-P-2H
319   W  2S-W                    J72.KT873.T97.53 KQ4.Q9.Q6543.T92 83.J652.KJ2.AKQ8 AT965.A4.A8.J764 | 1S-P-2S
320   W  2H-W                    QT654.J7.KT83.Q9 K7.9832.65.KT753 AJ98.AT.J42.A864 32.KQ654.AQ97.J2 | 1H-P-2H
321   W  2S-W                    654.2.KJT7.Q9643 KJT.K75.9543.J85 87.J863.AQ2.AK72 AQ932.AQT94.86.T | 1S-P-2S
322   W  2S-W                    AQ96.9743.62.732 743.T82.KQ3.QJ84 J.AKQ5.JT94.KT96 KT852.J6.A875.A5 | 1S-P-2S
323   W  2SX-W                   QJ7.7543.74.J642 KT43.Q8.T632.Q87 9.AJT9.KJ98.AK95 A8652.K62.AQ5.T3 | 1S-P-2S-X
324   W  4D-N                    7543.J3.KQ8632.9 A6.QT52.95.T6532 KQJ9..AJT4.KQ874 T82.AK98764.7.AJ | 1H-P-2H-X-P-3D-3H-P-P-4D
325   W  4S-W                    73.Q9643.9764.KT J82.T72.J5.AQ764 K.AKJ5.QT32.9853 AQT9654.8.AK8.J2 | 1S-P-2S-P-4H=1=-P-4S | Splinter
326   W  2H-W                    873.T97.Q75.JT98 QJT6.KQ4.JT982.3 K952.J8.AK64.K54 A4.A6532.3.AQ762 | 1H-P-2H
327   W  3S-N                    9532.984.J64.973 JT4.KJT.Q82.J654 AQ76.72.AK53.KQ8 K8.AQ653.T97.AT2 | 1H-P-2H-X-P-2S-P-3S
328   W  2S-W                    85.8763.KT82.983 AQ4.Q2.9643.J765 76.AT94.AJ75.AK2 KJT932.KJ5.Q.QT4 | 1S-P-2S
329   W  4S-W                    5.J632.KQ765.876 T94.K874.JT42.A9 J3.AQT9.A83.KT52 AKQ8762.5.9.QJ43 | 1S-P-2S-P-4S
330   W  2H-W                    A974.84.T5.T8643 J86.JT62.AJ32.97 K532.75.KQ4.AKJ5 QT.AKQ93.9876.Q2 | 1H-P-2H
331   W  2S-W                    T53.98732.A93.T6 764.AQT.Q654.843 Q2.KJ64.KJ7.A952 AKJ98.5.T82.KQJ7 | 1S-P-2S
332   W  3H-W                    8632.A6.6532.JT4 QJ5.QT94.J9.8632 A974.3.AQT7.KQ97 KT.KJ8752.K84.A5 | 1H-P-2H-P-3H
333   W  2S-W                    T9.Q98.654.K6532 A764.JT754.97.Q9 Q2.K632.AQ3.AJT7 KJ853.A.KJT82.84 | 1S-P-2S
334   W  4H-W                    54.85.AJ9763.T86 T3.AK7.T52.Q7543 K986.Q9.KQ84.KJ9 AQJ72.JT6432..A2 | 1H-P-2H-P-4H
335   W  2H-W                    54.943.K852.Q962 AK2.T62.T964.J53 QJ98.Q8.AQJ7.K87 T763.AKJ75.3.AT4 | 1H-P-2H
336   W  2H-W                    96532.J42.96.K42 J4.863.AQJ7432.6 AKT8.Q7.K85.A987 Q7.AKT95.T.QJT53 | 1H-P-2H
337   W  2S-W                    T2.K952.J63.Q942 KQJ8.764.T2.8765 A7.QJT3.A987.AT3 96543.A8.KQ54.KJ | 1S-P-2S
338   W  2H-W                    QT7.84.Q863.T872 K64.965.KT94.K93 9852.KQ.AJ7.AJ64 AJ3.AJT732.52.Q5 | 1H-P-2H
339   W  2H-W                    A96.Q4.T98642.84 T543.J862.KJ.J52 KJ82.75.AQ53.A93 Q7.AKT93.7.KQT76 | 1H-P-2H
340   W  4S-W                    QT83.A.T82.T8543 K964.QT98643.Q5. .KJ52.A9743.KQJ6 AJ752.7.KJ6.A972 | 1S-P-4S
341   W  3H-W                    T953.J832.2.KJT7 AQ42.954.QJT96.8 KJ87..AK543.Q954 6.AKQT76.87.A632 | 1H-P-2H-3D-3H
342   W  2H-W                    8762.Q87.J32.975 KJ.J65.KT8.JT642 AQT4.A9.Q754.K83 953.KT432.A96.AQ | 1H-P-2H
343   W  4S-W                    65.K8763.52.QT84 T97.JT.T93.AK763 K8.A954.KQJ7.J92 AQJ432.Q2.A864.5 | 1S-P-2S-P-4S
344   W  3S-W                    J42.7543.5.87543 T76.JT2.AKJ862.2 A9.AK96.T43.AQJ6 KQ853.Q8.Q97.KT9 | 1S-P-2S-X-P-3C-3S
345   W  4H-W                    9643.4.QJ9542.J9 AK85.8763.T87.74 QJ72.T2.AK6.AQ32 T.AKQJ95.3.KT865 | 1H-P-2H-P-4H
346   W  2S-W                    986.Q7532.J74.54 743.K4.862.KQJ96 AJ.AT98.KQ93.872 KQT52.J6.AT5.AT3 | 1S-P-2S
347   W  2H-W                    K852.J63.985.J54 43.854.K73.AQT62 AT96.K9.AT2.K987 QJ7.AQT72.QJ64.3 | 1H-P-2H
348   W  3H-W                    643.J972.Q85.K97 T98.KQ65.93.QT65 KQJ7..AJT76.A832 A52.AT843.K42.J4 | 1H-P-2H-3D-P-P-3H
