../bba/Hold_Up_3N.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
179   S  3N-S       400          KQ2.J5.J97.AJ865 J965.T2.KQ43.Q92 AT43.A96.AT82.KT 87.KQ8743.65.743 | 1N-P-3N
180   S  3H-W       100          K52.93.AJT5.QT98 T7.J6.KQ9843.J76 AQ94.A5.762.AK43 J863.KQT8742..52 | 1N-3H
181   S  3N-S       630          K62.J9.Q84.AJ854 T953.854.KT6.QT2 AQ87.A2.A753.K63 J4.KQT763.J92.97 | 1N-P-3N
182   S  3N-S       400          94.753.AK83.QJ76 QJ8.9.T72.KT8543 AK52.A82.Q95.A92 T763.KQJT64.J64. | 1N-P-3N
183   S  3N-S       630          42.JT7.QT83.AKJ8 T8.82.AJ75.Q9753 AKQ76.A9.K62.T62 J953.KQ6543.94.4 | 1N-P-3N
184   S  3N-S       400          AT5.765.J54.KQ85 K982.T93.AQ62.72 QJ3.AJ.KT87.AJT3 764.KQ842.93.964 | 1N-P-3N
185   S  3N-S       400          J76.T5.KT963.AQ5 KT9832.J93.A84.7 AQ54.A64.Q7.K864 .KQ872.J52.JT932 | 1N-P-3N
186   S  3N-S       630          Q6.T75.Q74.AK987 T4.93.AK985.J643 AKJ5.A82.JT62.Q5 98732.KQJ64.3.T2 | 1N-P-3N
187   S  3N-S       430          Q62.532.KQ8.K842 AJ853.64.T53.Q76 KT97.A9.AJ9.AJT9 4.KQJT87.7642.53 | 1N-P-3N
188   S  3N-S       600          Q97.973.A84.KQ74 K8654.86.QJ3.J86 AT3.AT.K72.AT953 J2.KQJ542.T965.2 | 1N-P-3N
189   S  3N-S       630          KT6.532.AQJ5.875 QJ85.J97.K764.93 A93.A4.T32.AKQ62 742.KQT86.98.JT4 | 1N-P-3N
190   S  3N-S       400          Q73.963.73.AKJT2 K9542.JT8.KJ86.8 AT6.A5.AQ954.Q95 J8.KQ742.T2.7643 | 1N-P-3N
191   S  3N-S       660          AT7.84.AT732.A74 J954.965.J64.Q65 KQ82.A7.KQ95.KT9 63.KQJT32.8.J832 | 1N-2H-3D-P-3N
192   S  3N-S       400          J32.T64.KT87.AQT KT6.J2.Q932.K753 AQ98.A9.A54.J986 754.KQ8753.J6.42 | 1N-P-3N
193   S  3N-S       430          97.942.A9876.AKJ 542.JT.QT52.Q652 AKJ.A87.KJ43.T43 QT863.KQ653..987 | 1N-P-3N
194   S  3N-S       630          QJ.975.KQ64.AT63 AT765.42.T85.J52 K83.AT.A972.KQ87 942.KQJ863.J3.94 | 1N-P-3N
195   S  3N-S       490          A6.762.T54.AKT62 KQ84.T4.J3.97543 953.AJ8.AKQ82.QJ JT72.KQ953.976.8 | 1N-P-3N
196   S  4S-S       680          A94.53.AT84.AT94 QT8..QJ632.J8753 KJ752.AJ8.K5.KQ6 63.KQT97642.97.2 | 1N-4H-X-P-4S
197   S  3N-S       600          Q2.J52.QJ4.KQ854 J8765.T87.K8.AJ9 AK943.A6.A32.T76 T.KQ943.T9765.32 | 1N-P-3N
198   S  3N-S       430          A93.T32.AQ.Q9864 QJ875.J9.KT8.752 K62.A65.J54.AKT3 T4.KQ874.97632.J | 1N-P-3N
199   S  3N-S       600          542.JT8.AQJ7.Q74 AQT986.32.K43.T6 KJ.A65.986.AKJ95 73.KQ974.T52.832 | 1N-P-3N
200   S  3N-S       400          Q62.854.AKQ93.94 K854.63.T874.A62 AJ.AJ7.J52.KJT53 T973.KQT92.6.Q87 | 1N-P-3N
201   S  3N-S       430          K73.854.AK5.J973 QJ8.T76.Q62.Q854 AT96.AJ.984.AKT6 542.KQ932.JT73.2 | 1N-P-3N
202   S  3N-S       600          J73.JT5.A76.A942 QT9854.872.T3.KQ AK62.A9.KQ92.T73 .KQ643.J854.J865 | 1N-P-3N
203   S  3N-S       400          KQJ.T54.J753.A63 962.98.Q862.KQT7 A43.A32.AK94.J54 T875.KQJ76.T.982 | 1N-P-3N
204   S  3N-S       630          AK3.92.K97.J9865 J9876.64.A432.K7 QT42.AJ.QJ65.AQT 5.KQT8753.T8.432 | 1N-3H-3N
205   S  3N-S       630          AQ2.T43.KT63.K74 J985.976.J42.Q32 K763.AJ.A75.AJ85 T4.KQ852.Q98.T96 | 1N-P-3N
206   S  3N-S       400          JT7.T3.J75.AKQ43 A98.74.KT9.98765 K64.AJ9.AQ862.J2 Q532.KQ8652.43.T | 1N-P-3N
207   S  3N-S       660          Q72.JT.A76.KT842 AK964.985.932.65 T8.A76.KQJ85.AQ9 J53.KQ432.T4.J73 | 1N-P-3N
208   S  3N-S       400          Q2.J63.K873.AJ86 AJ8.984.Q5.Q9753 KT3.A5.AJ642.KT4 97654.KQT72.T9.2 | 1N-P-3N
209   S  3N-S       430          Q83.T5.KQ96.KJ96 974.86.AJ875.743 AK52.A94.432.AQ2 JT6.KQJ732.T.T85 | 1N-P-3N
210   S  2N-S       150          74.J75.AQ98.K975 AQ985.8.JT743.42 KJT6.A64.K65.AJT 32.KQT932.2.Q863 | 1N-P-2N
211   S  3N-S       400          AJ7.J53.52.KQT63 KQT8653.74.KT83. 942.AT2.AQJ.A854 .KQ986.9764.J972 | 1N-P-3N
212   S  3N-S       630          QT7.65.KQ654.KQ6 J8532.JT8..A8743 AK6.A92.AJT72.J2 94.KQ743.983.T95 | 1N-P-3N
213   S  3N-S       630          AQ6.52.KQ874.T83 T982.93.AT32.QJ6 KJ7.AJ6.J6.AK952 543.KQT874.95.74 | 1N-P-3N
214   S  3N-S       400          A73.96.J753.AJ92 QT984.J52.QT8.K6 KJ6.AT7.AK9.Q543 52.KQ843.642.T87 | 1N-P-3N
215   S  3N-S       630          KJ9.984.K83.KJT6 T864.T6.AQ75.753 AQ732.AJ2.T42.AQ 5.KQ753.J96.9842 | 1N-P-3N
216   S  3N-S       490          A42.73.K7654.AT7 KQJ63.98.JT8.643 T8.AT5.AQ9.KQJ92 975.KQJ642.32.85 | 1N-P-3N
217   S  3H-W       200          Q64.86.AJ3.KJ876 AT92.J3.T9876.Q3 KJ83.A5.KQ54.A54 75.KQT9742.2.T92 | 1N-3H
218   S  3N-S       600          QJ3.J74.KT54.K87 872.T5.AQJ73.QJT AK9.A63.982.A542 T654.KQ982.6.963 | 1N-P-3N
219   S  3N-S       430          Q64.432.AQ2.K753 KJT7.J98.J753.JT A83.A5.KT96.AQ98 952.KQT76.84.642 | 1N-P-3N
220   S  3N-S       600          K96.J7.AQ654.652 AJ842.965.92.QJ3 53.A42.KJ8.AK984 QT7.KQT83.T73.T7 | 1N-P-3N
221   S  3N-S       600          A65.J72.JT753.A6 KJT73.85.2.KQJ85 Q84.AT9.AKQ9.T92 92.KQ643.864.743 | 1N-P-3N
222   S  3N-S       400          K54.J93.AQ84.962 AQ973.72.T.QJ853 JT86.A4.K76.AK74 2.KQT865.J9532.T | 1N-P-3N
223   S  3N-S       630          T7.J52.KQ63.AQ42 A985.T93.975.975 KQ64.A6.AT82.KJT J32.KQ874.J4.863 | 1N-P-3N
224   S  2N-S       150          A95.T5.AT2.Q8743 QT2.832.J974.AK5 KJ86.AJ7.KQ85.J6 743.KQ964.63.T92 | 1N-P-2N
225   S  2N-S       150          95.984.A973.AQ76 K83.53.K8542.KJ5 AQJ42.AJ7.QJ.843 T76.KQT62.T6.T92 | 1N-P-2N
226   S  3N-S       600          K54.J82.KJ92.Q83 QJ76.974..AT9652 AT2.AT.AT76.KJ74 983.KQ653.Q8543. | 1N-P-3N
227   S  3N-S       400          T63.32.A65.AK852 KQ84.54.Q73.9643 AJ972.A86.KJ4.QJ 5.KQJT97.T982.T7 | 1N-P-3N
228   S  5D-S       600          AK9.J3.K95.JT976 JT874.4.AT6.Q542 Q32.A2.QJ874.AK8 65.KQT98765.32.3 | 1N-4H-X-P-5D
229   S  3N-S       630          Q64.T5.A764.AQ73 T32.873.J95.KJT9 AK95.A9.KQ8.8654 J87.KQJ642.T32.2 | 1N-P-3N
230   S  3N-S       430          AQ9.832.J82.AT97 T87432.6.765.KQ5 KJ5.AJ5.AK94.J82 6.KQT974.QT3.643 | 1N-P-3N
231   S  3N-S       630          Q9.873.KT964.AQ4 J76.J.Q753.KT973 AK854.A64.A8.J65 T32.KQT952.J2.82 | 1N-P-3N
232   S  3N-S       400          K2.853.KJ765.K85 J8643.J64.T.AJ94 A95.AT.AQ98.QT72 QT7.KQ972.432.63 | 1N-P-3N
233   S  3N-S       400          Q62.J2.QJ97.KJ72 J8754.T54.AKT5.6 AKT9.A7.432.AQ83 3.KQ9863.86.T954 | 1N-P-2N-P-3N
234   S  3N-S       600          AJ5.42.AQT83.963 T863.JT9.J52.KQ7 K92.A53.K4.AJT54 Q74.KQ876.976.82 | 1N-P-3N
235   S  3N-S       400          976.865.AK6.QJ86 J5.J9.JT87542.A2 AK42.A73.Q93.K93 QT83.KQT42..T754 | 1N-P-3N
236   S  3N-S       630          AJ6.82.Q432.KQ75 42.JT4.A875.J942 K73.A76.KJT6.AT6 QT985.KQ953.9.83 | 1N-P-3N
237   S  3H-W       100          JT3.JT.K87.AJ974 Q92.42.AQJT93.T6 AK87.A3.652.KQ82 654.KQ98765.4.53 | 1N-3H
238   S  3N-S       400          632.963.AQ9.A976 AK.872.J653.J832 QJT8.AT.K742.KQT 9754.KQJ54.T8.54 | 1N-P-3N
239   S  3N-S       630          J7.984.AJ52.AJ98 K8642.J2.KT63.54 AQ95.AT6.Q7.KQ73 T3.KQ753.984.T62 | 1N-P-3N
240   S  3N-S       400          Q93.876.A4.AJ752 KT65.3.QJ963.T94 A72.A94.K875.KQ3 J84.KQJT52.T2.86 | 1N-P-3N
241   S  3N-S       430          Q72.J94.AKQ43.97 943.T5.62.AQT652 AKT5.A76.T7.KJ84 J86.KQ832.J985.3 | 1N-P-3N
242   S  3N-S       600          K2.J53.QT76.A762 T963.T.K8542.KJ4 AQ8.A82.A93.QT98 J754.KQ9764.J.53 | 1N-P-3N
243   S  3N-S       430          A72.32.A87.A9864 T853.5.T965.KQJ7 KQJ64.AJ8.KQ3.53 9.KQT9764.J42.T2 | 1N-3H-3N
244   S  3N-S       630          K53.87.A942.A974 QT.T6.Q753.QJ852 AJ962.AJ.KJT.K63 874.KQ95432.86.T | 1N-3H-3N
245   S  3N-S       600          932.62.AKT94.KJ2 KQ87.53.J5.QT973 AJT65.A98.Q87.A8 4.KQJT74.632.654 | 1N-P-3N
246   S  3N-S       400          AT.J92.Q52.AT864 KJ874.8.K96.Q532 Q3.A75.AJT87.KJ9 9652.KQT643.43.7 | 1N-P-3N
247   S  3N-S       600          72.J85.J632.AKJT 943.762.A875.Q93 AKQJ.A3.K94.8765 T865.KQT94.QT.42 | 1N-P-3N
248   S  2N-S       150          QJ2.J9.9762.AQ97 A7543.87.K43.J54 K8.AT5.AJ85.K862 T96.KQ6432.QT.T3 | 1N-P-2N
249   S  3N-S       430          A6.732.A64.AT986 J8742.T8.KQJ95.2 KQ95.A4.T83.KQJ7 T3.KQJ965.72.543 | 1N-P-3N
250   S  3N-S       630          KQ5.J52.AT32.543 864.84.KJ974.KT8 A97.AT.Q85.AQJ76 JT32.KQ9763.6.92 | 1N-P-3N
251   S  3N-S       400          A97.986.K5.KJT64 KJ652.7.JT873.Q2 T3.AJ2.AQ962.A87 Q84.KQT543.4.953 | 1N-P-3N
252   S  3N-S       600          Q54.97.KQJT7.K86 K9873.643..AT972 AJ6.AJ5.A9542.Q3 T2.KQT82.863.J54 | 1N-P-3N
253   S  3N-S       600          K62.J93.KT94.KT8 87.T2.AQ8765.Q43 AQ5.A87.32.AJ752 JT943.KQ654.J.96 | 1N-P-3N
254   S  3N-S       430          T7.J92.Q852.AK83 J8.73.A764.J9652 AK942.AT6.KJT.QT Q653.KQ854.93.74 | 1N-P-2N-P-3S-P-3N
255   S  3H-W       100          J8.T63.AQJ.AT983 QT752..K962.QJ52 AK964.AJ8.T5.K76 3.KQ97542.8743.4 | 1N-3H
256   S  3N-S       430          K92.J6.KQ76.QJ74 J654.T4.AJ4.9632 A83.A75.T32.AKT5 QT7.KQ9832.985.8 | 1N-P-3N
257   S  3N-S       430          K6.J93.K954.AJ63 QJ7532.T5.Q8.T42 AT94.A74.A7.KQ98 8.KQ862.JT632.75 | 1N-P-3N
258   S  3N-S       600          KQ.643.AQT94.964 JT98743.2.3.AK53 A2.AJ8.KJ875.QJ7 65.KQT975.62.T82 | 1N-P-3N
259   S  3N-S       400          KJ7.JT4.643.KQ63 AT953.86.KQ95.T2 Q842.A52.A72.AJ8 6.KQ973.JT8.9754 | 1N-P-3N
260   S  3N-S       600          T73.52.AK87.A976 Q865.J74.JT5.KQT AKJ.AT8.Q964.J83 942.KQ963.32.542 | 1N-P-3N
261   S  3N-S       630          Q94.652.AKT9.KT8 J762.J98.Q764.A3 AK85.A7.J82.QJ42 T3.KQT43.53.9765 | 1N-P-3N
262   S  3N-S       430          Q3.965.KT53.AK52 K972.J3.987.Q984 AJ5.A72.AQ42.T73 T864.KQT84.J6.J6 | 1N-P-3N
263   S  3N-S       630          75.J74.T53.AKQJ2 KJT862.T9.K962.9 AQ9.A3.AQ7.87653 43.KQ8652.J84.T4 | 1N-P-3N
264   S  3N-S       430          K97.95.AK42.T654 T642.T76.T5.KQJ7 AQ.A42.QJ983.A82 J853.KQJ83.76.93 | 1N-P-3N
265   S  3N-S       430          AQ7.T96.K953.Q83 K86.J4.JT642.K52 JT9.A75.AQ87.AJ7 5432.KQ832..T964 | 1N-P-3N
266   S  3N-S       630          QJ9.J7.AQJT.T973 753.62.9753.AQJ5 AK86.A43.K642.K4 T42.KQT985.8.862 | 1N-P-3N
267   S  3N-S       400          KJ3.53.KJ984.A74 54.T74.A6.QT9862 A82.AJ9.Q7532.KJ QT976.KQ862.T.53 | 1N-P-3N
268   S  3N-S       600          Q65.J54.KQ85.KT3 AK72.T97.432.Q52 J984.A6.AJT.AJ84 T3.KQ832.976.976 | 1N-P-3N
269   S  3N-S       630          K6.754.Q7542.AK7 AJ7432.J92.86.Q2 Q98.AT.AKJ9.JT84 T5.KQ863.T3.9653 | 1N-P-3N
270   S  3N-S       430          AT4.J93.JT74.AJ4 KQ972.76.Q83.865 63.A85.AK95.KQT2 J85.KQT42.62.973 | 1N-P-3N
271   S  3N-S       630          K8.T94.AJ754.KT2 QJT9653.3.932.A5 A74.A8.KQ8.QJ963 2.KQJ7652.T6.874 | 1N-3H-3N
272   S  3N-S       430          Q3.T76.A754.AQ72 JT9864.53.K93.J6 AK7.AJ.QT82.KT84 52.KQ9842.J6.953 | 1N-P-3N
273   S  3N-S       430          K73.JT9.AQ7.9732 5.42.KT963.AJ654 AQJT2.A6.J85.KQT 9864.KQ8753.42.8 | 1N-P-3N
274   S  3N-S       630          Q98.T85.AJ2.KT65 AT72.43.Q7643.Q4 KJ4.AJ.K98.AJ987 653.KQ9762.T5.32 | 1N-P-3N
275   S  3N-S       430          T82.T93.A4.AK854 QJ96.J.J6532.J72 AK5.A62.KQ987.T3 743.KQ8754.T.Q96 | 1N-P-3N
276   S  3N-S       600          AQ9.743.Q62.K432 KJ842.952.KJ87.9 T653.AJ.A943.AQ6 7.KQT86.T5.JT875 | 1N-P-3N
277   S  3N-S       630          A74.T63.763.AKJ5 98.92.AJ982.9842 KJT53.AJ7.KQ5.Q3 Q62.KQ854.T4.T76 | 1N-P-3N
278   S  3N-S       460          A82.J5.Q62.KJT93 763.97.AKJ4.7642 KQT95.A42.T7.AQ5 J4.KQT863.9853.8 | 1N-P-3N
279   S  3N-S       630          A53.J63.A64.QJ43 K96.954.J987.AT2 QJT.A7.KQT32.K87 8742.KQT82.5.965 | 1N-P-3N
280   S  3N-S       430          Q8.J93.AKJT6.T85 JT93.85.Q5.K9742 AK2.A2.98743.AJ6 7654.KQT764.2.Q3 | 1N-P-3N
281   S  3N-S       430          AQ5.J82.Q82.Q854 K743.T63.J64.AT3 JT98.A4.AK73.KJ6 62.KQ975.T95.972 | 1N-P-3N
282   S  3N-S       600          QT2.J84.AJ63.A95 5.632.K54.KJT864 AK976.A9.Q98.Q73 J843.KQT75.T72.2 | 1N-P-3N
283   S  3N-S       430          Q63.T84.A2.AT432 A98.J7.854.QJ875 KJT2.A62.KQJ6.K9 754.KQ953.T973.6 | 1N-P-3N
284   S  3N-S       600          QJ2.642.Q6.AQ862 K764.J8.KJ874.J5 A83.A93.AT93.KT9 T95.KQT75.52.743 | 1N-P-3N
285   S  3N-S       600          QJ7.873.AT5.AJ42 T86.JT5.Q9832.K8 AK95.A4.KJ74.T95 432.KQ962.6.Q763 | 1N-P-3N
286   S  3N-S       430          542.J9.A532.KQ64 983.64.Q97.AJ983 AKQJ.A32.KT8.752 T76.KQT875.J64.T | 1N-P-2N-P-3N
287   S  3N-S       630          AK5.75.A8652.943 Q8.JT2.J73.JT762 JT92.A98.KT.AKQ5 7643.KQ643.Q94.8 | 1N-P-3N
288   S  3N-S       400          AJ5.76.J542.AT32 KT93.J5.T96.KJ85 Q76.A82.AK73.Q74 842.KQT943.Q8.96 | 1N-P-3N
289   S  3N-S       430          K53.T98.KQ6.Q653 J987642..J82.A82 AQT.A65.AT5.KT94 .KQJ7432.9743.J7 | 1N-3H-3N
290   S  3N-S       630          T9.J73.KQ5.AJT84 AQ3.986.9764.Q92 KJ7.AT.AJT8.K763 86542.KQ542.32.5 | 1N-P-3N
291   S  3N-S       430          J94.J32.AK73.K93 T865.87.J2.QJ752 AKQ7.A65.84.A864 32.KQT94.QT965.T | 1N-P-3N
292   S  3N-S       630          KJ2.763.KJ3.K873 Q754.T8.T84.QJT5 AT6.AJ4.A72.A942 983.KQ952.Q965.6 | 1N-P-3N
293   S  3N-S       600          J92.872.KQ8.AQ96 AQ7654.J3.JT6.T7 KT.A54.A97.KJ854 83.KQT96.5432.32 | 1N-P-3N
294   S  3H-W       200          985.42.AQ72.KQ76 Q76.T7.K6543.985 AKJ3.A5.JT8.A432 T42.KQJ9863.9.JT | 1N-3H
295   S  3N-S       600          KJ8.53.KQJ.J6432 AQT75.876.854.Q9 642.AJ9.A9762.AK 93.KQT42.T3.T875 | 1N-P-3N
296   S  3N-S       430          A73.942.AT65.K53 KT854.T8.Q732.JT Q962.A5.KJ9.AQ94 J.KQJ763.84.8762 | 1N-P-3N
297   S  3N-S       400          KJT.T2.QT5.KQ986 AQ7642.J.972.J73 985.A63.AK64.AT2 3.KQ98754.J83.54 | 1N-3H-3N
298   S  3N-S       630          T97.65.AKJ3.AT98 KJ3.94.9762.J542 AQ2.A83.QT4.KQ76 8654.KQJT72.85.3 | 1N-P-3N
299   S  3N-S       400          AT.T32.AJT53.JT6 KQ832.98.6.K9753 J76.AJ5.K2.AQ842 954.KQ764.Q9874. | 1N-P-3N
300   S  3N-S       630          AT5.42.A432.QJ53 KQ9742.J5.J75.82 63.AT8.KQT6.AKT4 J8.KQ9763.98.976 | 1N-P-3N
301   S  3N-S       630          KQ5.764.AQ8.J732 A6.JT5.97632.T98 J42.A8.KJT5.AK64 T9873.KQ932.4.Q5 | 1N-P-3N
302   S  3N-S       -50          AT.J32.Q64.QJ642 KJ7654.75.A3.853 Q93.A86.KT972.AK 82.KQT94.J85.T97 | 1N-P-3N
303   S  3N-S       630          KT9.J2.T98.AKJT9 J6543.97.AJ2.875 AQ7.A84.K75.Q642 82.KQT653.Q643.3 | 1N-P-3N
304   S  3N-S       430          J87.JT4.A85.KQJ2 QT3.52.KJT2.8653 AK542.A9.Q43.A97 96.KQ8763.976.T4 | 1N-P-3N
305   S  3N-S       400          764.J72.K63.AQJ5 KQ9832.T9.QJ98.6 AT5.A6.AT754.KT3 J.KQ8543.2.98742 | 1N-P-3N
306   S  3N-S       630          654.T5.A8642.AK3 AQT982.942..8764 KJ.AJ7.KQT75.QT5 73.KQ863.J93.J92 | 1N-P-3N
307   S  3N-S       430          AJ7.T5.KJ86.K853 T9653.72.52.AQ96 KQ.AJ4.AQT97.J42 842.KQ9863.43.T7 | 1N-P-3N
308   S  3N-S       600          J3.J72.A73.A8754 AK974.T8.KT94.62 QT82.A64.QJ8.KQJ 65.KQ953.652.T93 | 1N-P-3N
309   S  3N-S       630          J86.J7.AKQJ.9853 QT95.T84.8743.KJ AK2.A96.T95.AQ74 743.KQ532.62.T62 | 1N-P-3N
310   S  3N-S       430          KQT.J52.A93.Q986 AJ83.9.Q85.JT542 9764.AT7.KJ2.AK7 52.KQ8643.T764.3 | 1N-P-3N
311   S  3N-S       630          KT8.T85.QT2.AKT9 7543.6.A86.Q8652 AQJ6.AJ9.K953.J3 92.KQ7432.J74.74 | 1N-P-3N
312   S  3N-S       430          Q3.T94.QJT96.AQJ T42.J82.K.K87632 AKJ5.A7.A742.T95 9876.KQ653.853.4 | 1N-P-3N
313   S  2N-S       150          QT6.T5.JT3.AQJ74 J93.76.KQ9842.K8 AK852.A43.A65.65 74.KQJ982.7.T932 | 1N-P-2N
314   S  3N-S       600          QJ3.J42.AJ6.JT62 K9542.T96.T83.A4 AT6.A7.KQ954.K93 87.KQ853.72.Q875 | 1N-P-3N
315   S  3N-S       430          AT9.654.QJ53.KJ7 Q832.3.642.AT863 KJ76.AT8.AKT9.Q4 54.KQJ972.87.952 | 1N-P-3N
316   S  3N-S       630          K54.T8.AJT5.K962 AQT962.76.76.J75 J873.A2.KQ83.AQT .KQJ9543.942.843 | 1N-3H-3N
317   S  3N-S       600          72.JT2.KQT7.A743 AJT4.843.J6.KJ98 KQ3.A7.A853.Q652 9865.KQ965.942.T | 1N-P-3N
318   S  3N-S       430          KJT.72.KJ42.QJ63 5.T98.AT873.KT92 AQ432.AJ5.Q9.A74 9876.KQ643.65.85 | 1N-P-3N
319   S  3N-S       630          QT.864.AQ86.A763 K762.952.972.QJ5 A93.AJ.KT53.K982 J854.KQT73.J4.T4 | 1N-P-3N
320   S  3N-S       400          T72.32.AJ932.KQ9 Q65.97.Q875.AT63 AK983.AJ6.KT6.54 J4.KQT854.4.J872 | 1N-P-3N
321   S  3N-S       400          AJ9.43.AQT52.975 KQ632.J82.987.T4 874.A96.KJ.AKJ32 T5.KQT75.643.Q86 | 1N-P-3N
322   S  3N-S       630          KQT.JT.KT952.J32 AJ7532.63.J874.Q 98.A97.AQ3.AK976 64.KQ8542.6.T854 | 1N-P-3N
323   S  3N-S       400          J87.763.AQT75.A5 Q92.J8.KJ4.JT984 AK6.A52.632.KQ76 T543.KQT94.98.32 | 1N-P-3N
324   S  3N-S       630          T4.975.KJ3.AQ532 AK8632.64.9876.J QJ9.AJ8.AQ54.K74 75.KQT32.T2.T986 | 1N-P-3N
325   S  3N-S       630          K92.T73.Q96.KQJT QJT63.9.J752.A65 A85.AJ5.AKT8.432 74.KQ8642.43.987 | 1N-P-3N
326   S  3N-S       400          K63.542.KT8.KJ72 A82.T7.A6542.T83 QJ9.A93.QJ93.AQ4 T754.KQJ86.7.965 | 1N-P-3N
327   S  3N-S       600          743.J76.A3.KQ984 KQJ8.T8.KT9872.T AT9.A52.QJ64.A62 652.KQ943.5.J753 | 1N-P-3N
328   S  3N-S       400          975.53.Q96.AKJ97 QJ32.J98.KJ842.5 AKT8.AT4.AT7.864 64.KQ762.53.QT32 | 1N-P-3N
329   S  3N-S       400          KT5.T65.KJ95.K92 86.32.A8762.QJ83 AQ2.A9.QT4.AT754 J9743.KQJ874.3.6 | 1N-P-3N
330   S  3N-S       600          KJT.T64.AJT.Q632 AQ9873.3.975.J87 65.AJ2.K83.AKT54 42.KQ9875.Q642.9 | 1N-P-3N
331   S  3N-S       430          AK9.753.8532.K98 T7642.6.AJT6.QJ7 QJ5.AJ9.KQ7.AT63 83.KQT842.94.542 | 1N-P-3N
332   S  3N-S       630          QT9.62.AJ865.KQ5 A732.J43.742.JT3 KJ4.AT9.KQT9.A64 865.KQ875.3.9872 | 1N-P-3N
333   S  3N-S       630          Q95.J96.Q864.AKT AJ873.54.92.J982 K42.A72.AK53.Q74 T6.KQT83.JT7.653 | 1N-P-3N
334   S  3N-S       400          AQ8.T4.KJ62.9864 T7432.82.874.AKQ KJ5.A75.AQT53.JT 96.KQJ963.9.7532 | 1N-P-3N
335   S  3N-S       630          KT6.982.AK982.Q8 754.J65.64.AT762 AQ92.AT.Q75.KJ53 J83.KQ743.JT3.94 | 1N-P-3N
336   S  3N-S       430          KQ.742.AT975.QT7 JT82.86.2.KJ8632 A754.A5.KQ64.A94 963.KQJT93.J83.5 | 1N-P-3N
337   S  3N-S       400          KQ3.943.KQ6.J876 J54.62.94.AQT952 AT2.A85.AJ753.K4 9876.KQJT7.T82.3 | 1N-P-3N
338   S  2N-S       150          KJ8.J54.Q5.KT864 AQT652.73.J82.J9 74.A98.AK93.A532 93.KQT62.T764.Q7 | 1N-P-2N
339   S  3N-S       400          AK4.543.JT2.QJ65 Q65.872.Q853.A74 J97.AT.AK74.K983 T832.KQJ96.96.T2 | 1N-P-3N
340   S  4C-N       130          87.J84.QJ8.KQJ85 AKQ5432.T2.976.9 T9.A93.AK32.AT76 J6.KQ765.T54.432 | 1N-P-2N-3S-P-P-4C
341   S  2N-S       150          KJ2.96.J987.AJ74 Q7.J2.KQ64.96532 A864.AT7.A52.KT8 T953.KQ8543.T3.Q | 1N-P-2N
342   S  3N-S       -50          QJ8.765.KQ.Q7432 6543.9.A865.KJT9 AK972.AT4.T9.A85 T.KQJ832.J7432.6 | 1N-P-3N
343   S  3N-S       630          72.T85.AJT97.AK2 KT863.74.Q8.JT53 AQ9.AJ6.K4.Q9874 J54.KQ932.6532.6 | 1N-P-3N
344   S  2N-S       150          AT6.J3.K753.Q972 KJ953.862.84.A54 Q42.A9.AQT2.KJT8 87.KQT754.J96.63 | 1N-P-2N
345   S  3H-W       200          KQ9.53.AQJ97.982 J83.4.K852.QJ753 AT54.AT2.64.AKT4 762.KQJ9876.T3.6 | 1N-3H
346   S  3N-S       630          KQ4.542.KT52.A86 A976532.T76.Q87. JT8.AJ.AJ6.KQ542 .KQ983.943.JT973 | 1N-P-3N
347   S  3N-S       400          A42.T72.A962.A72 KT9765.5.QT7.JT4 Q83.AJ9.K3.KQ986 J.KQ8643.J854.53 | 1N-P-3N
348   S  3N-S       630          QT4.98.QT52.AQ73 876.432.KJ83.K42 AK532.AJ7.A4.J98 J9.KQT65.976.T65 | 1N-P-3N
349   S  3N-S       630          A86.876.AT84.K95 97.JT3.KJ62.Q862 KQ32.A4.Q95.AJ74 JT54.KQ952.73.T3 | 1N-P-3N
350   S  3N-S       430          K4.JT8.KQ97.QT63 QT7653.432.8.A54 AJ2.A9.AJ32.K872 98.KQ765.T654.J9 | 1N-P-3N
351   S  3N-S       630          JT.J83.KJT7.AT54 A986.974.92.Q963 K72.A5.AQ3.KJ872 Q543.KQT62.8654. | 1N-P-3N
352   S  3N-S       400          K92.64.AQJ2.9754 AT3.J85.KT76.T63 QJ865.AT9.84.AKQ 74.KQ732.953.J82 | 1N-P-3N
353   S  3N-S       430          A96.98.KT842.KJ3 J.J75.AJ653.9762 KQ52.A32.Q7.AQ84 T8743.KQT64.9.T5 | 1N-P-3N
354   S  3N-S       630          92.J64.AK763.KJ8 AJ843.T8.4.97432 KQ76.A97.Q92.AQ6 T5.KQ532.JT85.T5 | 1N-P-3N
355   S  3N-S       430          Q9.JT9.AQ83.K875 JT754.875.T97.A9 AK8.A4.KJ52.J632 632.KQ632.64.QT4 | 1N-P-3N
356   S  3N-S       630          T2.J72.AQJ6.QJ43 865.83.K753.A872 AKQ93.A6.T94.K96 J74.KQT954.82.T5 | 1N-P-3N
357   S  3N-S       630          A6.J82.KT974.A76 982.T64.QJ53.K84 KQ753.A5.A86.QT2 JT4.KQ973.2.J953 | 1N-P-3N
