../bba/Minor_Suit_Opener_Mixed_Raise.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
170   S  3C-S                    A63.Q6.832.QJ974 J75.KJ87.Q964.K5 QT42.AT32.A7.AT6 K98.954.KJT5.832 | 1C-P-3C
171   S  5D-S                    63.A43.Q8742.KT4 9852.Q976.9.A873 AKJ7.KJ52.AJ65.J QT4.T8.KT3.Q9652 | 1D-P-3D-P-5D
172   S  6D-S                    9.K2.KQ9742.JT43 J863.983.JT3.A76 AKQ2.QJ74.A65.Q5 T754.AT65.8.K982 | 1D-P-3D-P-3N-P-4D-P-5D-P-6D
173   S  3N-S                    Q2.Q96.J63.KJT65 K65.KJ4.T942.743 AT83.A7.KQ8.AQ98 J974.T8532.A75.2 | 1C-P-3C-P-3N
174   S  3N-S                    JT9.Q72.KT.QJ965 652.T83.J952.AT4 AQ3.KJ95.AQ.K732 K874.A64.87643.8 | 1C-P-3C-P-3N
175   S  3D-S                    932.52.AJ975.K93 AT64.K743.84.QJ2 J7.A86.KQT3.AT54 KQ85.QJT9.62.876 | 1D-P-3D
176   S  3D-S                    QJ3.T5.QT642.QJ6 A987.876.J5.K954 KT42.A432.K97.A8 65.KQJ9.A83.T732 | 1D-P-3D
177   S  3N-S                    82.T86.K87.AJT96 QT97.AQ42.J5.753 AJ4.KJ5.AT4.KQ84 K653.973.Q9632.2 | 1C-P-3C-P-3N
178   S  3D-S                    AT.984.KJ432.J43 Q65.JT32.A8.QT96 K972.AK65.Q97.85 J843.Q7.T65.AK72 | 1D-P-3D
179   S  5D-S                    T73.K43.A9643.87 QJ4.AT87.52.T953 K862.J.KQJ7.AKQ2 A95.Q9652.T8.J64 | 1D-P-3D-P-4H=1=-P-5D | Splinter
180   S  3N-S                    K85.763.J9852.A8 T964.AJ9.AT.J752 AQ73.KQT4.KQ6.KT J2.852.743.Q9643 | 1D-P-3D-P-3N
181   S  3N-S                    94.J2.Q9652.A975 Q8.QT74.K83.J632 AK76.K853.A74.KQ JT532.A96.JT.T84 | 1D-P-3D-P-3N
182   S  3N-S                    T73.K6.98763.KQ6 KJ85.JT2.JT.A852 AQ6.A53.AKQ2.743 942.Q9874.54.JT9 | 1D-P-3D-P-3N
183   S  3N-N                    Q42.32.A9854.Q62 AT85.Q984.7.T983 K6.AJT7.KQT62.A7 J973.K65.J3.KJ54 | 1D-P-3D-P-3H-P-3N
184   S  3C-S                    QT8.976.84.T8753 753.AKT3.T975.K9 K92.QJ8.KQ2.AQJ4 AJ64.542.AJ63.62 | 1C-P-P-X-XX-1S-2C-P-P-X-P-2S-P-P-3C
185   S  3D-S                    J7.74.KQ853.KT73 9643.AK52.J4.J95 AQ2.T98.AT76.A64 KT85.QJ63.92.Q82 | 1D-P-3D
186   S  1D-S                    Q62.QT3.87643.54 A98.J987.Q5.T863 KT4.A2.AKJ9.KJ92 J753.K654.T2.AQ7 | 1D
187   S  3C-S                    J9.Q82.653.AT743 T73.KT543.AT92.8 AK65.A.QJ7.Q9652 Q842.J976.K84.KJ | 1C-P-3C
188   S  3D-S                    74.J2.98742.KJ84 9863.KT96.KT.Q97 KJT5.A54.AQ63.A5 AQ2.Q873.J5.T632 | 1D-P-P-X-XX-1H-3D
189   S  5C-S                    Q73.97.J64.AJT73 AT9.KJ82.QT82.96 KJ.AQ53.A5.K8542 86542.T64.K973.Q | 1C-P-3C-P-3H-P-4C-P-5C
190   S  3D-S                    85.95.KJT74.KJ52 AQ94.A64.63.9743 KJ2.KJ82.A952.T8 T763.QT73.Q8.AQ6 | 1D-P-3D
191   S  3C-S                    43.J53.K53.QJ732 K982.AK82.762.96 A76.QT4.JT9.AK54 QJT5.976.AQ84.T8 | 1C-P-3C
192   S  3D-S                    743.J7.KQ753.K54 AQ6.A642.T64.973 KT92.QT53.A92.AJ J85.K98.J8.QT862 | 1D-P-3D
193   S  3N-S                    J3.A53.T96.KT832 9654.Q92.J7542.Q AK2.J874.AQ.A974 QT87.KT6.K83.J65 | 1C-P-3C-P-3N
194   S  3N-S                    976.A.JT752.QT76 K854.87652.3.K43 AT2.KJT3.AQ98.A8 QJ3.Q94.K64.J952 | 1D-P-3D-P-3N
195   S  3D-S                    A52.7.AT864.J862 Q98.6532.J9.AQ95 K63.KJ84.Q532.KT JT74.AQT9.K7.743 | 1D-P-3D
196   S  3N-S                    Q7.864.AK732.874 JT865.73.Q5.KT32 AK32.AKT9.J84.A6 94.QJ52.T96.QJ95 | 1D-P-3D-P-3N
197   S  3N-N                    JT4.84.KJ5.J8652 Q3.QJ63.Q94.QT94 A65.K75.A62.AK73 K9872.AT92.T873. | 1C-P-1N-P-2N-P-3C-P-3N
198   S  3N-S                    84.J4.A8762.Q943 J7.A952.KT54.J52 AQT5.K63.QJ93.AK K9632.QT87..T876 | 1D-P-3D-P-3N
199   S  3N-S                    J2.AJT.J63.Q9872 873.K6543.T72.J4 A654.Q9.AQ4.AK63 KQT9.872.K985.T5 | 1C-P-3C-P-3N
200   S  3C-S                    Q83.Q94.J2.KJ874 J95.K862.QT75.Q2 A76.JT7.A63.A963 KT42.A53.K984.T5 | 1C-P-3C
201   S  3D-S                    J64.AJ9.Q7632.J2 AK2.7432.84.K875 Q3.KT6.AJT95.AT6 T9875.Q85.K.Q943 | 1D-P-3D
202   S  3N-S                    K9.42.A9872.T876 7543.K87.K54.A42 AQT6.AQT6.QJ6.K3 J82.J953.T3.QJ95 | 1D-P-3D-P-3N
203   S  3N-S                    K73.T74.K9762.J2 J86.AJ96.54.9653 A92.832.AQJ3.AKT QT54.KQ5.T8.Q874 | 1D-P-3D-P-3N
204   S  2N-N                    532.32.KQ954.J82 QJT4.K985.T6.643 K6.AQ6.A732.AQ75 A987.JT74.J8.KT9 | 1D-P-1N-P-2N
205   S  3N-S                    2.874.AKJ85.9753 8653.A63.64.K864 AQT7.KJ52.Q72.AQ KJ94.QT9.T93.JT2 | 1D-P-3D-P-3N
206   S  3N-S                    J54.53.KQT864.Q8 9876.AT964.3.K96 AQ.K87.A752.AJ75 KT32.QJ2.J9.T432 | 1D-P-3D-P-3N
207   S  1C-S                    75.JT7.KT9.97532 KQ32.54.Q762.QJ4 AT86.AK9.J5.AK86 J94.Q8632.A843.T | 1C
208   S  3D-S                    92.KT.K8753.KT73 K73.874.J62.AQ98 AJT5.QJ96.A94.J4 Q864.A532.QT.652 | 1D-P-3D
209   S  2N-N                    J8.K96.T9874.QT5 752.JT872.K6.K76 AQ64.Q4.AQ53.A43 KT93.A53.J2.J982 | 1D-P-1N-P-2N
210   S  3N-S                    AK.94.T9543.T865 Q962.KQ73.72.742 J754.AJ8.AKJ8.A3 T83.T652.Q6.KQJ9 | 1D-P-3D-P-3N
211   S  1D-S                    QT5.QT4.T6543.T5 J7.J975.Q9.K8632 K632.AK62.AK7.Q7 A984.83.J82.AJ94 | 1D
212   S  3D-S                    J53.A52.JT943.J7 KQ64.QJ97.62.Q85 T7.K84.AK85.A643 A982.T63.Q7.KT92 | 1D-P-3D
213   S  3C-S                    94.J43.Q97.KQJT4 QT7.AT8.A542.865 K653.KQ95.T3.A72 AJ82.762.KJ86.93 | 1C-P-3C
214   S  3N-S                    J64.KT4.AT764.93 K9532.9876.3.A54 AQ7.A5.KQJ9.QT76 T8.QJ32.852.KJ82 | 1D-P-3D-P-3N
215   S  3D-S                    JT8.85.KJT32.KJ9 7542.KQ97.A7.876 K3.AJ42.Q654.AT4 AQ96.T63.98.Q532 | 1D-P-3D
216   S  3N-S                    J93.J75.A6.QJT63 K865.863.Q9732.9 AT2.A94.K4.AK854 Q74.KQT2.JT85.72 | 1C-P-3C-P-3N
217   S  6D-S                    K.96.AJT8642.J95 Q865.A843.97.842 A974.QJ72.KQ3.AK JT32.KT5.5.QT763 | 1D-P-3D-P-3N-P-4D-P-4S-P-4N-P-5C=1=-P-6D | A=0/5 or 3/5
218   S  3N-S                    Q64.QJ.QJ542.J43 KJ7.T852.73.KT82 AT.K973.AK96.A97 98532.A64.T8.Q65 | 1D-P-3D-P-3N
219   S  3N-S                    854.JT6.Q8.AQ962 K762.K32.65432.7 AT.AQ54.AJ7.KT84 QJ93.987.KT9.J53 | 1C-P-3C-P-3N
220   S  3N-S                    72.T9.KT8762.K32 864.K652.J53.AJ7 KQJ3.AJ73.AQ9.Q5 AT95.Q84.4.T9864 | 1D-P-3D-P-3N
221   S  3N-S                    98.AQJ.986.JT653 AQ54.T75.J54.K72 K72.K983.AK.AQ84 JT63.642.QT732.9 | 1C-P-3C-P-3N
222   S  3N-S                    762.J.A98.AT8763 984.T963.KJ64.Q9 AQJ.KQ2.Q75.KJ52 KT53.A8754.T32.4 | 1C-P-3C-P-3N
223   S  3N-S                    Q72.3.T9732.AQ97 A865.AQ74.54.T82 KJ3.K52.AKJ6.KJ6 T94.JT986.Q8.543 | 1D-P-3D-P-3N
224   S  3D-S                    53.Q98.AQJ65.T86 Q762.652.K2.KQ97 AK4.JT4.T987.A43 JT98.AK73.43.J52 | 1D-P-3D
225   S  5D-S                    .K.AJT9872.J9753 QJT2.Q843.K53.42 AK94.AJ52.Q64.KQ 87653.T976..AT86 | 1D-P-5D
226   S  3N-S                    J2.85.KT984.A863 AT54.643.Q6.J542 Q97.AKQ.A752.K97 K863.JT972.J3.QT | 1D-P-3D-P-3N
227   S  3N-S                    J9.AJ5.T7652.J83 QT85.T94.A98.Q96 K632.K73.KQ43.AK A74.Q862.J.T7542 | 1D-P-3D-P-3N
228   S  1D-S                    JT7.43.KT853.JT7 A962.9875.6.Q964 K4.AK6.Q974.AK82 Q853.QJT2.AJ2.53 | 1D
229   S  3N-S                    K.K.QT9853.87432 8543.9876.J4.QJ5 AJT6.AJ54.A76.A6 Q972.QT32.K2.KT9 | 1D-P-3D-P-3N
230   S  3C-S                    72.J92.A63.KJT82 KT64.T75.KQJ7.54 Q95.A863.94.AQ63 AJ83.KQ4.T852.97 | 1C-P-3C
231   S  3C-S                    K64.42.T92.KJT54 AJ5.A983.J863.96 832.KT7.KQ7.AQ73 QT97.QJ65.A54.82 | 1C-P-3C
232   S  3N-N                    JT6.T5.AT8.JT987 Q843.A32.Q974.Q6 AK9.KJ9.KJ2.K543 752.Q8764.653.A2 | 1C-P-1N-P-2N-P-3C-P-3N
233   S  5D-S                    72.AJ6.KJT9543.3 J543.97532..KT65 AQT.K.AQ762.AJ72 K986.QT84.8.Q984 | 1D-P-5D
234   S  3D-S                    T86.Q6.AQJT9.762 AJ94.K987.62.JT8 K75.T43.K874.AQ3 Q32.AJ52.53.K954 | 1D-P-3D
235   S  3C-S                    KJT.KT.Q62.T8732 62.Q753.A954.A54 Q753.A962.K.KQJ6 A984.J84.JT873.9 | 1C-P-3C
236   S  3D-S                    43.65.AQ874.KT42 Q62.AJ74.J6.J983 KJ85.KQ82.KT92.7 AT97.T93.53.AQ65 | 1D-P-3D
237   S  5C-S                    AQ2.83.642.QJT82 T976.K96.QT85.K3 85.AQJT.AK3.A654 KJ43.7542.J97.97 | 1C-P-3C-P-3H-P-5C
238   S  3D-S                    975.KQ.J8652.K85 K62.A965.97.J974 AJT.JT43.AT43.AT Q843.872.KQ.Q632 | 1D-P-3D
239   S  2C-S                    52.A84.943.T7632 T93.J76.AQJ2.854 AKJ8.QT95.K7.AJ9 Q764.K32.T865.KQ | 1C-P-P-X-XX-1S-2C
240   S  3D-S                    62.63.AKJ72.T752 KJ5.T875.64.AJ84 Q843.AQ42.Q853.K AT97.KJ9.T9.Q963 | 1D-P-3D
241   S  3D-S                    QT3.93.QT984.A83 J84.QT74.A7.KT52 K765.AK65.K63.J6 A92.J82.J52.Q974 | 1D-P-3D
242   S  3D-S                    T7.J5.A9763.KT65 643.AT94.QJ.Q743 AK52.Q876.T84.A2 QJ98.K32.K52.J98 | 1D-P-3D
243   S  3N-S                    J.QJ8.J9642.K652 8742.A7643.83.T9 AK63.95.KQT5.AQ3 QT95.KT2.A7.J874 | 1D-P-3D-P-3N
244   S  3D-S                    AJ7.J2.T9643.QT5 K986.Q97.52.A874 Q53.AT53.AQJ7.62 T42.K864.K8.KJ93 | 1D-P-3D
245   S  3N-S                    43.J86.J74.KQT73 JT86.Q742.AT93.8 AK97.A95.K5.A942 Q52.KT3.Q862.J65 | 1C-P-3C-P-3N
246   S  3C-S                    74.KT.JT6.KJ7642 KQ53.J63.Q973.85 A986.AQ97.52.A93 JT2.8542.AK84.QT | 1C-P-3C
247   S  3D-S                    K5.J83.QT963.K95 Q98.AK97.42.T742 T743.Q65.AKJ7.QJ AJ62.T42.85.A863 | 1D-P-3D
248   S  3D-S                    QJ8.T4.T8632.KJ7 K74.KQ65.J9.8653 A632.AJ9.KQ74.92 T95.8732.A5.AQT4 | 1D-P-3D
249   S  5D-S                    5.J.AK9872.J9843 T973.A8764.3.K75 AKQ8.T953.J54.AT J642.KQ2.QT6.Q62 | 1D-P-5D
250   S  3N-S                    A87.98.K94.J9732 53.AT63.T8653.Q8 KQJ2.KQJ4.QJ.KT4 T964.752.A72.A65 | 1C-P-3C-P-3N
251   S  3C-S                    Q92.96.952.AQJT9 KT5.AK83.T874.73 A64.QT4.AQ3.8642 J873.J752.KJ6.K5 | 1C-P-3C
252   S  3C-S                    T96.74.A95.AJ985 J74.T63.KT72.KQ4 AK83.KQJ5.J8.T72 Q52.A982.Q643.63 | 1C-P-3C
253   S  3C-S                    J86.K4.KQ3.97432 74.A762.J984.KQ8 AQ92.QJT8.T6.AJ5 KT53.953.A752.T6 | 1C-P-3C
254   S  1D-S                    3.Q53.K9854.J953 Q987.K72.QT.QT84 KT62.A964.AJ32.A AJ54.JT8.76.K762 | 1D
255   S  3N-S                    97.Q75.K94.QJT76 KJ8.9642.A53.832 AT3.AJ8.QJ8.AK94 Q6542.KT3.T762.5 | 1C-P-3C-P-3N
256   S  5D-S                    J.A85.T7542.A875 T9854.T43.93.K63 Q732.KQJ.AKQ6.Q2 AK6.9762.J8.JT94 | 1D-P-3D-P-3N-P-4D-P-5D
257   S  3N-S                    74.KQJ.863.QJ943 K652.T93.J974.T7 AT83.A54.AK.A865 QJ9.8762.QT52.K2 | 1C-P-3C-P-3N
258   S  3N-S                    K87.K52.JT852.T4 J53.Q9763.6.J853 Q62.A8.AKQ73.A96 AT94.JT4.94.KQ72 | 1D-P-3D-P-3N
259   S  1N-N                    K83.T92.JT962.53 J762.KQJ7.53.J64 Q9.643.AK84.AKQ9 AT54.A85.Q7.T872 | 1D-P-P-X-XX-1S-1N
260   S  3C-S                    A5.T76.874.K9643 8763.AQ3.KJ65.72 KQ2.985.Q32.AQJ5 JT94.KJ42.AT9.T8 | 1C-P-3C
261   S  3C-S                    64.962.J84.AQJ96 J972.Q7.AKT2.T75 AQ83.A543.73.K43 KT5.KJT8.Q965.82 | 1C-P-3C
262   S  3N-S                    Q32.73.JT6.A7652 865.Q986.Q732.Q3 A94.AK42.A4.KJT4 KJT7.JT5.K985.98 | 1C-P-3C-P-3N
263   S  3N-W                    432.65.JT6.KJT72 876.K973.KQ92.54 AKQJ.QJT8.85.AQ3 T95.A42.A743.986 | 1C-P-P-X-XX-1D-2C-2D-P-3N
264   S  2D-S                    96.Q9.J9763.9753 KT84.KJ6.854.KT8 AQJ5.AT74.AQ2.J6 732.8532.KT.AQ42 | 1D-P-P-X-XX-1H-2D
265   S  3N-S                    T54.J.A95.KT9432 Q72.Q632.8762.J5 K863.AKT7.KQ.A86 AJ9.9854.JT43.Q7 | 1C-P-3C-P-3N
266   S  3N-S                    Q54.K9.AT954.872 AJ97.J87.72.J653 K832.AQT4.KJ3.KQ T6.6532.Q86.AT94 | 1D-P-3D-P-3N
267   S  3N-S                    932.AK.J93.T8754 QJ84.JT5.T754.KQ K7.Q962.AKQ.A632 AT65.8743.862.J9 | 1C-P-3C-P-3N
268   S  3C-S                    KT5.J6.AT6.J9865 A843.T9874.K84.7 QJ6.AK.Q32.QT432 972.Q532.J975.AK | 1C-P-3C
269   S  3D-S                    J3.T86.AQJ73.J75 762.A432.2.KT863 AKT8.KQ9.KT865.2 Q954.J75.94.AQ94 | 1D-P-3D
270   S  3D-S                    J8.A73.J9653.KT9 K43.JT84.K2.Q863 AQT6.Q5.AT874.A5 9752.K962.Q.J742 | 1D-P-3D
271   S  3C-S                    63.K96.A72.J6542 A75.8732.KQJ5.73 QJ82.AJ5.96.KQT9 KT94.QT4.T843.A8 | 1C-P-3C
272   S  1C-S                    84.T72.KT3.Q7532 653.K653.A864.96 AQJT.AQ84.Q5.KJ4 K972.J9.J972.AT8 | 1C
273   S  3N-S                    QJ6.T83.KQJ85.54 KT98.97652.T.K92 A74.A.A7643.AQJ7 532.KQJ4.92.T863 | 1D-P-3D-P-3N
274   S  3N-S                    T94.Q72.QT752.AJ KQ52.J94.63.9752 A3.AK86.A984.K64 J876.T53.KJ.QT83 | 1D-P-3D-P-3N
275   S  3D-S                    52.Q96.KT965.A97 K864.J43.72.KT54 AT97.A85.AQ84.62 QJ3.KT72.J3.QJ83 | 1D-P-3D
276   S  3N-S                    T5.K96.AT6.98763 Q62.Q873.9752.Q2 AJ74.AJ54.J4.AK4 K983.T2.KQ83.JT5 | 1C-P-3C-P-3N
277   S  2C-S                    63.T98.T92.AT543 KT4.Q432.J874.K2 AQ87.AJ75.AQ.J87 J952.K6.K653.Q96 | 1C-P-P-X-XX-1S-2C
278   S  2N-N                    62.JT3.JT843.AT9 JT8.9842.Q6.KJ54 AK54.A6.AK95.862 Q973.KQ75.72.Q73 | 1D-P-1N-P-2N
279   S  3N-S                    T82.53.K85.AJ954 J953.K9764.T64.8 AK6.AT2.Q93.KQ32 Q74.QJ8.AJ72.T76 | 1C-P-3C-P-3N
280   S  3N-S                    962.942.K2.AJT72 J84.QJ65.AQ96.98 AKQT.AK.T84.Q654 753.T873.J753.K3 | 1C-P-3C-P-3N
281   S  3D-S                    KT8.A73.QT742.82 Q5432.Q6.J9.Q653 A9.K954.K865.A94 J76.JT82.A3.KJT7 | 1D-P-3D
282   S  3N-S                    6.Q42.QJT42.KT87 Q874.J53.K9.QJ42 AKT9.A986.A83.A5 J532.KT7.765.963 | 1D-P-3D-P-3N
283   S  3N-S                    Q74.QT.76542.A75 T532.K5.QJ3.Q963 AKJ8.J762.AK8.K4 96.A9843.T9.JT82 | 1D-P-3D-P-3N
284   S  3D-S                    QT.J5.KT9764.J86 K853.AT862.832.7 A72.Q7.AQJ5.AQT9 J964.K943..K5432 | 1D-P-3D
285   S  3N-S                    JT8.KT.543.KQ873 753.Q7542.K62.92 AQ94.AJ.Q87.AJ65 K62.9863.AJT9.T4 | 1C-P-3C-P-3N
286   S  2D-S                    A43.87.Q8654.543 KJT7.Q53.93.J986 Q.KJ64.AKJT7.AQ2 98652.AT92.2.KT7 | 1D-P-1N-P-2D
287   S  3N-S                    942.AJ9.QT9543.3 K65.8654.87.A962 AJ.K32.AJ62.KQJ4 QT873.QT7.K.T875 | 1D-P-3D-P-3N
288   S  3N-N                    K96.9.AT862.J742 87543.J874.J.KT8 A.AKT2.Q974.A653 QJT2.Q653.K53.Q9 | 1D-P-3D-P-3H-P-3N
289   S  3N-S                    J82.9.AK964.8754 QT6.Q6432.T7.T63 AK9.AK5.J832.A92 7543.JT87.Q5.KQJ | 1D-P-3D-P-3N
290   S  4D-S                    J.87.AQT8652.865 K974.J92.4.K9742 AQ32.AKQT.KJ3.T3 T865.6543.97.AQJ | 1D-P-4D
291   S  3C-S                    Q3.AJ9.JT7.J9763 J97.7543.KQ93.A4 A862.KQ2.84.K852 KT54.T86.A652.QT | 1C-P-3C
292   S  3C-S                    T7.A86.T43.AJ982 986.J74.AJ86.QT3 AQ42.KQ53.97.K75 KJ53.T92.KQ52.64 | 1C-P-3C
293   S  3N-S                    Q5.K62.Q83.QT764 982.JT975.KT94.9 AKJT.A4.AJ.J8532 7643.Q83.7652.AK | 1C-P-3C-P-3N
294   S  3C-S                    975.K6.Q62.A6432 KQ6.J83.JT87.QJ8 J432.AQT5.A3.K97 AT8.9742.K954.T5 | 1C-P-3C
295   S  3C-S                    J97.84.K43.KJ852 842.KT96.AJT5.T6 A63.A73.Q92.A943 KQT5.QJ52.876.Q7 | 1C-P-3C
296   S  3D-S                    97.43.K9753.A852 T832.KJ62.T6.KQ9 K54.A97.AQ84.JT7 AQJ6.QT85.J2.643 | 1D-P-3D
297   S  3N-S                    J98.QT2.AJT65.54 A765.9875.93.K62 KQ.AKJ.Q742.QJ73 T432.643.K8.AT98 | 1D-P-3D-P-3N
298   S  3N-N                    Q92.J62.JT875.Q9 8743.985.Q3.AJ63 AK5.A73.AK62.T82 JT6.KQT4.94.K754 | 1D-P-1N-P-2N-P-3D-P-3N
299   S  3D-S                    86.K84.K9843.K62 AQ92.J52.J5.J973 K43.AT93.AQT7.T4 JT75.Q76.62.AQ85 | 1D-P-3D
300   S  3N-S                    JT7.75.J3.AJ9654 852.Q864.K9652.7 KQ64.AK2.Q8.KQ83 A93.JT93.AT74.T2 | 1C-P-3C-P-3N
301   S  3D-S                    74.KQJ.T8753.954 Q962.7543.6.AT83 AKJ8.96.AQJ94.K7 T53.AT82.K2.QJ62 | 1D-P-1N-P-2S-P-3D
302   S  3D-S                    A.J84.KT864.5432 Q865.T63.Q7.AQT6 KJ72.952.AJ95.K7 T943.AKQ7.32.J98 | 1D-P-3D
303   S  3N-S                    Q.T85.QJ832.K765 K532.Q94.54.JT92 AT74.KJ73.AK76.A J986.A62.T9.Q843 | 1D-P-3D-P-3N
304   S  3C-S                    T64.43.A83.A9876 Q82.AT82.T764.Q4 AK95.K965.J9.K53 J73.QJ7.KQ52.JT2 | 1C-P-3C
305   S  3C-S                    975.62.AJ9.KT965 862.A95.KT753.83 AKQ4.KQT4.Q.A742 JT3.J873.8642.QJ | 1C-P-3C
306   S  3N-S                    K3.Q5.JT876.J972 J42.7432.932.A43 AQ87.AT96.AK5.Q6 T965.KJ8.Q4.KT85 | 1D-P-3D-P-3N
307   S  5C-S                    J5.K82.QT2.JT952 K7642.A975.7653. AQ3.Q3.K4.AKQ876 T98.JT64.AJ98.43 | 1C-P-3C-P-5C
308   S  3N-S                    64.32.KQT842.KT5 T83.Q96.A75.Q932 AKQ5.AJT7.J63.A6 J972.K854.9.J874 | 1D-P-3D-P-3N
309   S  3C-S                    A98.32.AJ5.76532 J53.Q87.QT98.KJ9 KQ64.AJT5.6.AQT4 T72.K964.K7432.8 | 1C-P-3C
310   S  3C-S                    K96.T3.J92.KQ875 J73.AQ72.Q763.32 A54.KJ94.A4.JT64 QT82.865.KT85.A9 | 1C-P-3C
311   S  3N-N                    QT5.32.JT962.AQ3 J4.K9654.74.T764 K632.Q8.AKQ5.KJ9 A987.AJT7.83.852 | 1D-P-3D-P-3S-P-3N
312   S  3N-S                    QJT.Q7.843.QJ983 8532.A832.JT6.K2 K4.K965.AKQ.A764 A976.JT4.9752.T5 | 1C-P-3C-P-3N
313   S  3N-S                    Q32.63.J8642.AQ3 A987.QT97.T3.KJ4 KJ64.AKJ8.AK7.76 T5.542.Q95.T9852 | 1D-P-3D-P-3N
314   S  3N-S                    JT3.Q7.KQJ65.932 Q74.JT54.94.QT76 AK9.AK82.AT82.J4 8652.963.73.AK85 | 1D-P-3D-P-3N
315   S  6C-S                    T5.QJT.73.KT8642 QJ4.7432.J965.A9 AK87.A.AQT.QJ753 9632.K9865.K842. | 1C-P-4C-P-4N-P-5D=1=-P-6C | A=1/5 or 4/5
316   S  2C-S                    976.T4.K52.JT952 AT5.AJ75.JT96.43 KJ3.K932.AQ.KQ86 Q842.Q86.8743.A7 | 1C-P-P-X-XX-1S-2C
317   S  3N-S                    T2.T82.AT753.K54 J874.Q74.K8.J986 AQ5.AJ93.QJ62.A3 K963.K65.94.QT72 | 1D-P-3D-P-3N
318   S  1N-N                    K76.72.973.QJT32 Q42.9863.KQ64.K9 AT53.AQ5.T8.A764 J98.KJT4.AJ52.85 | 1C-P-1N
319   S  3N-N                    QJ6.JT.T8763.Q93 975.854.Q9.AT865 AT82.AQ97.AK54.K K43.K632.J2.J742 | 1D-P-1N-P-3N
320   S  5C-S                    83.Q65.K84.J8765 KJ97.A98.J652.42 AQ4.KT42.Q.AKQ93 T652.J73.AT973.T | 1C-P-1N-P-4C-P-5C
321   S  4D-S                    T63.J3.KQJT94.J6 Q95.9654.83.AQ54 AK.KQ2.A652.KT93 J8742.AT87.7.872 | 1D-P-4D
322   S  3C-S                    A75.T62.52.AT984 9842.Q75.KQ94.J7 J3.K843.AJ6.KQ63 KQT6.AJ9.T873.52 | 1C-P-3C
323   S  3N-S                    J74.75.AT843.A63 863.KJ96.K7.7542 AKQ.A82.QJ952.QJ T952.QT43.6.KT98 | 1D-P-3D-P-3N
324   S  3N-S                    JT7.A3.AT642.T63 Q963.852.8.J9752 AK84.QJT4.KQ3.A4 52.K976.J975.KQ8 | 1D-P-3D-P-3N
325   S  3N-N                    J2.Q42.A9853.T82 874.A9853.2.Q765 AK96.T.KQJ4.KJ43 QT53.KJ76.T76.A9 | 1D-P-3D-P-3S-P-3N
326   S  3N-S                    T4.Q43.AJ765.JT2 J982.K82.T.Q9653 K73.A75.KQ942.AK AQ65.JT96.83.874 | 1D-P-3D-P-3N
327   S  3N-S                    982.542.AJ.KJ842 KQ63.63.9862.976 AT74.AKQJ.K3.QT5 J5.T987.QT754.A3 | 1C-P-3C-P-3N
328   S  3D-S                    J65.Q5.KJ962.762 K982.T762.8.K543 73.AK3.AQT3.AQT8 AQT4.J984.754.J9 | 1D-P-3D
329   S  3D-S                    Q63.A9.97643.K92 AT2.K632.J5.JT87 J874.875.AKQ8.A5 K95.QJT4.T2.Q643 | 1D-P-3D
330   S  3D-S                    J7.AK2.J8543.843 AT95.754.KT.KT52 KQ63.QJ83.AQ6.76 842.T96.972.AQJ9 | 1D-P-3D
331   S  3N-S                    J52.T87.AKT76.J8 T83.KJ65.Q2.KT94 AK97.AQ.J843.A73 Q64.9432.95.Q652 | 1D-P-3D-P-3N
332   S  3D-S                    95.Q7.QT764.J963 QJ8.J854.A5.QT74 AT63.AK92.K98.A5 K742.T63.J32.K82 | 1D-P-P-X-XX-1S-3D
333   S  3N-S                    75.KJ6.T7543.KQ9 A863.T75.J2.J876 KJ.AQ8.KQ98.A432 QT942.9432.A6.T5 | 1D-P-3D-P-3N
334   S  3C-S                    843.T7.K42.KJ762 J762.A96.T976.A4 AKT5.J854.A5.QT8 Q9.KQ32.QJ83.953 | 1C-P-3C
335   S  3D-S                    T5.J4.JT864.AQ83 Q743.Q532.Q.J952 A962.AT98.AK73.4 KJ8.K76.952.KT76 | 1D-P-3D
336   S  3D-S                    Q2.Q95.JT873.KT5 K863.AT872.42.32 AJ94.3.KQ95.AQ76 T75.KJ64.A6.J984 | 1D-P-3D
337   S  5D-S                    T82.63.K8643.KT8 QJ64.QT8.Q5.Q543 A.AJ75.AT972.AJ2 K9753.K942.J.976 | 1D-P-1N-P-2H-P-4D-P-5D
338   S  3C-S                    K9.T76.A76.Q9862 QJ64.QJ8.KT85.75 AT72.K42.J2.KJT4 853.A953.Q943.A3 | 1C-P-3C
339   S  3C-S                    532.AQ2.42.QJ965 876.JT83.AQJ3.82 KQJ9.K5.T8.AKT74 AT4.9764.K9765.3 | 1C-P-3C
340   S  3N-S                    J82.J6.Q73.KQT84 K74.K954.J984.63 AQ53.A82.KT.AJ92 T96.QT73.A652.75 | 1C-P-3C-P-3N
341   S  3N-N                    JT.K94.732.QT963 Q86.JT75.AJT8.72 A92.A82.K64.AKJ5 K7543.Q63.Q95.84 | 1C-P-1N-P-2N-P-3C-P-3N
